一目瞭然	一目了然
藉此	借此
藉此機會	借此机会
藉甚	借甚
藉由	借由
藉着	借着
藉端	借端
藉端生事	借端生事
藉箸代籌	借箸代筹
藉草枕塊	借草枕块
藉藉	借借
藉藉无名	藉藉无名
藉詞	借词
藉讀	借读
藉資	借资
衹得	只得
衹見樹木	只见树木
衹見樹木不見森林	只见树木不见森林
覆上	复上
覆住	复住
覆信	复信
覆冒	复冒
覆呈	复呈
覆命	复命
覆墓	复墓
覆宗	复宗
覆帳	复帐
覆幬	复帱
覆成	复成
覆按	复按
覆文	复文
覆杯	复杯
覆校	复校
覆瓿	复瓿
覆盂	复盂
覆盆	覆盆
覆盆子	覆盆子
覆盤	覆盘
覆育	复育
覆蕉尋鹿	复蕉寻鹿
覆逆	复逆
覆醢	复醢
覆醬瓿	复酱瓿
覆電	复电
覆露	复露
覆鹿尋蕉	复鹿寻蕉
覆鹿遺蕉	复鹿遗蕉
覆鼎	复鼎
見覆	见复
角徵	角徵
角徵羽	角徵羽
計畫	计划
變徵	变徵
變徵之聲	变徵之声
變徵之音	变徵之音
貂覆額	貂复额
買臣覆水	买臣复水
踅門瞭戶	踅门了户
躪藉	躏借
酒逢知己千鍾少	酒逢知己千锺少
酒逢知己千鍾少話不投機半句多	酒逢知己千锺少话不投机半句多
醞藉	酝借
重覆	重复
金吒	金吒
金鍊	金链
鈕釦	纽扣
鈞覆	钧复
鉅子	钜子
鉅萬	钜万
鉅防	钜防
鉸鍊	铰链
銀鍊	银链
錢鍾書	钱锺书
鍊墜	链坠
鍊子	链子
鍊形	链形
鍊條	链条
鍊錘	链锤
鍊鎖	链锁
鍛鍾	锻锺
鍾繇	钟繇 锺繇
鍾萬梅	锺万梅
鍾重發	锺重发
鍾鍛	锺锻
鍾馗	锺馗
鎖鍊	锁链
鐵鍊	铁链
鑽石項鍊	钻石项链
雁杳魚沈	雁杳鱼沉
雖覆能復	虽覆能复
電覆	电复
露覆	露复
項鍊	项链
頗覆	颇复
頸鍊	颈链
顧藉	顾借
麼些族	麽些族
黄鍾公	黄锺公
龍鍾	龙钟 龙锺
走著	走着
著裝	着装
枕藉	枕藉
宁立	㝉立
甯氏	甯氏
寗封子	寗封子
甯陳氏	甯陈氏
甯李氏	甯李氏
大火積	大火積
積木	積木
積木為屋	积木为屋
積木疊泥	积木叠泥
金剛積	金剛積
黃山查士標	黄山查士标
山查	山楂
徐鐈	徐鐈
喫詬	喫诟
睪蘭	澤蘭
推畫	推划
畫定	划定
畫分為三	划分为三
畫分段落	划分段落
點畫	點畫
點點畫畫	點點畫畫
蘋果	苹果
鵰弓	雕弓
靦面	靦面
冤讎	冤仇
怨讎	怨仇
讎怨	仇怨
讎敵	仇敌
讎隙	仇隙
寇讎	寇仇
讎家	仇家
報讎	报仇
讎恨	仇恨
私讎	私仇
親讎	亲仇
宿讎	宿仇
非讎而讎	非仇而仇
非讎為讎	非仇为仇
雪恨復讎	雪恨复仇
父母之讎	父母之仇
父子為讎	父子为仇
誰是汝讎	谁是汝仇
戴天之讎	戴天之仇
不共戴天讎	不共戴天仇
校讎	校雠
挍讎	校雠
讎挍	雠校
讎較	雠校
仇讎	仇雠
委託	委托
# 新增词组
惟妙惟肖 惟妙惟肖
髼鬆 蓬松
