咬 齩
脇 脅
瑩 瑩
鱗 鱗
欄 欄
刊 刋
龐 厐
稀 希
填 塡
岩 巖
奘 弉
插 扱
采 釆
炙 炙
拉 拉
俟 竢
稻 稲
廻 回
煮 煑
聯 聨
搜 捜
犁 犂
喧 吅
甜 甛
簾 簾
廿 廾
咨 谘
矢 笶
絃 弦
亘 亙
忻 欣
靖 靖
窗 窓
墻 牆
兀 兀
勳 勛
勃 艴
鍊 鍊
啞 唖
裸 裸
蘿 蘿
躰 體
旅 旅
隷 隸
猪 猪
閙 鬧
匹 疋
悋 吝
夭 殀
拖 拕
汎 泛
鈎 鉤
繡 繍
叟 叜
鴈 雁
蚊 螡
鉗 箝
煉 煉
廊 廊
炤 照
萌 萠
弁 辨
系 繫
塚 塚
零 零
隸 隷
峨 峩
銕 鐵
籤 籖
複 復
廉 廉
剩 剰
呂 呂
齡 齢
尿 尿
搭 搨
澹 淡
崙 崙
潑 溌
趁 趂
戾 戻
唇 脣
疋 匹
慾 欲
館 館
吃 喫
煑 煮
硬 峺
遼 遼
迭 疊
収 收
壤 壌
嘯 嘨
蘗 檘
殞 隕
尅 剋
崑 崐
褒 襃
煥 烉
概 槪
稚 穉
圈 圏
頹 頽
鬬 鬥
串 串
朵 朶
孚 孵
捲 卷
裴 裵
掠 掠
羹 羮
畵 畫
毬 球
鬥 鬬
芭 巴
娘 孃
脣 唇
姪 侄
僊 仙
叡 睿
杯 盃
戮 戮
釈 釋
畧 略
糸 絲
島 嶋
壺 壷
熈 熙
凋 雕
笠 笠
唧 喞
逕 徑
暨 曁
稜 稜
冲 沖
蹟 跡
輻 輻
晃 晄
雁 鳫
頒 朌
獎 奬
飜 翻
聿 肀
銳 鋭
攢 攅
吝 吝
藪 籔
阜 阝
壹 搋
凢 凡
繪 缋
股 脵
鎔 熔
趂 趁
棹 桌
倣 仿
喇 喇
慙 慚
効 效
澁 澀
拓 拓
羂 罥
輦 輦
沖 盅
鐸 鈬
躭 耽
冑 胄
缾 瓶
鼈 鱉
紐 紐
嵐 嵐
讎 仇
刼 劫
睿 叡
僚 僚
圎 圓
查 査
伍 五
麓 梺
協 恊
羈 覊
蔔 菔
嘴 咀
亞 亜
拊 撫
鷺 鷺
勾 句
剏 刱
蠢 惷
捻 捻
釜 釡
萎 荽
覈 核
悴 忰
店 坫
闔 閤
閭 閭
癩 癩
仇 讐
畝 畮
弦 絃
鱉 龞
玲 玲
胞 脬
迨 逮
憩 憇
鴉 鵶
扁 碥
酢 醋
帚 菷
址 阯
顕 顯
耗 秏
琅 瑯
迺 乃
