恳 懇
恶 惡
恸 慟
恹 懨
恺 愷
恻 惻
恽 惲
悫 愨
悬 懸
悭 慳
悯 憫
惨 慘
惫 憊
惬 愜
惭 慚
惯 慣
愤 憤
愦 憒
慑 懾
懑 懣
懒 懶
懔 懍
戆 戇
戋 戔
戏 戲
戗 戧
戬 戩
户 戶
扩 擴
扪 捫
扫 掃
扬 揚
抚 撫
抟 摶
抠 摳
抡 掄
抢 搶
护 護
拟 擬
拢 攏
拣 揀
拥 擁
拦 攔
拧 擰
拨 撥
择 擇
挚 摯
挜 掗
挝 撾
挞 撻
挠 撓
挡 擋
挢 撟
挣 掙
挤 擠
挥 揮
挦 撏
捝 挩
捞 撈
损 損
捡 撿
换 換
捣 搗
掳 擄
掴 摑
掷 擲
掸 撣
掺 摻
掼 摜
揽 攬
揾 搵
揿 撳
搀 攙
搁 擱
搅 攪
摄 攝
摅 攄
摆 擺
摈 擯
摊 攤
撄 攖
撵 攆
撷 擷
撸 擼
撺 攛
擞 擻
攒 攢
敌 敵
敛 斂
斓 斕
斩 斬
旷 曠
旸 暘
昙 曇
昼 晝
昽 曨
晓 曉
晔 曄
晕 暈
晖 暉
暂 暫
暧 曖
杀 殺
杂 雜
杨 楊
杩 榪
枞 樅
枢 樞
枣 棗
枥 櫪
枧 梘
枨 棖
枪 槍
枫 楓
枭 梟
柠 檸
柽 檉
栀 梔
栅 柵
标 標
栈 棧
栉 櫛
栊 櫳
栋 棟
栌 櫨
栎 櫟
栏 欄
树 樹
桠 椏
桡 橈
桢 楨
档 檔
桤 榿
桥 橋
桦 樺
桧 檜
桨 槳
桩 樁
梼 檮
梾 棶
梿 槤
检 檢
棁 梲
棂 欞
椟 櫝
椠 槧
椤 欏
椭 橢
榄 欖
榇 櫬
榈 櫚
榉 櫸
槚 檟
槛 檻
槟 檳
槠 櫧
横 橫
樯 檣
樱 櫻
橥 櫫
橹 櫓
橼 櫞
檩 檁
欧 歐
歼 殲
殇 殤
残 殘
殒 殞
殓 殮
殡 殯
殴 毆
毂 轂
毕 畢
毙 斃
氇 氌
氢 氫
氲 氳
汇 匯
汉 漢
汤 湯
沟 溝
沣 灃
沤 漚
沥 瀝
沦 淪
沧 滄
沩 溈 潙
沪 滬
泶 澩
泷 瀧
泸 瀘
泺 濼
泻 瀉
泼 潑
泽 澤
泾 涇
浃 浹
浅 淺
浆 漿
浇 澆
浈 湞
测 測
浍 澮
济 濟
浏 瀏
浐 滻
浑 渾
浒 滸
浓 濃
浔 潯
涛 濤
涝 澇
涞 淶
涟 漣
涡 渦
涤 滌
润 潤
涧 澗
涨 漲
涩 澀
渊 淵
渌 淥
渍 漬
渎 瀆
渐 漸
渑 澠
渔 漁
湿 濕
溃 潰
溅 濺
滗 潷
滚 滾
滞 滯
滟 灧
满 滿
滢 瀅
滤 濾
滥 濫
滦 灤
滨 濱
滩 灘
滪 澦
潆 瀠
潇 瀟
潋 瀲
潍 濰
澜 瀾
濑 瀨
濒 瀕
灏 灝
灭 滅
灿 燦
炀 煬
炜 煒
炝 熗
炼 煉
炽 熾
烁 爍
烂 爛
烦 煩
烧 燒
烨 燁
烩 燴
烫 燙
烬 燼
热 熱
焕 煥
焖 燜
焘 燾
煴 熅
爷 爺
牍 牘
牵 牽
牺 犧
犊 犢
犷 獷
犸 獁
狈 狽
狝 獮
狞 獰
狭 狹
狮 獅
狯 獪
狰 猙
狱 獄
狲 猻
猃 獫
猕 獼
猡 玀
獭 獺
玑 璣
玚 瑒
玛 瑪
玮 瑋
环 環
现 現
玱 瑲
玺 璽
珐 琺
珑 瓏
珰 璫
珲 琿
琏 璉
琐 瑣
琼 瓊
瑷 璦
璎 瓔
瓒 瓚
瓯 甌
畅 暢
畴 疇
疖 癤
疗 療
疟 瘧
疠 癘
疡 瘍
疬 癧
疮 瘡
疯 瘋
痈 癰
痉 痙
痖 瘂
痨 癆
痪 瘓
痫 癇
瘅 癉
瘆 瘮
瘗 瘞
瘘 瘻
瘪 癟
瘫 癱
瘾 癮
瘿 癭
癞 癩
癣 癬
癫 癲
皑 皚
皲 皸
盏 盞
盐 鹽
监 監
盘 盤
眬 矓
睁 睜
睐 睞
睑 瞼
瞆 瞶
瞒 瞞
矫 矯
矶 磯
矾 礬
矿 礦
砀 碭
码 碼
