軒 轩
貝 贝
債 债
裝 装
態 态
錐 锥
堯 尧
鄭 郑
鄰 邻
邏 逻
祿 禄
藝 艺
贈 赠
漁 渔
闊 阔
鑽 钻
滄 沧
帳 帐
隊 队
漚 沤
釘 钉
鑄 铸
斂 敛
塊 块
諭 谕
腸 肠
轍 辙
療 疗
磧 碛
輿 舆
壓 压
禱 祷
蔭 荫
遞 递
貨 货
冊 册
鴻 鸿
詢 询
鷄 鸡
覷 觑
躡 蹑
懶 懒
瑪 玛
樞 枢
偉 伟
衝 冲
項 项
艱 艰
瑩 莹
訟 讼
鱗 鳞
絡 络
濤 涛
欄 栏
贍 赡
龐 庞
攬 揽
賈 贾
懇 恳
賦 赋
膚 肤
漿 浆
礫 砾
剋 克
譚 谭
員 员
髏 髅
軸 轴
閩 闽
縮 缩
聯 联
剝 剥
銜 衔
厲 厉
鋪 铺
償 偿
鎚 锤
廁 厕
邁 迈
憤 愤
覲 觐
矯 矫
鎧 铠
誌 志
頸 颈
簾 帘
凍 冻
讖 谶
貯 贮
訣 诀
憲 宪
襲 袭
暉 晖
農 农
彥 彦
墻 墙
誅 诛
幹 干
倉 仓
儻 傥
課 课
儉 俭
膩 腻
綴 缀
獼 猕
啞 哑
蘿 萝
誣 诬
駭 骇
蟻 蚁
爍 烁
竅 窍
劇 剧
慣 惯
鈎 钩
繡 绣
禰 祢
訥 讷
鉗 钳
煉 炼
憫 悯
膠 胶
蝦 虾
隸 隶
婁 娄
綸 纶
籬 篱
複 复
犢 犊
齎 赍
摶 抟
販 贩
貿 贸
繒 缯
呂 吕
鑊 镬
鵝 鹅
齡 龄
瓊 琼
膿 脓
鬧 闹
潑 泼
鴦 鸯
嬈 娆
紺 绀
構 构
館 馆
聳 耸
凜 凛
悞 悮
繕 缮
遼 辽
詎 讵
稅 税
翹 翘
嘯 啸
殞 殒
絹 绢
澆 浇
貶 贬
鷹 鹰
煥 焕
憚 惮
濃 浓
頹 颓
嶮 崄
綵 䌽
棟 栋
倆 俩
臍 脐
閏 闰
挾 挟
輟 辍
滌 涤
賺 赚
鬥 斗
帥 帅
遜 逊
蔣 蒋
鸚 鹦
傘 伞
盞 盏
儲 储
島 岛
頁 页
壺 壶
餌 饵
顆 颗
禎 祯
閃 闪
瀾 澜
鵡 鹉
鸞 鸾
麩 麸
佇 伫
逕 迳
貼 贴
寵 宠
溝 沟
輻 辐
紳 绅
訂 订
頒 颁
獎 奖
馮 冯
銳 锐
攢 攒
碩 硕
訴 诉
藪 薮
頷 颔
篋 箧
繪 绘
瑤 瑶
鎔 镕
瘂 痖
攪 搅
綜 综
鋤 锄
燦 灿
鴛 鸳
輦 辇
驟 骤
禦 御
儔 俦
鐸 铎
瀉 泻
紐 纽
嵐 岚
駐 驻
鹹 咸
憒 愦
讎 雠
諳 谙
頴 颕
饉 馑
巒 峦
詭 诡
慘 惨
噓 嘘
轟 轰
靂 雳
蠱 蛊
輥 辊
鄧 邓
唄 呗
誼 谊
協 协
鴿 鸽
羈 羁
蔔 卜
燼 烬
棗 枣
鵲 鹊
僉 佥
贖 赎
纓 缨
亞 亚
滲 渗
譜 谱
鷺 鹭
霽 霁
饌 馔
隴 陇
鶯 莺
岡 冈
闔 阖
閭 闾
薀 蕰
癩 癞
畝 亩
諧 谐
捫 扪
靄 霭
穎 颖
匱 匮
鱉 鳖
駒 驹
爺 爷
錘 锤
瓏 珑
癰 痈
貽 贻
磚 砖
鴉 鸦
鵬 鹏
軛 轭
鄴 邺
誥 诰
闐 阗
籃 篮
諒 谅
頰 颊
顒 颙
鹵 卤
皺 皱
緘 缄
鴨 鸭
颯 飒
韜 韬
駝 驼
麵 面
幟 帜
擻 擞
脹 胀
賒 赊
擺 摆
塹 堑
疇 畴
閡 阂
貳 贰
矚 瞩
撓 挠
鯨 鲸
傭 佣
姦 奸
閫 阃
驕 骄
悵 怅
鈞 钧
葦 苇
钁 镢
驪 骊
撾 挝
鑰 钥
縈 萦
綽 绰
闌 阑
慟 恸
鶖 鹙
鷂 鹞
颺 飏
臟 脏
塢 坞
噴 喷
攔 拦
灘 滩
儂 侬
峽 峡
瀟 潇
馭 驭
閼 阏
鏤 镂
惻 恻
葷 荤
歐 欧
撈 捞
諄 谆
縵 缦
蝕 蚀
檻 槛
驛 驿
蠻 蛮
虜 虏
劑 剂
輯 辑
鬢 鬓
竄 窜
銖 铢
梟 枭
脅 胁
鍛 锻
釧 钏
螢 萤
壘 垒
餉 饷
緯 纬
駿 骏
讒 谗
陝 陕
馴 驯
騁 骋
紋 纹
紜 纭
愜 惬
礪 砺
贏 赢
鞏 巩
萊 莱
頤 颐
鍵 键
軫 轸
剗 刬
絆 绊
獰 狞
績 绩
彎 弯
鶻 鹘
蟬 蝉
詵 诜
貲 赀
蕪 芜
腫 肿
甌 瓯
嚙 啮
摑 掴
瑣 琐
樁 桩
潰 溃
頡 颉
廡 庑
瀆 渎
鯉 鲤
巔 巅
鋸 锯
贓 赃
璉 琏
嶠 峤
頇 顸
漲 涨
擴 扩
訝 讶
儘 尽
賾 赜
鵠 鹄
鐺 铛
慄 栗
囂 嚣
醬 酱
獷 犷
澀 涩
飼 饲
漬 渍
贅 赘
綻 绽
璣 玑
濱 滨
紇 纥
鐙 镫
灣 湾
犧 牺
賽 赛
鍋 锅
躋 跻
鐫 镌
縉 缙
幣 币
駛 驶
紆 纡
謫 谪
騷 骚
殫 殚
貸 贷
蛻 蜕
鉅 钜
藹 蔼
瘞 瘗
絳 绛
饗 飨
顢 颟
嚀 咛
纜 缆
槍 枪
諛 谀
轂 毂
鍬 锹
駢 骈
廳 厅
楓 枫
鏃 镞
簫 箫
勁 劲
嬌 娇
鴣 鸪
鋩 铓
鷓 鹧
轅 辕
謳 讴
緝 缉
繹 绎
璽 玺
殯 殡
騫 骞
轆 辘
脛 胫
驃 骠
籟 籁
駁 驳
顰 颦
穌 稣
腎 肾
櫓 橹
橈 桡
誚 诮
緻 致
鳧 凫
蘄 蕲
綰 绾
滾 滚
廩 廪
轡 辔
