SD-A57C,􄕼,dhā,dhaa,𑖠𑖯
SD-A57D,􄕽,dhi,dhi,𑖠𑖰
SD-A57E,􄕾,dhī,dhii,𑖠𑖱
SD-A5A3,􄖣,dhe,dhe,𑖠𑖸
SD-A5A4,􄖤,dhai,dhai,𑖠𑖹
SD-A5A5,􄖥,dho,dho,𑖠𑖺
SD-A5A6,􄖦,dhau,dhau,𑖠𑖻
SD-A5A7,􄖧,dhaṃ,dha.m,𑖠𑖽
SD-A5A8,􄖨,dhaḥ,dha.h,𑖠𑖾
SD-A5A9,􄖩,na,na,𑖡
SD-A5AA,􄖪,nā,naa,𑖡𑖯
SD-A5AB,􄖫,ni,ni,𑖡𑖰
SD-A5AC,􄖬,nī,nii,𑖡𑖱
SD-A5AD,􄖭,nu,nu,𑖡𑖲
SD-A5AF,􄖯,ne,ne,𑖡𑖸
SD-A5B0,􄖰,nai,nai,𑖡𑖹
SD-A5B1,􄖱,no,no,𑖡𑖺
SD-A5B2,􄖲,nau,nau,𑖡𑖻
SD-A5B3,􄖳,naṃ,na.m,𑖡𑖽
SD-A5B4,􄖴,naḥ,na.h,𑖡𑖾
SD-A5B5,􄖵,pa,pa,𑖢
SD-A5B6,􄖶,pā,paa,𑖢𑖯
SD-A5B7,􄖷,pi,pi,𑖢𑖰
SD-A5B8,􄖸,pī,pii,𑖢𑖱
SD-A5B9,􄖹,pu,pu,𑖢𑖲
SD-A5BB,􄖻,pe,pe,𑖢𑖸
SD-A5BC,􄖼,pai,pai,𑖢𑖹
SD-A5BD,􄖽,po,po,𑖢𑖺
SD-A5BE,􄖾,pau,pau,𑖢𑖻
SD-A5BF,􄖿,paṃ,pa.m,𑖢𑖽
SD-A5C0,􄗀,paḥ,pa.h,𑖢𑖾
SD-A5C1,􄗁,pha,pha,𑖣
SD-A5C2,􄗂,phā,phaa,𑖣𑖯
SD-A5C3,􄗃,phi,phi,𑖣𑖰
SD-A5C7,􄗇,phe,phe,𑖣𑖸
SD-A5C9,􄗉,pho,pho,𑖣𑖺
SD-A5CB,􄗋,phaṃ,pha.m,𑖣𑖽
SD-A5CC,􄗌,phaḥ,pha.h,𑖣𑖾
SD-A5CD,􄗍,ba,ba,𑖤
SD-A5CE,􄗎,bā,baa,𑖤𑖯
SD-A5CF,􄗏,bi,bi,𑖤𑖰
SD-A5D0,􄗐,bī,bii,𑖤𑖱
SD-A5D1,􄗑,bu,bu,𑖤𑖲
SD-A5D3,􄗓,be,be,𑖤𑖸
SD-A5D4,􄗔,bai,bai,𑖤𑖹
SD-A5D5,􄗕,bo,bo,𑖤𑖺
SD-A5D7,􄗗,baṃ,ba.m,𑖤𑖽
SD-A5D8,􄗘,baḥ,ba.h,𑖤𑖾
SD-A5D9,􄗙,bha,bha,𑖥
SD-A5DA,􄗚,bhā,bhaa,𑖥𑖯
SD-A5DB,􄗛,bhi,bhi,𑖥𑖰
SD-A5DC,􄗜,bhī,bhii,𑖥𑖱
SD-A5DD,􄗝,bhu,bhu,𑖥𑖲
SD-A5DE,􄗞,bhū,bhuu,𑖥𑖳
SD-A5DF,􄗟,bhe,bhe,𑖥𑖸
SD-A5E0,􄗠,bhai,bhai,𑖥𑖹
SD-A5E1,􄗡,bho,bho,𑖥𑖺
SD-A5E2,􄗢,bhau,bhau,𑖥𑖻
SD-A5E3,􄗣,bhaṃ,bha.m,𑖥𑖽
SD-A5E4,􄗤,bhaḥ,bha.h,𑖥𑖾
SD-A5E5,􄗥,ma,ma,𑖦
SD-A5E6,􄗦,mā,maa,𑖦𑖯
SD-A5E7,􄗧,mi,mi,𑖦𑖰
SD-A5E8,􄗨,mī,mii,𑖦𑖱
SD-A5EB,􄗫,me,me,𑖦𑖸
SD-A5EC,􄗬,mai,mai,𑖦𑖹
SD-A5ED,􄗭,mo,mo,𑖦𑖺
SD-A5EE,􄗮,mau,mau,𑖦𑖻
SD-A5EF,􄗯,maṃ,ma.m,𑖦𑖽
SD-A5F0,􄗰,maḥ,ma.h,𑖦𑖾
SD-A5F1,􄗱,ya,ya,𑖧
SD-A5F2,􄗲,yā,yaa,𑖧𑖯
SD-A5F3,􄗳,yi,yi,𑖧𑖰
SD-A5F4,􄗴,yī,yii,𑖧𑖱
SD-A5F5,􄗵,yu,yu,𑖧𑖲
SD-A5F7,􄗷,ye,ye,𑖧𑖸
SD-A5F8,􄗸,yai,yai,𑖧𑖹
SD-A5F9,􄗹,yo,yo,𑖧𑖺
SD-A5FB,􄗻,yaṃ,ya.m,𑖧𑖽
SD-A5FC,􄗼,yaḥ,ya.h,𑖧𑖾
SD-A5FD,􄗽,ra,ra,𑖨
SD-A5FE,􄗾,rā,raa,𑖨𑖯
SD-A640,􄙀,ri,ri,𑖨𑖰
SD-A641,􄙁,rī,rii,𑖨𑖱
SD-A642,􄙂,ru,ru,𑖨𑖲
SD-A643,􄙃,rū,ruu,𑖨𑖳
SD-A644,􄙄,re,re,𑖨𑖸
SD-A645,􄙅,rai,rai,𑖨𑖹
SD-A646,􄙆,ro,ro,𑖨𑖺
SD-A647,􄙇,rau,rau,𑖨𑖻
SD-A648,􄙈,raṃ,ra.m,𑖨𑖽
SD-A649,􄙉,raḥ,ra.h,𑖨𑖾
SD-A64A,􄙊,la,la,𑖩
SD-A64B,􄙋,lā,laa,𑖩𑖯
SD-A64C,􄙌,li,li,𑖩𑖰
SD-A64D,􄙍,lī,lii,𑖩𑖱
SD-A64E,􄙎,lu,lu,𑖩𑖲
SD-A650,􄙐,le,le,𑖩𑖸
SD-A651,􄙑,lai,lai,𑖩𑖹
SD-A652,􄙒,lo,lo,𑖩𑖺
SD-A654,􄙔,laṃ,la.m,𑖩𑖽
SD-A655,􄙕,laḥ,la.h,𑖩𑖾
SD-A656,􄙖,va,va,𑖪
