tǔn tun3
qiāo qiāo
làn làn
zī zī
juè juè
a a
gān gān
gà gà
zuò zuò
lí lí
ruó ruó
Śrāvatsa Śrāvatsa
fěi fěi
tái tái
zhà zhà
mǐng mǐng
gāi gāi
féng féng
chā chā
jīng jīng
mǎn mǎn
shéi shéi
zhǎo zhǎo
jǐ jǐ
luǎn luǎn
wèng wèng
hóu hóu
cáng cáng
zhě zhě
rè rè
pǐ pǐ
chái chái
nèi nèi
jiū jiū
zuǐ zuǐ
tiàn tiàn
ě ě
nìng nìng
xin xin
jí jí
shà shà
en en
shāi shāi
liān liān
juān juān
xián xián
zǒu zǒu
wāng wāng
zhao zhao
tāng tāng
dǎng dǎng
hé hé
shú shú
yìng yìng
zhuā zhuā
xìn xìn
dài dài
kǒng kǒng
mān mān
pào pào
qīn qīn
diǎo diǎo
cuǒ cuǒ
shuǐ shuǐ
chá chá
liàn liàn
cài cài
niù niù
jiá jiá
mí mí
tùn tùn
mìng mìng
yá yá
shèng shèng
dī dī
lū lū
hái hái
jiē jiē
yǒu yǒu
tú tú
sùn sùn
kù kù
shěn shěn
mǎi mǎi
wu wu
nǐ nǐ
pìn pìn
mù mù
zēng zēng
zhǒu zhǒu
zài zài
bǎi bǎi
fáng fáng
jiú jiú
yāng yāng
hè hè
lèi lèi
yù yù
bò bò
zhuò zhuò
hù hù
gǒng gǒng
róu róu
yǎ yǎ
zù zù
yīn yīn
yǎo yǎo
cuī cuī
kǔn kǔn
fàn fàn
pán pán
bō bō
suì suì
dēn dēn
cùn cùn
luo luo
tuǒ tuǒ
ō ō
kuì kuì
shē shē
guǐ guǐ
luǒhēi luǒhēi
wāi wāi
mì mì
qū qū
zhuān zhuān
lěi lěi
pǒu pǒu
zǔ zǔ
ráng ráng
hǔn hǔn
lóu lóu
qí qí
nòu nòu
hèng hèng
zhàng zhàng
biàn biàn
ou ou
piǎo piǎo
qūn qūn
zào zào
lán lán
fó fó
sháo sháo
qi qi
ān ān
quan quan
miǎo miǎo
luó luó
zā zā
ruán ruán
ruì ruì
bēi bēi
jǐn jǐn
cī cī
èi èi
guāng guāng
jú jú
qiá qiá
nuǒ nuǒ
bìn bìn
yang yang
huǒ huǒ
pái pái
què què
zhūn zhūn
yīng yīng
shuǎng shuǎng
cán cán
duō duō
miè miè
hang hang
pěi pěi
gàn gàn
shuō shuō
miǎn miǎn
miào miào
wan wan
chéng chéng
kuà kuà
hàn hàn
bào bào
rǔn rǔn
niè niè
hā hā
kǎo kǎo
hēi hēi
hǎn hǎn
nié nié
suǒ suǒ
cào cào
tuán tuán
mán mán
zǎ zǎ
dǎo dǎo
sī sī
zhuo zhuo
xiāng xiāng
māo māo
kòu kòu
chuán chuán
zū zū
nǎ nǎ
bǐn bǐn
jia jia
lüè lüè
shòu shòu
guī guī
chuǎng chuǎng
ǎn ǎn
duān duān
nè nè
kuī kuī
kē kē
chào chào
yào yào
cuó cuó
dèng dèng
chóu chóu
tí tí
qǐn qǐn
zhé zhé
lī lī
shī shī
ruò ruò
xiáo xiáo
zhóu zhóu
kāo kāo
qián qián
bǎn bǎn
jiāo jiāo
yé yé
zhào zhào
ráo ráo
diě diě
piǎn piǎn
yì yì
piè piè
hóng hóng
huāng huāng
bà bà
bàng bàng
hǔ hǔ
huò huò
da da
pǎng pǎng
tuí tuí
bo bo
qiǔ qiǔ
mào mào
bèi bèi
shán shán
mó mó
gěn gěn
xǐng xǐng
dǒng dǒng
wān wān
wū wū
zhuǎi zhuǎi
hùn hùn
ruǎn ruǎn
wēn wēn
nǎng nǎng
chèng chèng
sǒng sǒng
ròu ròu
yǒng yǒng
qìn qìn
tuǐ tuǐ
zhuàn zhuàn
