#CB编号, 通用字, 原字, 組合表示式
CB00480,,𤸌,[病-丙+(企-止+(套-大))]                       
CB00488,瘢,𤻧,[病-丙+槃]                                 
CB00489,療,𤻲,[病-丙+樂]                                 
CB00490,,𤻷,[病-丙+盤]                                 
CB00492,癵,𤼣,[病-丙+戀]                                 
CB00494,,𩚛,[飢-几+內]                                 
CB00501,馱,䭾,[馬*犬]                                   
CB00505,,𩦠,[馬*剽]                                   
CB00509,裔,𧜟,[商/衣]                                   
CB00527,,𨓍,[這-言+(序-予+手)]                           
CB00533,蔗,,[這-言+蔗]                                 
CB00539,,𪍿,[麥*廣]                                   
CB00542,,㽄,[斯/瓦]                                   
CB00547,,𨅐,[無/足]                                   
CB00548,,𤳖,[番*去]                                   
CB00550,斲,𣃆,[登*斤]                                   
CB00551,窗,,[窗/心]                                   
CB00553,脆,,[絕-糸+月]                                 
CB00562,疏,䟽,[跳-兆+(梳-木)]                             
CB00566,,䠒,[跍*月]                                   
CB00568,,𨄈,[跳-兆+梁]                                 
CB00574,,𧄼,[夢-夕+登]                                 
CB00575,,𡫸,[寧*吉]                                   
CB00576,,𩕳,[寧*頁]                                   
CB00578,漩,㳬,[漩-方]                                   
CB00579,漂,㵱,[漂*寸]                                   
CB00589,澗,㵎,[澗-日+月]                                 
CB00590,,𤚲,[穀-禾+牛]                                 
CB00592,,㲉,[穀-禾+卵]                                 
CB00593,衝,𧘂,[衝-重+童]                                 
CB00596,餅,,[麩-夫+并]                                 
CB00600,,𪘨,[齒*來]                                   
CB00601,,𪙁,[齒*查]                                   
CB00602,齹,𪙉,[齒*差]                                   
CB00603,咬,䶧,[齒*堯]                                   
CB00604,,䶩,[齒*齊]                                   
CB00607,搋,𢯯,[據-豕+巾]                                 
CB00608,饌,䉵,[篡-ㄙ+食]                                 
CB00611,蕊,𧄜,[蕊/糸]                                   
CB00618,隸,,[隸-木+土]                                 
CB00620,臍,𪗇,[齋-示+(二/月)]                             
CB00623,,𧫦,[醫-酉+言]                                 
CB00624,奩,,[簽*欠]                                   
CB00626,,㲲,[疊*毛]                                   
CB00629,應,,[(應-心)/言]                               
CB00632,,㔸,[匚@虒]                                   
CB00640,窖,𡇪,[囗@告]                                   
CB00641,俾,𢔌,[彳*卑]                                   
CB00645,氛,𣱦,[气@盆]                                   
CB00647,缽,,[犮/皿]                                   
CB00649,霸,,[襾/(革*月)]                               
CB00650,羈,,[襾/(革*奇)]                               
CB00651,羈,,[襾/(革*馬)]                               
