#CB编号, 通用字, 原字, 組合表示式
CB05671,苓,䕘,[卄/領]                                   
CB05677,槳,㯍,[木*將]                                   
CB05681,,𥦙,[穴/免]                                   
CB05683,,𥤴,[穴/(妍-女)]                               
CB05684,,𦇧,[糸*罽]                                   
CB05687,,𩡣,[香*愛]                                   
CB05688,,𩢘,[馬*叵]                                   
CB05694,囟,䪿,[囟*頁]                                   
CB05695,,𤃃,[汸*番]                                   
CB05696,,𢿽,[牚*ㄆ]                                   
CB05697,,𢷋,[摽*寸]                                   
CB05698,仇,,[仁-二+丸]                                 
CB05699,劙,𠠫,[利-禾+麗]                                 
CB05701,,㤑,[怡-台+右]                                 
CB05705,,𤸎,[病-丙+曷]                                 
CB05706,,㿖,[病-丙+盧]                                 
CB05707,,䘛,[袖-由+几]                                 
CB05708,,𨄨,[跳-兆+敖]                                 
CB05711,,䫻,[颱-台+日]                                 
CB05712,,䬝,[颱-台+黃]                                 
CB05713,彀,𢐙,[聲-耳+弓]                                 
CB05715,蛾,𧒎,[蠢-春+我]                                 
CB05718,,𠆸,[仁-二+(敲-高)]                             
CB05726,,𤛒,[牛弓(巨-匚)匚口]                             
CB05728,,䒠,[卄/丰]                                   
CB05729,,𧂉,[卄/皤]                                   
CB05732,,𠰳,[口*丙]                                   
CB05734,,𠲺,[口*岌]                                   
CB05735,,㖟,[口*受]                                   
CB05736,誻,𠴲,[口*沓]                                   
CB05737,,㘚,[口*闞]                                   
CB05740,埭,,[土*彔]                                   
CB05741,,𡞞,[女*省]                                   
CB05744,,𡷗,[山*完]                                   
CB05745,,𡺍,[山*重]                                   
CB05749,皭,㬭,[日*爵]                                   
CB05751,,𣝕,[木*箋]                                   
CB05754,,㱴,[歹*責]                                   
CB05755,,𤣱,[王*已]                                   
CB05765,,𪾳,[目*韋]                                   
CB05766,,𥈌,[目*修]                                   
CB05767,,䂃,[目*爵]                                   
CB05769,裕,,[示*谷]                                   
CB05771,,䆊,[禾*冀]                                   
CB05772,,𦐤,[亥*羽]                                   
CB05774,妝,䊋,[米*壯]                                   
CB05775,,䋏,[糸*乍]                                   
CB05777,,䎸,[耳*吾]                                   
CB05779,衄,𧖩,[血*力]                                   
CB05780,鵪,𪁟,[含*鳥]                                   
CB05782,,𧥮,[言*互]                                   
CB05783,踡,,[足*雚]                                   
CB05784,轆,𨏔,[車*賣]                                   
CB05785,,𨏦,[車*閵]                                   
CB05787,,𣕾,[林/必]                                   
CB05788,,𨥜,[金*夭]                                   
CB05790,,𣯃,[咨*毛]                                   
CB05791,貞,,[貞-、]                                   
CB05800,驈,䮇,[馬*聿]                                   
CB05802,熨,𣂊,[尉/斗]                                   
CB05804,,䱉,[魚*且]                                   
CB05805,僰,𤏡,[棘/火]                                   
CB05807,,𣂏,[奭*斗]                                   
CB05808,,𣰰,[奭*毛]                                   
CB05818,,𢬤,[打-丁+匡]                                 
CB05820,虧,𧇊,[圬-土+虛]                                 
CB05821,,𠫗,[夙-歹+ㄙ]                                 
CB05823,,𢈈,[序-予+合]                                 
CB05824,,㹶,[狂-王+廷]                                 
CB05826,,𤠤,[狂-王+荒]                                 
CB05827,,㤞,[怡-台+宅]                                 
CB05828,,㥏,[怡-台+典]                                 
CB05829,懣,㦖,[怡-台+悶]                                 
CB05830,惝,𢠵,[怡-台+敞]                                 
CB05831,,𢡞,[怡-台+閏]                                 
CB05833,,㴓,[泳-永+思]                                 
CB05834,灨,𣹟,[泳-永+貢]                                 
CB05838,阜,,[阜-十+廾]                                 
CB05840,貤,䝯,[施-方+貝]                                 
CB05842,嗇,,[素-糸+回]                                 
CB05843,吻,𦝮,[脂-匕+民]                                 
CB05844,瓿,䍌,[培-土+缶]                                 
CB05846,祜,𧙖,[袖-由+古]                                 
CB05856,,𩇕,[彰-章+青]                                 
CB05861,齋,𪗋,[齋-小+衣]                                 
CB05862,薛,𦵮,[薩-產+辛]                                 
CB05864,,𧔞,[蠢-春+原]                                 
CB05865,孿,㝈,[孿-子+孖]                                 
CB05866,,㘘,[戀-心+口]                                 
CB05868,涗,,[況-口+公]                                 
CB05869,,䤻,[堶-土+金]                                 
CB05871,浸,𡩻,[寖-又+巾]                                 
CB05874,玟,䃉,[緡-糸+石]                                 
CB05877,輀,𨎪,[輲-山+而]                                 
CB05882,留,,[(夕*巳)/田]                               
CB05883,辯,𧦬,[(工*几)/言]                               
CB05891,鴃,,[(冰-水+夬)*鳥]                             
CB05895,緝,𦂝,[糸*(口/└/月)]                             
CB05897,,𨎺,[車*(稟-禾+示)]                             
CB05898,郿,,[邱-丘+(尸@目)]                             
CB05901,揜,,[捺-示+(口/廾)]                             
CB05903,寢,𥨊,[寢-(宋-木)+穴]                             
CB05904,旖,,[旖-大+(立-一)]                             
CB05906,擎,,[擎-乂+(厂-一)]                             
CB05907,,㵫,[涾-水+(孱-尸)]                             
CB05908,滻,,[滻-文+(立-一)]                             
CB05912,嬃,𡡓,[((彰-章)/女)*頁]                           
CB05913,蝨,𧒢,[虱-(乏-之+虫)+蟲]                           
CB05915,崒,,[山*(〦/(坐-土+十))]                         
CB05919,謁,,[言*(日/(句-口+匕))]                         
CB05928,,㖤,[口*函]                                   
CB05929,,𠴵,[口*帚]                                   
CB05930,,𠵜,[口*罔]                                   
CB05931,,㖓,[口*夆]                                   
CB05932,,𡊨,[土*玄]                                   
CB05937,,㛱,[女*畏]                                   
CB05939,,𡼠,[山*幾]                                   
CB05941,,𢎪,[弓*几]                                   
CB05943,魂,䰟,[云/鬼]                                   
CB05944,,䲶,[元/鳥]                                   
CB05946,,㫆,[方*尒]                                   
CB05947,,𣆀,[日*冉]                                   
CB05951,昶,,[日/永]                                   
CB05952,,𣊡,[日/絲]                                   
CB05953,曠,𣋷,[日/廣]                                   
CB05954,,䐹,[月*肅]                                   
CB05958,,㭾,[木*屈]                                   
CB05962,檇,㰎,[木*嶲]                                   
CB05963,,㱓,[止*令]                                   
CB05967,,𤇅,[火*且]                                   
CB05968,,㷝,[火*突]                                   
CB05970,,𤓝,[火*蘥]                                   
CB05972,,𤤆,[王*斤]                                   
CB05975,,㻋,[王*束]                                   
CB05983,,䲻,[玄*鳥]                                   
CB05985,,𤲬,[田*耎]                                   
CB05987,,㿨,[白*歷]                                   
CB05990,,䃋,[石*俞]                                   
CB05992,祺,,[示*基]                                   
CB05993,祀,,[示*冀]                                   
CB05994,禎,,[禾*貞]                                   
CB05995,窈,𥥆,[穴/幻]                                   
CB05996,,䇄,[立*乞]                                   
CB05998,,𥾍,[糸*干]                                   
CB05999,,𥿊,[糸*斥]                                   
CB06000,,䋴,[糸*柔]                                   
CB06007,,𧌇,[虫*朋]                                   
CB06008,,𧤗,[角*耑]                                   
CB06012,,𧧶,[言*余]                                   
CB06013,,𧬈,[言*翕]                                   
CB06014,詗,𧨝,[言*冏]                                   
CB06015,,䀃,[豕/皿]                                   
CB06016,賦,,[貝*付]                                   
CB06020,怯,㤼,[怯*力]                                   
CB06023,,𨨣,[金*具]                                   
CB06024,,𨵈,[門@非]                                   
CB06025,,𨵮,[門@重]                                   
CB06027,,𩅦,[雨/單]                                   
CB06028,,𡏅,[郎/土]                                   
CB06029,鵪,𪃬,[酋*鳥]                                   
CB06032,羹,𦎟,[羔/火]                                   
CB06033,那,,[郡-口]                                   
CB06035,駉,䮐,[馬*冏]                                   
CB06038,,𪀚,[鳥*戎]                                   
CB06039,麇,,[鹿/囷]                                   
CB06043,,㳄,[盜-皿]                                   
CB06046,,𡁉,[嗎/中]                                   
CB06050,匡,,[匚@千]                                   
CB06051,匡,,[匚@干]                                   
CB06055,獂,䝠,[豸*原]                                   
CB06061,,𧸵,[賏/空]                                   
CB06062,,𨈀,[蹎*頁]                                   
CB06063,,𩆞,[霝/田]                                   
CB06070,,𠌲,[仁-二+斬]                                 
CB06071,,𠎿,[仁-二+解]                                 
CB06072,,𠖥,[冗-几+龍]                                 
CB06074,,𣒗,[木*去*ㄗ]                                 
CB06077,,𢪑,[打-丁+旡]                                 
CB06078,攜,𢹂,[打-丁+嶲]                                 
CB06079,命,𠇮,[企-止+丙]                                 
CB06083,,𠟂,[利-禾+曾]                                 
CB06084,昃,𣅳,[吳-口+日]                                 
CB06091,豷,𤡬,[狂-王+壹]                                 
CB06092,,𤢴,[狂-王+樂]                                 
CB06094,,㥬,[怡-台+旁]                                 
CB06096,懼,𢣷,[怡-台+翟]                                 
CB06098,,𣳑,[泳-永+申]                                 
CB06102,,㶕,[泳-永+簡]                                 
CB06104,,𥯪,[竺-二+奏]                                 
CB06107,虡,𥲤,[竺-二+虛]                                 
CB06109,,䉡,[竺-二+亶]                                 
CB06110,邶,𨚍,[邱-丘+比]                                 
CB06113,酅,𨟎,[邱-丘+嶲]                                 
CB06114,弛,㢮,[施-方+弓]                                 
CB06115,炫,,[炫-ㄙ+ㄥ]                                 
CB06116,堞,𡍕,[堉-月+木]                                 
CB06117,,𤋦,[烈-列+秋]                                 
CB06120,,𧛊,[袖-由+昔]                                 
CB06121,,䙆,[袖-由+癸]                                 
CB06130,,𨁃,[跳-兆+弟]                                 
CB06131,,𨈊,[跳-兆+彎]                                 
CB06132,,𢼹,[敲-高+甫]                                 
CB06137,槱,𣜃,[樵-隹+酋]                                 
CB06138,,𤁳,[濡-而+言]                                 
CB06139,,𥖪,[穫-禾+石]                                 
CB06142,蠆,䘍,[蠢-春+萬]                                 
CB06145,,𧘑,[袀-二+、]                                 
CB06151,羊,,[(┤*├)/干]                               
CB06154,斸,𣃁,[(尸@禹)*斤]                               
CB06155,,䡗,[(工*凡)/車]                               
CB06156,,𣮖,[(牙*ㄆ)/毛]                               
CB06164,盝,,[盝-(彖-豕)+?]                             
CB06165,蚩,,[山/(乏-之+虫)]                             
CB06169,懇,𢢽,[怡-台+(懇-心)]                             
CB06171,遞,,[逅-口+巾]                                 
CB06174,,㾛,[病-丙+(唚-口)]                             
CB06175,,𢋫,[廖-(彰-章)+貝]                             
CB06176,玨,,[穀-(一/禾)+壬]                             
CB06180,枴,,[柺-力+(万-一)]                             
CB06192,聰,,[聰-囪+(句-口+夕)]                           
CB06195,慎,𦚉,[((嘹-口)-小)-日+月]                         
CB06166,,𡹉,[山/(敲-高+止)]                             
CB06202,栗,,[桌-日+(ㄇ@(人/人))]                         
CB06203,袞,,[褒-保+(八/(ㄠ-ㄙ))]                         
CB06207,,𨩼,[錠-(完-兀)+(雪-雨+├)]                       
CB06210,臺,䑓,[臺-吉+(其-(六-(〦-一)))]                     
CB06214,氍,,[((木-(企-止)+昍)/大)*毛]                     
CB06218,囈,,[言*(卄/執/云)]                             
CB06228,赫,𦮰,[卄/亦]                                   
CB06230,桑,𦶿,[卄/桑]                                   
CB06233,,𠺗,[口*迷]                                   
CB06235,,𠹤,[口*恚]                                   
CB06238,,𡛠,[女*去]                                   
CB06239,嬴,㜲,[女*嬴]                                   
CB06242,,𡸣,[山*兒]                                   
CB06243,嵬,𡸖,[山*果]                                   
CB06245,盈,𡺡,[山*盈]                                   
CB06246,,㟽,[山*票]                                   
CB06247,,𡻭,[山/累]                                   
CB06249,嶮,𡽗,[山/僉]                                   
CB06251,昫,㫬,[日*旬]                                   
CB06252,,𣆴,[日*延]                                   
CB06253,,𣈞,[日*空]                                   
CB06254,,㬇,[日*奐]                                   
CB06264,,𤩄,[王*巽]                                   
CB06265,,𤪙,[王*爾]                                   
CB06268,,𥋙,[目*業]                                   
CB06269,碾,𥗇,[石*輦]                                   
CB06270,移,,[示*多]                                   
CB06274,,𥞪,[禾*米]                                   
CB06275,,䅣,[禾*皇]                                   
CB06276,,䅦,[禾*苗]                                   
CB06277,,䄯,[妍-女+禾]                                 
CB06279,,𥞫,[禾/米]                                   
CB06281,寔,𥦽,[穴/是]                                   
CB06282,,𥧡,[穴/貢]                                   
CB06285,聞,𥹢,[米/耳]                                   
CB06289,勃,㔜,[孚*力]                                   
CB06290,,𩒮,[求*頁]                                   
CB06292,,𧨳,[言*卓]                                   
CB06296,鵒,𨿜,[谷*隹]                                   
CB06298,輠,𨍹,[車*鬼]                                   
CB06299,晨,㫳,[辰/日]                                   
CB06303,,䥡,[金*牒]                                   
CB06304,,𨨠,[金*匊]                                   
CB06305,闃,𨵙,[門@具]                                   
CB06307,,𩄭,[雨/悟]                                   
CB06309,蝌,𧎗,[科/虫]                                   
CB06311,速,𧫣,[敕/言]                                   
CB06324,鬢,𩬆,[髟/丐]                                   
CB06325,,𩭳,[髟/忽]                                   
CB06326,,䕞,[菛@良]                                   
CB06327,瀲,㶑,[澰*欠]                                   
CB06328,鴒,𪈝,[霝*鳥]                                   
CB06336,抱,𢬘,[打-丁+色]                                 
CB06340,,䚯,[利-禾+言]                                 
CB06342,,𡨢,[宋-木+居]                                 
CB06343,,𤞌,[狂-王+宅]                                 
CB06344,,𤞞,[狂-王+谷]                                 
CB06345,,𤢟,[狂-王+睪]                                 
CB06346,,㺜,[狂-王+農]                                 
CB06350,,㥒,[怡-台+采]                                 
CB06351,,𢠄,[怡-台+崇]                                 
CB06356,,𣾺,[泳-永+開]                                 
CB06357,,𤅙,[泳-永+嚴]                                 
CB06358,,𥫫,[竺-二+下]                                 
CB06359,,𥯀,[竺-二+金]                                 
CB06360,,䈗,[竺-二+俊]                                 
CB06364,,𨝽,[邱-丘+雲]                                 
CB06365,嶺,,[阿-可+令]                                 
CB06367,,𨺲,[阿-可+禹]                                 
CB06369,,𤺄,[病-丙+童]                                 
CB06372,,䟐,[起-巳+歷]                                 
CB06374,梔,,[梔-巴+巳]                                 
CB06375,,𧘍,[袖-由+工]                                 
CB06376,,𧘱,[袖-由+比]                                 
CB06378,,䙅,[袖-由+要]                                 
CB06379,,𧝋,[袖-由+敦]                                 
CB06380,廷,𨑲,[這-言+手]                                 
CB06381,巡,𨑾,[這-言+水]                                 
CB06382,,䢖,[這-言+聿]                                 
CB06384,,𣬼,[毯-炎+皮]                                 
CB06386,髦,𨱞,[肆-聿+毛]                                 
CB06387,,䟕,[跳-兆+叉]                                 
CB06388,,𨀧,[跳-兆+丞]                                 
CB06391,,䫿,[颱-台+召]                                 
CB06396,鑿,,[醫-酉+金]                                 
CB06397,,䶉,[鼬-由+留]                                 
CB06399,軓,𨊠,[軛-厂]                                   
CB06401,,𠇾,[但-日+木]                                 
CB06408,鴉,𪀨,[鴢-力+ㄠ]                                 
CB06414,恢,,[火*(厂@火)]                               
CB06416,,𩃰,[雨/(湤-方)]                               
CB06427,聘,𨉯,[身*(叟-又+ㄎ)]                             
CB06429,,𥮨,[竺-二+(公/心)]                             
CB06431,邈,𨗿,[這-言+(豸*艮)]                             
CB06434,騰,䠮,[跳-兆+(騰-月)]                             
CB06435,嵕,𡽀,[嵕-凶+(鬯-匕)]                             
CB06440,,𥸦,[虱-(乏-之+虫)+米]                           
CB06448,洍,,[泳-永+((厂-一)*臣)]                         
CB06449,崎,,[崁-土+(立/(可-一))]                         
CB06450,,𤪀,[(嵕-凶+(鬯-匕))-山+王]                       
CB06457,篤,䔍,[卄/馬]                                   
CB06458,,𦸗,[卄/戚]                                   
CB06459,,䔩,[卄/敕]                                   
CB06460,,䔿,[卄/尊]                                   
CB06462,稚,䕌,[卄/稚]                                   
CB06463,菉,𦾯,[卄/綠]                                   
CB06464,,䓲,[卄/侻]                                   
CB06466,藉,,[卄/稓]                                   
CB06467,藤,䕨,[卄/縢]                                   
CB06468,,㙗,[土*畏]                                   
CB06469,,𡑆,[土*量]                                   
CB06471,,𡠩,[女*堅]                                   
CB06472,嫮,,[女*雽]                                   
CB06474,,𡴾,[山*已]                                   
CB06478,,㠂,[山*敖]                                   
CB06479,,𡻱,[山*累]                                   
CB06480,嶭,𡾲,[山*薛]                                   
CB06481,崦,𡹮,[山*弇]                                   
CB06482,,𡾝,[山*褱]                                   
CB06483,,𡵒,[巳/山]                                   
CB06484,,䲰,[云*鳥]                                   
CB06485,,䲮,[元*鳥]                                   
CB06488,,䏏,[月*于]                                   
CB06489,,𦛗,[月*呂]                                   
CB06491,,䐁,[月*豖]                                   
CB06493,,𣚛,[木*虛]                                   
CB06494,,𣛣,[木*開]                                   
CB06495,,㶦,[火*予]                                   
CB06496,,𤐐,[火*詹]                                   
CB06497,,𪚱,[火*龜]                                   
CB06498,,𤘚,[牛*弋]                                   
CB06503,,𤧫,[王*追]                                   
CB06509,,䀲,[目*每]                                   
CB06511,,𥊑,[目*曼]                                   
CB06512,,𥌃,[目*爾]                                   
CB06515,,𥗔,[石*蕩]                                   
CB06518,,𥖨,[石*喿]                                   
CB06519,,䃼,[示*卜]                                   
CB06520,祇,,[示*互]                                   
CB06524,,䅘,[禾*來]                                   
CB06525,,𥠾,[禾*冓]                                   
CB06528,竮,𥩵,[立*并]                                   
CB06530,劾,𠜨,[亥*刃]                                   
CB06531,額,,[名*頁]                                   
CB06532,,𥺀,[米*弟]                                   
CB06534,,䏂,[耳*叟]                                   
CB06535,,𦤎,[自/本]                                   
CB06536,蚌,𧉻,[虫*半]                                   
CB06537,,䖵,[虫*虫]                                   
CB06541,,𣢺,[含*欠]                                   
CB06545,蕤,,[豕*生]                                   
CB06546,,䝻,[貝*居]                                   
CB06547,,䝼,[貝*青]                                   
CB06548,聃,𨈭,[身*冉]                                   
CB06549,,𨍐,[車*胥]                                   
CB06550,,𨏭,[車*闌]                                   
CB06555,鍥,䤿,[金*挈]                                   
CB06556,,𨴻,[門@里]                                   
CB06559,霾,,[雨/狸]                                   
CB06560,,𩅰,[雨/斯]                                   
CB06562,黼,𦓞,[耑*甫]                                   
CB06563,鶺,,[脊/鳥]                                   
CB06564,,𩔦,[追*頁]                                   
CB06565,,䭿,[馬*失]                                   
CB06566,,𩣔,[馬*夸]                                   
CB06567,驖,𩦷,[馬*截]                                   
CB06568,骴,𩨨,[骨*比]                                   
CB06569,,𩨬,[骨*玄]                                   
CB06570,,𤮊,[康*瓦]                                   
CB06571,,𥻦,[殺/米]                                   
CB06573,褭,䙚,[鳥/衣]                                   
CB06576,痛,,[痛/心]                                   
CB06578,,𪏕,[黃*軍]                                   
CB06579,,䴈,[奧*鳥]                                   
CB06580,,𤢕,[睪*犬]                                   
CB06582,厭,𢣽,[(序-予+猒)/心]                             
CB06584,,䶢,[齒*咸]                                   
CB06586,,𪈌,[獨/鳥]                                   
CB06587,,𤬛,[盧*瓜]                                   
CB06588,,䥸,[彌/金]                                   
CB06589,壞,,[襄*ㄆ]                                   
CB06591,,䯯,[髟/少]                                   
CB06592,,𤳦,[畾/大]                                   
CB06594,巷,,[卄/大/巳]                                 
CB06595,巇,𡾟,[山*虛*戈]                                 
CB06599,,㧅,[打-丁+刀]                                 
CB06600,挲,,[打-丁+娑]                                 
CB06602,,𢸳,[打-丁+蕭]                                 
CB06605,,𢱫,[打-丁+罡]                                 
CB06606,壞,𢸬,[打-丁+褱]                                 
CB06607,爾,,[企-止+爾]                                 
CB06609,缶,,[缶-午+千]                                 
CB06610,郤,𠜗,[利-禾+希]                                 
CB06611,吝,𠫤,[希-巾+ㄙ]                                 
CB06612,旅,𢮯,[抗-几+衣]                                 
CB06613,,㹳,[狂-王+吾]                                 
CB06615,,𤟤,[狂-王+軍]                                 
CB06618,,𢟨,[怡-台+莽]                                 
CB06619,,㳁,[泳-永+仄]                                 
CB06623,沱,𣵻,[泳-永+陀]                                 
CB06625,漻,㵳,[泳-永+寥]                                 
CB06627,,㵿,[泳-永+皛]                                 
CB06628,炙,䏑,[炙-火+肉]                                 
CB06629,,𥬹,[竺-二+共]                                 
CB06630,箈,䈚,[竺-二+怠]                                 
CB06632,,𥸡,[竺-二+贛]                                 
CB06633,,䉉,[竺-二+觚]                                 
CB06634,虡,𧇀,[虎-儿+兵]                                 
CB06635,隰,𨻽,[阿-可+累]                                 
CB06636,坻,𡊇,[施-方+土]                                 
CB06637,貤,𥅓,[施-方+目]                                 
CB06638,鬷,𩰺,[唆-口+鬲]                                 
CB06639,,㸐,[烈-列+難]                                 
CB06641,,䟃,[起-巳+參]                                 
CB06642,,䟆,[起-巳+畢]                                 
CB06643,,𧽼,[起-巳+覃]                                 
CB06644,,𨻼,[陛-比+非]                                 
CB06645,培,㟝,[培-土+山]                                 
CB06647,徙,𨑭,[這-言+止]                                 
CB06648,,𨗈,[這-言+景]                                 
CB06649,遴,𨗄,[這-言+焱]                                 
CB06652,寋,,[塞-土+巳]                                 
CB06653,,㥶,[塞-土+心]                                 
CB06655,,䑽,[榻-木+舟]                                 
CB06657,,䬟,[颱-台+劉]                                 
CB06658,觴,𨢩,[殤-歹+酉]                                 
CB06659,莛,,[蓮-車+壬]                                 
CB06664,匭,,[匭-九+丸]                                 
CB06666,嫠,,[婺-矛+牙]                                 
CB06667,楂,,[楂-旦+且]                                 
CB06668,綌,𥿭,[絺-巾+ㄙ]                                 
CB06672,菑,𦸜,[蕢-貝+回]                                 
CB06673,,𣠄,[檑-田+品]                                 
CB06674,,𣠚,[檑-田+留]                                 
CB06676,薄,,[蘹-褱+尃]                                 
CB06678,罼,,[(ㄇ@︿)/畢]                               
CB06682,弢,,[弓*(山/文)]                               
CB06683,禍,,[示*(乃@吉)]                               
CB06687,覈,𩅢,[雨/(檄-木)]                               
CB06688,騞,,[馬*(主/石)]                               
CB06689,弔,𢎨,[第-(竺-二)]                               
CB06690,榱,,[欀-(口*口)]                               
CB06695,嗤,,[口*(山/一/虫)]                             
CB06696,,㙈,[土*(虎-儿+几)]                             
CB06703,搜,,[按-女+(火/又)]                             
CB06707,,𤼊,[病-丙+(臾/貝)]                             
CB06708,,𤻘,[病-丙+(穩-禾)]                             
CB06713,遻,𨕣,[遻-(朔-月)+午]                             
CB06715,鬷,,[鬷-凶+(鬯-匕)]                             
CB06718,愆,,[仁-二+(巢-果+言)]                           
CB06721,癉,,[病-丙+(亶-旦+且)]                           
CB06723,,𡝻,[嫽-(日/小)+(夸-大)]                         
CB06729,,㖦,[口*東]                                   
CB06730,,𠶾,[口*苛]                                   
CB06731,,𠹔,[口*唐]                                   
CB06732,,𡅶,[口*騫]                                   
CB06735,,𡵆,[山*巳]                                   
CB06741,,𦟥,[月*逐]                                   
CB06742,,㮀,[木*函]                                   
CB06744,,𣥡,[止*毛]                                   
CB06745,,𣩊,[歹*桀]                                   
CB06747,,𧉪,[加/虫]                                   
CB06748,,𩿶,[央*鳥]                                   
CB06751,,𥍉,[目*聶]                                   
CB06752,,䃛,[石*連]                                   
CB06753,魅,,[示*未]                                   
CB06754,宦,䆠,[穴/臣]                                   
CB06755,,𥦱,[穴/兔]                                   
CB06756,,𥦠,[穴/注]                                   
CB06758,,𣭠,[如/毛]                                   
CB06760,,𥼃,[米*責]                                   
CB06761,穬,䊯,[米*廣]                                   
CB06762,致,,[至*反]                                   
CB06763,,䑪,[舟*合]                                   
CB06766,,𧌮,[虫*豖]                                   
CB06767,,𧨘,[言*形]                                   
CB06768,聘,,[身*甹]                                   
CB06770,,𨦡,[金*羊]                                   
CB06772,嗣,,[扁*司]                                   
CB06775,,𩥂,[馬*耆]                                   
CB06776,,𩨫,[骨*尹]                                   
CB06777,鯀,𩩌,[骨*系]                                   
CB06779,鯬,𩼽,[魚*黎]                                   
CB06784,,𪖾,[鼻*嵬]                                   
CB06785,,䶖,[齒*今]                                   
CB06786,,䶝,[齒*夾]                                   
CB06787,,𪙑,[齒*屑]                                   
CB06788,齜,𪘿,[齒*柴]                                   
CB06791,,𪙍,[齒*尃]                                   
CB06794,剃,𩮜,[髟/剔]                                   
CB06796,替,㬱,[兟/曰]                                   
CB06797,鞀,,[鞁/兆]                                   
CB06798,樵,𦿕,[蓷/木]                                   
CB06799,鵩,,[鵬-月+?]                                 
CB06802,,㩚,[打-丁+蒙]                                 
CB06803,,㩴,[打-丁+瞿]                                 
CB06804,擁,𢺠,[打-丁+廱]                                 
CB06805,,𢈹,[序-予+阜]                                 
CB06806,,𢙬,[怡-台+伊]                                 
CB06809,,𢝆,[怡-台+重]                                 
CB06811,,𣴥,[泳-永+狂]                                 
CB06815,,𥴈,[竺-二+棧]                                 
CB06816,,𥴖,[竺-二+椑]                                 
CB06817,,𨝸,[邱-丘+覃]                                 
CB06818,,𨻳,[阿-可+焉]                                 
CB06819,鳶,䳒,[栽-木+鳥]                                 
CB06821,撐,𣥺,[堂-土+止]                                 
CB06826,,𦛠,[腥-生+土]                                 
CB06828,,䟿,[跳-兆+彔]                                 
CB06829,,𧀧,[夢-夕+夌]                                 
CB06830,弢,㢭,[敲-高+弓]                                 
CB06831,,𪌃,[麩-夫+干]                                 
CB06832,樵,,[蕉-隹+推]                                 
CB06833,懋,𢠘,[懋-矛+夕]                                 
CB06835,,𤐰,[穫-禾+火]                                 
CB06839,羺,𦏌,[羺-雨+而]                                 
CB06840,蕤,,[(卄/豕)*生]                               
CB06844,,𣯅,[(厂@炎)*毛]                               
CB06846,黼,,[卄/(爾*甫)]                               
CB06850,咽,,[尸@(栗-木+土)]                             
CB06852,,𤵸,[病-丙+(絳-糸)]                             
CB06853,騞,𩥟,[馬*(壹-豆+石)]                             
CB06856,,𦣪,[臨-品+(口/皿)]                             
CB06868,,䕪,[卄/澤]                                   
CB06871,怨,,[死/心]                                   
CB06872,,𢇛,[序-予+干]                                 
CB06873,迴,𢌞,[廷-壬+(同-(一/口)+巳)]                       
CB06874,,𥬰,[竺-二+(狦-(狂-王))]                         
CB06876,,𠄏,[?了]                                    
CB06878,人,𤯔,[一/生]                                   
CB06879,蚤,𧈡,[又/虫]                                   
CB06882,,㗢,[口*動]                                   
CB06883,呢,𠽬,[口*貳]                                   
CB06884,謑,𠿇,[口*解]                                   
CB06885,,㠠,[山*盧]                                   
CB06886,,𡿎,[山/離]                                   
CB06888,,𣈏,[日*昔]                                   
CB06889,,𣈳,[日/勉]                                   
CB06891,,𦡫,[月*義]                                   
CB06892,,䑆,[月*養]                                   
CB06895,,𣓉,[木*疌]                                   
CB06900,呿,㰦,[去*欠]                                   
CB06906,,㝁,[旬/子]                                   
CB06907,紵,𥿾,[糸*守]                                   
CB06908,,𦁉,[糸*妾]                                   
CB06909,絇,䋧,[糸*居]                                   
CB06910,,𧏞,[虫*差]                                   
CB06911,,䗧,[虫*康]                                   
CB06912,蟠,𧓙,[虫*槃]                                   
CB06914,,𣭵,[束*毛]                                   
CB06915,,䛟,[言*夾]                                   
CB06916,,𨉱,[身*弱]                                   
CB06921,,𨥅,[金*丈]                                   
CB06922,,䤤,[金*亥]                                   
CB06924,閉,𨳰,[門@午]                                   
CB06926,粊,𥺟,[非/米]                                   
CB06928,,𩊭,[革*兌]                                   
CB06929,,𩋣,[革*帝]                                   
CB06930,,䲒,[魚*解]                                   
CB06932,鷜,𪅛,[鳥*婁]                                   
CB06934,,䗸,[雍/虫]                                   
CB06935,,𠥱,[匚@出]                                   
CB06936,,䝱,[劦/貝]                                   
CB06938,俊,,[倠/乃]                                   
CB06939,鬌,𩭦,[髟/垂]                                   
CB06942,柳,𣓠,[木*戶*戶]                                 
CB06944,揃,㨵,[打-丁+剪]                                 
CB06945,,𢴚,[打-丁+匿]                                 
CB06949,,㓲,[利-禾+扁]                                 
CB06950,,𠟋,[利-禾+堯]                                 
CB06951,,㹦,[狂-王+召]                                 
CB06952,,𦍕,[狂-王+羊]                                 
CB06955,,㥾,[怡-台+匿]                                 
CB06956,,𥬕,[竺-二+冉]                                 
CB06958,,𨼸,[阿-可+睪]                                 
CB06960,恐,𢙢,[恕-女+工]                                 
CB06962,,𤸑,[病-丙+复]                                 
CB06963,,䞣,[起-巳+斥]                                 
CB06964,,䞦,[起-巳+各]                                 
CB06965,,𩟅,[飢-几+僉]                                 
CB06966,,𧜅,[袖-由+害]                                 
CB06967,,䑜,[喋-口+舌]                                 
CB06968,,𢲉,[揆-天+示]                                 
CB06969,,𨋪,[絳-糸+車]                                 
CB06970,,𨂊,[跳-兆+周]                                 
