腌 骯 U+814C U+9AAF
釬 銲 U+91EC U+92B2
桁 航 U+6841 U+822A
薅 茠 U+8585 U+8320
諕 唬 U+8AD5 U+552C
澔 浩 U+6F94 U+6D69
秏 耗 U+79CF U+8017
耗 秏 U+8017 U+79CF
訶 呵 U+8A36 U+5475
合 閤 U+5408 U+95A4
和 龢 U+548C U+9FA2
核 覈 U+6838 U+8988
涸 凅 U+6DB8 U+51C5
闔 閤 U+95D4 U+95A4
龢 和 U+9FA2 U+548C
嘿 默 U+563F U+9ED8
魟 鰩 U+9B5F U+9C29
灴 烘 U+7074 U+70D8
呼 謼 U+547C U+8B3C
虖 呼 U+8656 U+547C
楜 胡 U+695C U+80E1
糊 胡 U+7CCA U+80E1
葫 胡 U+846B U+80E1
蝴 胡 U+8774 U+80E1
冱 沍 U+51B1 U+6C8D
花 蘤 U+82B1 U+8624
劃 划 U+5283 U+5212
崋 華 U+5D0B U+83EF
譁 嘩 U+8B41 U+5629
划 劃 U+5212 U+5283
怀 懷 U+6000 U+61F7
坏 坯 U+574F U+576F
讙 歡 U+8B99 U+6B61
鍰 鐶 U+9370 U+9436
浣 澣 U+6D63 U+6FA3
堭 隍 U+582D U+968D
徨 遑 U+5FA8 U+9051
輝 煇 U+8F1D U+7147
迴 回 U+8FF4 U+56DE
卉 芔 U+5349 U+8294
彗 篲 U+5F57 U+7BF2
繢 繪 U+7E62 U+7E6A
餛 餫 U+991B U+992B
伙 夥 U+4F19 U+5925
檴 穫 U+6AB4 U+7A6B
丌 其 U+4E0C U+5176
羇 羈 U+7F87 U+7F88
踦 犄 U+8E26 U+7284
蹟 跡 U+8E5F U+8DE1
躋 隮 U+8E8B U+96AE
飢 饑 U+98E2 U+9951
极 極 U+6781 U+6975
耤 藉 U+8024 U+85C9
藉 耤 U+85C9 U+8024
家 傢 U+5BB6 U+50A2
唊 硤 U+550A U+7864
榎 檟 U+698E U+6A9F
檟 斝 U+6A9F U+659D
牋 箋 U+724B U+7B8B
間 閒 U+9593 U+9592
剪 翦 U+526A U+7FE6
簡 耕 U+7C21 U+8015
薦 荐 U+85A6 U+8350
鑑 鑒 U+9451 U+9452
閒 間 U+9592 U+9593
嬌 撟 U+5B0C U+649F
揭 結 U+63ED U+7D50
街 亍 U+8857 U+4E8D
杰 傑 U+6770 U+5091
斤 觔 U+65A4 U+89D4
襟 衿 U+895F U+887F
堇 菫 U+5807 U+83EB
賮 贐 U+8CEE U+8D10
井 丼 U+4E95 U+4E3C
儆 警 U+5106 U+8B66
阱 汫 U+9631 U+6C6B
俓 勁 U+4FD3 U+52C1
凈 淨 U+51C8 U+6DE8
淨 凈 U+6DE8 U+51C8
逕 徑 U+9015 U+5F91
炯 烱 U+70AF U+70F1
烱 炯 U+70F1 U+70AF
褧 絅 U+8927 U+7D45
揪 揫 U+63EA U+63EB
趄 跙 U+8D84 U+8DD9
匊 掬 U+530A U+63AC
咀 嘴 U+5480 U+5634
跙 趄 U+8DD9 U+8D84
踽 偊 U+8E3D U+504A
寠 窶 U+5BE0 U+7AB6
窶 寠 U+7AB6 U+5BE0
鉅 巨 U+9245 U+5DE8
卷 捲 U+5377 U+6372
狷 獧 U+72F7 U+7367
屩 蹺 U+5C69 U+8E7A
掘 撅 U+6398 U+6485
譎 憰 U+8B4E U+61B0
浚 濬 U+6D5A U+6FEC
欬 咳 U+6B2C U+54B3
埳 坎 U+57F3 U+574E
墈 磡 U+5888 U+78E1
矙 瞰 U+77D9 U+77B0
攷 考 U+6537 U+8003
考 攷 U+8003 U+6537
啃 齦 U+5543 U+9F66
坑 阬 U+5751 U+962C
侉 誇 U+4F89 U+8A87
胯 骻 U+80EF U+9ABB
膾 鱠 U+81BE U+9C60
鱠 膾 U+9C60 U+81BE
絖 纊 U+7D56 U+7E8A
纊 絖 U+7E8A U+7D56
媿 愧 U+5ABF U+6127
愧 媿 U+6127 U+5ABF
餽 饋 U+993D U+994B
捆 綑 U+6346 U+7D91
睏 困 U+774F U+56F0
擃 攮 U+64C3 U+652E
來 耒 U+4F86 U+8012
嬾 懶 U+5B3E U+61F6
琅 瑯 U+7405 U+746F
瑯 琅 U+746F U+7405
蜋 螂 U+870B U+8782
螂 蜋 U+8782 U+870B
佬 姆 U+4F6C U+59C6
潦 澇 U+6F66 U+6F87
磊 磥 U+78CA U+78E5
耒 來 U+8012 U+4F86
褵 縭 U+8935 U+7E2D
貍 狸 U+8C8D U+72F8
離 离 U+96E2 U+79BB
朸 扐 U+6738 U+6250
蘞 薟 U+861E U+859F
歛 斂 U+6B5B U+6582
膋 膫 U+818B U+81AB
暸 瞭 U+66B8 U+77AD
冽 洌 U+51BD U+6D0C
痳 痲 U+75F3 U+75F2
菻 麻 U+83FB U+9EBB
櫺 欞 U+6AFA U+6B1E
鎏 鏐 U+938F U+93D0
朧 矓 U+6727 U+77D3
嘍 謱 U+560D U+8B31
艫 櫓 U+826B U+6AD3
甪 角 U+752A U+89D2
侖 崙 U+4F96 U+5D19
螺 蠃 U+87BA U+8803
濼 泊 U+6FFC U+6CCA
褸 蔞 U+8938 U+851E
氯 綠 U+6C2F U+7DA0
痲 痳 U+75F2 U+75F3
傌 罵 U+508C U+7F75
氓 甿 U+6C13 U+753F
蝥 蟊 U+8765 U+87CA
髦 犛 U+9AE6 U+729B
茆 茅 U+8306 U+8305
楙 茂 U+6959 U+8302
苺 莓 U+82FA U+8393
莓 苺 U+8393 U+82FA
妹 妺 U+59B9 U+59BA
朦 蒙 U+6726 U+8499
矇 朦 U+77C7 U+6726
汨 汩 U+6C68 U+6C69
祕 秘 U+7955 U+79D8
糸 絲 U+7CF8 U+7D72
羃 冪 U+7F83 U+51AA
眠 緡 U+7720 U+7DE1
眇 緲 U+7707 U+7DF2
妙 玅 U+5999 U+7385
玅 妙 U+7385 U+5999
忞 暋 U+5FDE U+668B
緡 眠 U+7DE1 U+7720
愍 憫 U+610D U+61AB
潣 浼 U+6F63 U+6D7C
藦 蘑 U+85E6 U+8611
貘 貊 U+8C98 U+8C8A
牟 麰 U+725F U+9EB0
姆 姥 U+59C6 U+59E5
幕 幙 U+5E55 U+5E59
吶 訥 U+5436 U+8A25
奶 嬭 U+5976 U+5B2D
奈 柰 U+5948 U+67F0
柰 奈 U+67F0 U+5948
耐 耏 U+8010 U+800F
喃 諵 U+5583 U+8AF5
餒 餧 U+9912 U+9927
坭 泥 U+576D U+6CE5
泥 坭 U+6CE5 U+576D
擬 儗 U+64EC U+5117
昵 暱 U+6635 U+66B1
溺 尿 U+6EBA U+5C3F
粘 黏 U+7C98 U+9ECF
黏 粘 U+9ECF U+7C98
輦 襜 U+8F26 U+895C
娘 孃 U+5A18 U+5B43
孃 娘 U+5B43 U+5A18
嬲 惱 U+5B32 U+60F1
裊 嬝 U+88CA U+5B1D
囓 嚙 U+56D3 U+5699
囓 齧 U+56D3 U+9F67
齧 嚙 U+9F67 U+5699
弄 瘧 U+5F04 U+7627
耨 鎒 U+8028 U+9392
暖 煖 U+6696 U+7156
瘧 弄 U+7627 U+5F04
捼 挼 U+637C U+633C
慪 嘔 U+616A U+5614
拚 帆 U+62DA U+5E06
厖 龐 U+5396 U+9F90
匏 瓟 U+530F U+74DF
炰 炮 U+70B0 U+70AE
泡 箔 U+6CE1 U+7B94
炮 砲 U+70AE U+7832
淜 漰 U+6DDC U+6F30
髼 鬅 U+9AFC U+9B05
匹 疋 U+5339 U+758B
坯 壞 U+576F U+58DE
怌 懷 U+600C U+61F7
毗 毘 U+6BD7 U+6BD8
笓 篦 U+7B13 U+7BE6
疋 匹 U+758B U+5339
朴 樸 U+6734 U+6A38
殍 莩 U+6B8D U+83A9
瞥 苤 U+77A5 U+82E4
拼 秉 U+62FC U+79C9
嚬 顰 U+56AC U+9870
屏 摒 U+5C4F U+6452
泙 洴 U+6CD9 U+6D34
瓶 缾 U+74F6 U+7F3E
扑 撲 U+6251 U+64B2
攴 撲 U+6534 U+64B2
七 柒 U+4E03 U+67D2
凄 淒 U+51C4 U+6DD2
悊 哲 U+608A U+54F2
期 逞 U+671F U+901E
柒 七 U+67D2 U+4E03
栖 棲 U+6816 U+68F2
淒 凄 U+6DD2 U+51C4
亓 其 U+4E93 U+5176
圻 垠 U+573B U+57A0
岐 歧 U+5C90 U+6B67
崎 埼 U+5D0E U+57FC
扺 抵 U+627A U+62B5
旂 旗 U+65C2 U+65D7
仟 千 U+4EDF U+5343
芊 茜 U+828A U+831C
牄 蹌 U+7244 U+8E4C
襁 繈 U+8941 U+7E48
磽 墝 U+78FD U+589D
蹺 蹻 U+8E7A U+8E7B
譙 誚 U+8B59 U+8A9A
懃 勤 U+61C3 U+52E4
汫 阱 U+6C6B U+9631
笻 筇 U+7B3B U+7B47
坵 丘 U+5775 U+4E18
厹 叴 U+53B9 U+53F4
岨 砠 U+5CA8 U+7820
朐 胊 U+6710 U+80CA
琄 鞙 U+7404 U+9799
甽 畎 U+753D U+754E
繞 遶 U+7E5E U+9076
肕 韌 U+8095 U+97CC
熔 鎔 U+7194 U+9394
鎔 熔 U+9394 U+7194
叡 睿 U+53E1 U+777F
睿 叡 U+777F U+53E1
灑 洒 U+7051 U+6D12
傘 繖 U+5098 U+7E56
繅 繰 U+7E45 U+7E70
埽 掃 U+57FD U+6383
濇 澀 U+6FC7 U+6F80
魦 鯊 U+9B66 U+9BCA
搧 煽 U+6427 U+717D
羶 膻 U+7FB6 U+81BB
陝 陜 U+965D U+965C
燒 簫 U+71D2 U+7C2B
沈 沉 U+6C88 U+6C89
椹 葚 U+6939 U+845A
昇 升 U+6607 U+5347
陞 升 U+965E U+5347
剩 賸 U+5269 U+8CF8
賸 剩 U+8CF8 U+5269
屍 尸 U+5C4D U+5C38
溼 濕 U+6EBC U+6FD5
濕 溼 U+6FD5 U+6EBC
虱 蝨 U+8671 U+8768
蝨 虱 U+8768 U+8671
實 寔 U+5BE6 U+5BD4
螫 著 U+87AB U+8457
諡 謚 U+8AE1 U+8B1A
荍 蕎 U+834D U+854E
杸 殳 U+6778 U+6BB3
舒 摴 U+8212 U+6474
孰 塾 U+5B70 U+587E
署 穎 U+7F72 U+7A4E
摔 甩 U+6454 U+7529
拴 揎 U+62F4 U+63CE
霜 孀 U+971C U+5B40
鎙 槊 U+9399 U+69CA
肆 四 U+8086 U+56DB
嵩 崧 U+5D69 U+5D27
籔 藪 U+7C54 U+85EA
甦 穌 U+7526 U+7A4C
嗉 膆 U+55C9 U+8186
愬 訴 U+612C U+8A34
泝 溯 U+6CDD U+6EAF
訴 愬 U+8A34 U+612C
速 跡 U+901F U+8DE1
算 筭 U+7B97 U+7B6D
荽 萎 U+837D U+840E
簨 栒 U+7C28 U+6812
愻 遜 U+613B U+905C
簑 蓑 U+7C11 U+84D1
她 他 U+5979 U+4ED6
它 牠 U+5B83 U+7260
拓 托 U+62D3 U+6258
踏 蹋 U+8E0F U+8E4B
台 臺 U+53F0 U+81FA
檯 枱 U+6AAF U+67B1
譚 談 U+8B5A U+8AC7
袒 襢 U+8892 U+8962
螗 螳 U+8797 U+87B3
螳 螗 U+87B3 U+8797
倘 儻 U+5018 U+513B
掏 搯 U+638F U+642F
搯 掏 U+642F U+638F
韜 弢 U+97DC U+5F22
饕 叨 U+9955 U+53E8
啕 咷 U+5555 U+54B7
陶 匋 U+9676 U+530B
籐 藤 U+7C50 U+85E4
體 体 U+9AD4 U+4F53
屉 屜 U+5C49 U+5C5C
惕 悐 U+60D5 U+6090
舔 餂 U+8214 U+9902
窕 阿 U+7A95 U+963F
听 聽 U+542C U+807D
聽 听 U+807D U+542C
停 仃 U+505C U+4EC3
圢 町 U+5722 U+753A
仝 同 U+4EDD U+540C
啍 吨 U+554D U+5428
乇 虐 U+4E47 U+8650
托 拓 U+6258 U+62D3
外 舀 U+5916 U+8200
挽 掇 U+633D U+6387
望 朢 U+671B U+6722
偎 渨 U+504E U+6E28
渨 偎 U+6E28 U+504E
隈 偎 U+9688 U+504E
喂 餧 U+5582 U+9927
餧 喂 U+9927 U+5582
餵 喂 U+9935 U+5582
搵 按 U+6435 U+6309
圬 杇 U+572C U+6747
污 汙 U+6C61 U+6C59
迕 忤 U+8FD5 U+5FE4
嘻 咥 U+563B U+54A5
扱 插 U+6271 U+63D2
席 蓆 U+5E2D U+84C6
喜 憙 U+559C U+6199
系 繫 U+7CFB U+7E6B
狹 陜 U+72F9 U+965C
仙 僊 U+4ED9 U+50CA
僊 仙 U+50CA U+4ED9
弦 絃 U+5F26 U+7D43
絃 弦 U+7D43 U+5F26
獫 玁 U+736B U+7381
羡 羨 U+7FA1 U+7FA8
筱 篠 U+7B71 U+7BE0
篠 筱 U+7BE0 U+7B71
蝎 蠍 U+874E U+880D
勰 脅 U+52F0 U+8105
脅 勰 U+8105 U+52F0
諧 龤 U+8AE7 U+9FA4
泄 洩 U+6CC4 U+6D29
忻 欣 U+5FFB U+6B23
倖 囟 U+5016 U+56DF
幸 囟 U+5E78 U+56DF
荇 莕 U+8347 U+8395
凶 兇 U+51F6 U+5147
呴 詬 U+5474 U+8A6C
醑 湑 U+9191 U+6E51
勗 勖 U+52D7 U+52D6
卹 恤 U+5379 U+6064
喧 諠 U+55A7 U+8AE0
塤 壎 U+5864 U+58CE
晅 烜 U+6645 U+70DC
萱 萲 U+8431 U+8432
諼 煖 U+8AFC U+7156
伭 玄 U+4F2D U+7384
璿 璇 U+74BF U+7487
楦 楥 U+6966 U+6965
衒 炫 U+8852 U+70AB
熏 燻 U+718F U+71FB
煆 鍜 U+7146 U+935C
咽 嚥 U+54BD U+56A5
煙 菸 U+7159 U+83F8
