矮 躷 U+77EE U+8EB7
涉 渉 U+6D89 U+6E09
舍 舎 U+820D U+820E
哂 吲 U+54C2 U+5432
矧 訠 U+77E7 U+8A20
讅 谉 U+8B85 U+8C09
慎 愼 U+614E U+613C
聲 声 U+8072 U+58F0
繩 縄 U+7E69 U+7E04
剩 剰 U+5269 U+5270
聖 垩 U+8056 U+57A9
實 実 U+5BE6 U+5B9F
食 飠 U+98DF U+98E0
矢 笶 U+77E2 U+7B36
駛 𩢲 U+99DB U+298B2
世 丗 U+4E16 U+4E17
事 亊 U+4E8B U+4E8A
弒 弑 U+5F12 U+5F11
拭 𢂑 U+62ED U+22091
是 昰 U+662F U+6630
示 礻 U+793A U+793B
視 眎 U+8996 U+770E
飾 餙 U+98FE U+9919
飾 餝 U+98FE U+991D
收 㧃 U+6536 U+39C3
收 収 U+6536 U+53CE
手 扌 U+624B U+624C
壽 夀 U+58FD U+5900
獸 獣 U+7378 U+7363
瘦 痩 U+7626 U+75E9
倏 倐 U+500F U+5010
叔 尗 U+53D4 U+5C17
疏 疎 U+758F U+758E
數 数 U+6578 U+6570
鼠 鼡 U+9F20 U+9F21
庶 庻 U+5EB6 U+5EBB
漱 潄 U+6F31 U+6F44
豎 竖 U+8C4E U+7AD6
豎 竪 U+8C4E U+7AEA
刷 㕞 U+5237 U+355E
蟀 蜶 U+87C0 U+8736
雙 双 U+96D9 U+53CC
水 氵 U+6C34 U+6C35
涗 涚 U+6D97 U+6D9A
說 説 U+8AAA U+8AAC
瞬 䀢 U+77AC U+4022
蕣 橓 U+8563 U+6A53
廝 厮 U+5EDD U+53AE
私 厶 U+79C1 U+53B6
飼 飤 U+98FC U+98E4
松 枩 U+677E U+67A9
悚 𢥠 U+609A U+22960
廋 廀 U+5ECB U+5EC0
搜 𢯱 U+641C U+22BF1
搜 𢲷 U+641C U+22CB7
搜 捜 U+641C U+635C
颼 䬒 U+98BC U+4B12
叟 墰 U+53DF U+58B0
瞍 𥈟 U+778D U+2521F
嗽 瘶 U+55FD U+7636
塑 塐 U+5851 U+5850
宿 㝛 U+5BBF U+375B
溯 㴑 U+6EAF U+3D11
溯 遡 U+6EAF U+9061
速 迹 U+901F U+8FF9
狻 䝜 U+72FB U+475C
髓 膸 U+9AD3 U+81B8
髓 髄 U+9AD3 U+9AC4
歲 亗 U+6B72 U+4E97
歲 嵗 U+6B72 U+5D57
歲 歳 U+6B72 U+6B73
碎 砕 U+788E U+7815
穗 穂 U+7A57 U+7A42
隧 𡑞 U+96A7 U+2145E
飧 飱 U+98E7 U+98F1
筍 笋 U+7B4D U+7B0B
挲 挱 U+6332 U+6331
鎖 鏁 U+9396 U+93C1
塔 㙮 U+5854 U+366E
塔 墖 U+5854 U+5896
抬 擡 U+62AC U+64E1
壇 坛 U+58C7 U+575B
搪 傏 U+642A U+508F
糖 餹 U+7CD6 U+9939
逃 迯 U+9003 U+8FEF
籐 籘 U+7C50 U+7C58
啼 嗁 U+557C U+55C1
稊 䄺 U+7A0A U+413A
鵜 鴺 U+9D5C U+9D3A
體 軆 U+9AD4 U+8EC6
體 骵 U+9AD4 U+9AB5
剃 鬀 U+5243 U+9B00
嚏 嚔 U+568F U+5694
屜 𡲕 U+5C5C U+21C95
涕 䶏 U+6D95 U+4D8F
逖 逷 U+9016 U+9037
填 塡 U+586B U+5861
甜 甛 U+751C U+751B
磌 𧰊 U+78CC U+27C0A
窴 塡 U+7AB4 U+5861
鐵 鐡 U+9435 U+9421
廳 厛 U+5EF3 U+539B
廳 廰 U+5EF3 U+5EF0
聽 聴 U+807D U+8074
慟 憅 U+615F U+6185
偷 偸 U+5077 U+5078
媮 婾 U+5AAE U+5A7E
禿 秃 U+79BF U+79C3
圖 圕 U+5716 U+5715
圖 図 U+5716 U+56F3
塗 凃 U+5857 U+51C3
徒 𨑒 U+5F92 U+28452
菟 莵 U+83DF U+83B5
兔 兎 U+5154 U+514E
團 団 U+5718 U+56E3
糰 䊜 U+7CF0 U+429C
隤 墤 U+96A4 U+58A4
頹 頽 U+9839 U+983D
腿 骽 U+817F U+9ABD
吞 呑 U+541E U+5451
豚 豘 U+8C5A U+8C58
畽 疃 U+757D U+7583
拖 拕 U+62D6 U+62D5
陀 陁 U+9640 U+9641
驒 騨 U+9A52 U+9A28
橢 楕 U+6A62 U+6955
唾 涶 U+553E U+6DB6
蘀 萚 U+8600 U+841A
襪 袜 U+896A U+889C
襪 韈 U+896A U+97C8
襪 韤 U+896A U+97E4
刓 园 U+5213 U+56ED
卍 卐 U+534D U+5350
腕 𦙵 U+8155 U+26675
尢 尣 U+5C22 U+5C23
尪 尫 U+5C2A U+5C2B
亡 亾 U+4EA1 U+4EBE
亡 兦 U+4EA1 U+5166
往 徃 U+5F80 U+5F83
為 爲 U+70BA U+7232
蒍 蔿 U+848D U+853F
骫 骪 U+9AAB U+9AAA
偽 僞 U+507D U+50DE
菋 苿 U+83CB U+82FF
蔚 嶎 U+851A U+5D8E
蝟 猬 U+875F U+732C
衛 衞 U+885B U+885E
躗 躛 U+8E97 U+8E9B
轀 輼 U+8F40 U+8F3C
蚊 蟁 U+868A U+87C1
吻 肳 U+543B U+80B3
吻 脗 U+543B U+8117
穩 㒚 U+7A69 U+349A
臥 卧 U+81E5 U+5367
汙 汚 U+6C59 U+6C5A
吳 呉 U+5433 U+5449
侮 㑄 U+4FAE U+3444
碔 珷 U+7894 U+73F7
誤 悞 U+8AA4 U+609E
兮 𠔃 U+516E U+20503
吸 噏 U+5438 U+564F
晰 晳 U+6670 U+6673
溪 渓 U+6EAA U+6E13
熙 熈 U+7199 U+7188
熹 熺 U+71B9 U+71BA
犧 犠 U+72A7 U+72A0
西 覀 U+897F U+8980
漇 𢳜 U+6F07 U+22CDC
璽 壐 U+74BD U+58D0
卌 𠦌 U+534C U+2098C
舄 舃 U+8204 U+8203
郤 郄 U+90E4 U+90C4
轄 鎋 U+8F44 U+938B
罅 𨻲 U+7F45 U+28EF2
秈 籼 U+79C8 U+7C7C
纖 纎 U+7E96 U+7E8E
躚 蹮 U+8E9A U+8E6E
鮮 鱻 U+9BAE U+9C7B
鮮 尠 U+9BAE U+5C20
啣 㘅 U+5563 U+3605
嫻 嫺 U+5AFB U+5AFA
涎 㳄 U+6D8E U+3CC4
銜 㘅 U+929C U+3605
鹹 醎 U+9E79 U+918E
險 険 U+96AA U+967A
顯 顕 U+986F U+9855
獻 献 U+737B U+732E
線 綫 U+7DDA U+7DAB
線 线 U+7DDA U+7EBF
線 缐 U+7DDA U+7F10
霰 䨘 U+9730 U+4A18
襄 㐮 U+8944 U+342E
鄉 郷 U+9109 U+90F7
鄉 鄕 U+9109 U+9115
鯗 鮝 U+9BD7 U+9B9D
簫 簘 U+7C2B U+7C18
曉 暁 U+66C9 U+6681
篠 筿 U+7BE0 U+7B7F
嘯 嘨 U+562F U+5628
效 効 U+6548 U+52B9
笑 咲 U+7B11 U+54B2
勰 恊 U+52F0 U+604A
協 恊 U+5354 U+604A
協 旪 U+5354 U+65EA
攜 携 U+651C U+643A
脅 脇 U+8105 U+8107
鞋 𩋘 U+978B U+292D8
鞋 鞵 U+978B U+97B5
寫 冩 U+5BEB U+51A9
紲 緤 U+7D32 U+7DE4
蟹 蠏 U+87F9 U+880F
囟 䪿 U+56DF U+4ABF
囟 顖 U+56DF U+9856
釁 衅 U+91C1 U+8845
惺 𢜫 U+60FA U+2272B
興 㒷 U+8208 U+34B7
凶 㐫 U+51F6 U+342B
洶 汹 U+6D36 U+6C79
詾 訩 U+8A7E U+8A29
夐 敻 U+5910 U+657B
敻 夐 U+657B U+5910
饈 𦟤 U+9948 U+267E4
饈 䐰 U+9948 U+4430
繡 綉 U+7E61 U+7D89
褎 褏 U+890E U+890F
鏽 銹 U+93FD U+92B9
鏽 锈 U+93FD U+9508
籲 龥 U+7C72 U+9FA5
虛 虚 U+865B U+865A
須 湏 U+9808 U+6E4F
須 须 U+9808 U+987B
婿 聟 U+5A7F U+805F
恤 賉 U+6064 U+8CC9
敘 敍 U+6558 U+654D
藇 𨣦 U+85C7 U+288E6
靴 鞾 U+9774 U+97BE
學 斈 U+5B78 U+6588
勛 勲 U+52DB U+52F2
勛 勳 U+52DB U+52F3
薰 薫 U+85B0 U+85AB
巡 廵 U+5DE1 U+5EF5
壓 圧 U+58D3 U+5727
鴉 鵶 U+9D09 U+9D76
崖 厓 U+5D16 U+5393
煙 烟 U+7159 U+70DF
閹 剦 U+95B9 U+5266
妍 姸 U+598D U+59F8
巖 巌 U+5DD6 U+5DCC
研 硏 U+7814 U+784F
言 訁 U+8A00 U+8A01
顏 顔 U+984F U+9854
鹽 𥂁 U+9E7D U+25081
鹽 䀋 U+9E7D U+400B
鹽 塩 U+9E7D U+5869
偃 㫃 U+5043 U+3AC3
扊 扅 U+624A U+6245
掩 揞 U+63A9 U+63DE
彥 彦 U+5F65 U+5F66
焰 焔 U+7130 U+7114
豔 艷 U+8C54 U+8277
贗 贋 U+8D17 U+8D0B
雁 鳫 U+96C1 U+9CEB
驗 騐 U+9A57 U+9A10
驗 験 U+9A57 U+9A13
殃 䄃 U+6B83 U+4103
樣 様 U+6A23 U+69D8
搖 摇 U+6416 U+6447
窯 窰 U+7AAF U+7AB0
謠 謡 U+8B20 U+8B21
軺 𨍳 U+8EFA U+28373
咬 齩 U+54AC U+9F69
椰 㭨 U+6930 U+3B68
揶 捓 U+63F6 U+6353
夜 亱 U+591C U+4EB1
曄 曅 U+66C4 U+66C5
曳 曵 U+66F3 U+66F5
壹 弌 U+58F9 U+5F0C
衣 衤 U+8863 U+8864
醫 医 U+91AB U+533B
宜 冝 U+5B9C U+519D
宜 宐 U+5B9C U+5B90
彝 彛 U+5F5D U+5F5B
頤 頣 U+9824 U+9823
頤 頉 U+9824 U+9809
以 㠯 U+4EE5 U+382F
苡 苢 U+82E1 U+82E2
刈 苅 U+5208 U+82C5
劓 㓷 U+5293 U+34F7
義 义 U+7FA9 U+4E49
藝 兿 U+85DD U+517F
邑 阝 U+9091 U+961D
驛 駅 U+9A5B U+99C5
姻 婣 U+59FB U+5A63
陰 阴 U+9670 U+9634
陰 隂 U+9670 U+9682
吟 唫 U+541F U+552B
縯 䌥 U+7E2F U+4325
隱 乚 U+96B1 U+4E5A
飲 飮 U+98F2 U+98EE
憖 慭 U+6196 U+616D
嬰 孾 U+5B30 U+5B7E
應 応 U+61C9 U+5FDC
櫻 桜 U+6AFB U+685C
鶯 鸎 U+9DAF U+9E0E
螢 蛍 U+87A2 U+86CD
蠅 蝿 U+8805 U+877F
穎 頴 U+7A4E U+9834
映 暎 U+6620 U+668E
庸 𠆌 U+5EB8 U+2018C
庸 㐯 U+5EB8 U+342F
勇 勈 U+52C7 U+52C8
恿 慂 U+607F U+6142
詠 咏 U+8A60 U+548F
悠 滺 U+60A0 U+6EFA
柚 櫾 U+67DA U+6AFE
猶 犹 U+7336 U+72B9
疣 肬 U+75A3 U+80AC
酉 丣 U+9149 U+4E23
于 扵 U+4E8E U+6275
俞 兪 U+4FDE U+516A
妤 伃 U+59A4 U+4F03
娛 娯 U+5A1B U+5A2F
榆 楡 U+6986 U+6961
漁 䱷 U+6F01 U+4C77
璵 玙 U+74B5 U+7399
畬 畭 U+756C U+756D
虞 𩦢 U+865E U+299A2
域 㽣 U+57DF U+3F63
寓 庽 U+5BD3 U+5EBD
熨 㷉 U+71A8 U+3DC9
聿 肀 U+807F U+8080
郁 喐 U+90C1 U+5590
隩 𡒃 U+96A9 U+21483
鬱 欝 U+9B31 U+6B1D
冤 寃 U+51A4 U+5BC3
淵 渕 U+6DF5 U+6E15
圓 圎 U+5713 U+570E
緣 縁 U+7DE3 U+7E01
遠 逺 U+9060 U+903A
悅 悦 U+6085 U+60A6
粵 粤 U+7CB5 U+7CA4
閱 閲 U+95B1 U+95B2
閱 阅 U+95B1 U+9605
縕 緼 U+7E15 U+7DFC
溳 涢 U+6EB3 U+6DA2
耘 秐 U+8018 U+79D0
隕 殒 U+9695 U+6B92
隕 磒 U+9695 U+78D2
慍 愠 U+614D U+6120
醞 醖 U+919E U+9196
韻 韵 U+97FB U+97F5
紮 紥 U+7D2E U+7D25
雜 襍 U+96DC U+894D
雜 雑 U+96DC U+96D1
災 烖 U+707D U+70D6
揝 撍 U+63DD U+648D
贊 賛 U+8D0A U+8CDB
髒 脏 U+9AD2 U+810F
臟 臓 U+81DF U+81D3
葬 塟 U+846C U+585F
糟 醩 U+7CDF U+91A9
蚤 䖣 U+86A4 U+45A3
灶 竈 U+7076 U+7AC8
擇 択 U+64C7 U+629E
澤 沢 U+6FA4 U+6CA2
賊 戝 U+8CCA U+621D
吒 咤 U+5412 U+54A4
齋 斎 U+9F4B U+658E
氈 毡 U+6C08 U+6BE1
氈 氊 U+6C08 U+6C0A
邅 㣶 U+9085 U+38F6
饘 飦 U+9958 U+98E6
樿 椫 U+6A3F U+692B
魙 聻 U+9B59 U+807B
戰 戦 U+6230 U+6226
棧 桟 U+68E7 U+685F
綻 䘺 U+7DBB U+463A
獐 麞 U+7350 U+9E9E
帳 账 U+5E33 U+8D26
罩 䈇 U+7F69 U+4207
肇 肈 U+8087 U+8088
蜇 𧋍 U+8707 U+272CD
謫 讁 U+8B2B U+8B81
輒 輙 U+8F12 U+8F19
這 这 U+9019 U+8FD9
榛 亲 U+699B U+4EB2
珍 珎 U+73CD U+73CE
真 眞 U+771F U+771E
鎮 鎭 U+93AE U+93AD
陣 𨸬 U+9663 U+28E2C
徵 徴 U+5FB5 U+5FB4
爭 争 U+722D U+4E89
箏 筝 U+7B8F U+7B5D
拯 抍 U+62EF U+628D
卮 巵 U+536E U+5DF5
蜘 鼅 U+8718 U+9F05
值 値 U+503C U+5024
執 执 U+57F7 U+6267
職 軄 U+8077 U+8EC4
紙 帋 U+7D19 U+5E0B
帙 袠 U+5E19 U+88A0
幟 旘 U+5E5F U+65D8
稚 穉 U+7A1A U+7A49
稚 䕌 U+7A1A U+454C
質 貭 U+8CEA U+8CAD
騭 隲 U+9A2D U+96B2
騺 驇 U+9A3A U+9A47
鍾 鈡 U+937E U+9221
踵 歱 U+8E35 U+6B71
眾 衆 U+773E U+8846
帚 箒 U+5E1A U+7B92
咒 呪 U+5492 U+546A
胄 伷 U+80C4 U+4F37
蛛 鼄 U+86DB U+9F04
豬 猪 U+8C6C U+732A
朮 术 U+672E U+672F
躅 䠱 U+8E85 U+4831
囑 嘱 U+56D1 U+5631
煮 煑 U+716E U+7151
箸 筯 U+7BB8 U+7B6F
翥 䬡 U+7FE5 U+4B21
# 著 着 U+8457 U+7740
鑄 鋳 U+9444 U+92F3
專 専 U+5C08 U+5C02
磚 甎 U+78DA U+750E
轉 転 U+8F49 U+8EE2
賺 𧸖 U+8CFA U+27E16
賺 贃 U+8CFA U+8D03
妝 粧 U+599D U+7CA7
莊 荘 U+838A U+8358
準 凖 U+6E96 U+51D6
姊 姉 U+59CA U+59C9
耔 秄 U+8014 U+79C4
棕 椶 U+68D5 U+6936
縱 縦 U+7E31 U+7E26
豵 䝋 U+8C75 U+474B
蹤 踨 U+8E64 U+8E28
蹤 踪 U+8E64 U+8E2A
騣 騌 U+9A23 U+9A0C
鬃 騌 U+9B03 U+9A0C
鬃 骔 U+9B03 U+9A94
總 捴 U+7E3D U+6374
粽 糭 U+7CBD U+7CED
走 赱 U+8D70 U+8D71
崒 崪 U+5D12 U+5D2A
俎 爼 U+4FCE U+723C
鑽 鑚 U+947D U+945A
纂 𤎱 U+7E82 U+243B1
罪 辠 U+7F6A U+8FA0
醉 酔 U+9189 U+9154
樽 罇 U+6A3D U+7F47
蓖 萞
