与 與 U+4E0E U+8207
誚 譙 U+8A9A U+8B59
談 譚 U+8AC7 U+8B5A
諉 餵 U+8AC9 U+9935
諕 唬 U+8AD5 U+552C
諡 謚 U+8AE1 U+8B1A
諧 龤 U+8AE7 U+9FA4
諵 喃 U+8AF5 U+5583
諻 訇 U+8AFB U+8A07
諾 喏 U+8AFE U+558F
謕 啼 U+8B15 U+557C
謚 諡 U+8B1A U+8AE1
謨 譕 U+8B28 U+8B55
謱 嘍 U+8B31 U+560D
譁 嘩 U+8B41 U+5629
證 証 U+8B49 U+8A3C
譎 憰 U+8B4E U+61B0
譕 謨 U+8B55 U+8B28
譙 誚 U+8B59 U+8A9A
譚 談 U+8B5A U+8AC7
警 儆 U+8B66 U+5106
讌 宴 U+8B8C U+5BB4
豅 谾 U+8C45 U+8C3E
豆 荳 U+8C46 U+8373
豋 登 U+8C4B U+767B
豫 預 U+8C6B U+9810
豭 猳 U+8C6D U+7333
豸 廌 U+8C78 U+5ECC
豻 犴 U+8C7B U+72B4
貍 狸 U+8C8D U+72F8
貝 敗 U+8C9D U+6557
賅 侅 U+8CC5 U+4F85
賡 續 U+8CE1 U+7E8C
賮 贐 U+8CEE U+8D10
贐 賮 U+8D10 U+8CEE
赨 雄 U+8D68 U+96C4
赶 趕 U+8D76 U+8D95
趄 跙 U+8D84 U+8DD9
趍 趨 U+8D8D U+8DA8
趒 跳 U+8D92 U+8DF3
趕 赶 U+8D95 U+8D76
趮 躁 U+8DAE U+8E81
趯 躍 U+8DAF U+8E8D
足 疋 U+8DB3 U+758B
跖 蹠 U+8DD6 U+8E60
跙 趄 U+8DD9 U+8D84
跡 蹟 U+8DE1 U+8E5F
跳 趒 U+8DF3 U+8D92
跴 踹 U+8DF4 U+8E39
踆 蹲 U+8E06 U+8E72
踊 踴 U+8E0A U+8E34
踏 蹋 U+8E0F U+8E4B
踰 逾 U+8E30 U+903E
踴 踊 U+8E34 U+8E0A
踹 跴 U+8E39 U+8DF4
踽 偊 U+8E3D U+504A
蹋 踏 U+8E4B U+8E0F
蹌 牄 U+8E4C U+7244
蹝 屣 U+8E5D U+5C63
蹠 跖 U+8E60 U+8DD6
蹧 遭 U+8E67 U+906D
蹯 籵 U+8E6F U+7C75
蹲 踆 U+8E72 U+8E06
蹺 蹻 U+8E7A U+8E7B
躁 趮 U+8E81 U+8DAE
躍 趯 U+8E8D U+8DAF
輝 煇 U+8F1D U+7147
輵 轕 U+8F35 U+8F55
輿 轝 U+8F3F U+8F5D
轕 輵 U+8F55 U+8F35
轝 輿 U+8F5D U+8F3F
辨 辯 U+8FA8 U+8FAF
辯 辨 U+8FAF U+8FA8
迕 忤 U+8FD5 U+5FE4
迣 迾 U+8FE3 U+8FFE
追 隨 U+8FFD U+96A8
迾 迣 U+8FFE U+8FE3
逮 逯 U+902E U+902F
逯 逮 U+902F U+902E
週 周 U+9031 U+5468
逼 偪 U+903C U+506A
遜 愻 U+905C U+613B
遭 蹧 U+906D U+8E67
遶 繞 U+9076 U+7E5E
邕 雍 U+9095 U+96CD
邪 耶 U+90AA U+8036
鄔 塢 U+9114 U+5862
鄹 郰 U+9139 U+90F0
酖 鴆 U+9156 U+9D06
醊 餟 U+918A U+991F
醜 媿 U+919C U+5ABF
醡 榨 U+91A1 U+69A8
釐 厘 U+91D0 U+5398
針 箴 U+91DD U+7BB4
釬 銲 U+91EC U+92B2
鈀 耙 U+9200 U+8019
鈆 鉛 U+9206 U+925B
鉆 鉗 U+9246 U+9257
鉈 砣 U+9248 U+7823
鉋 刨 U+924B U+5228
鉏 鋤 U+924F U+92E4
鉗 鉆 U+9257 U+9246
鉛 鈆 U+925B U+9206
鉞 戉 U+925E U+6209
鉾 矛 U+927E U+77DB
銲 釬 U+92B2 U+91EC
銻 厗 U+92BB U+5397
鋑 鐫 U+92D1 U+942B
鋤 鉏 U+92E4 U+924F
錘 鎚 U+9318 U+939A
鍉 匙 U+9349 U+5319
鍜 煆 U+935C U+7146
鍰 鐶 U+9370 U+9436
鍼 箴 U+937C U+7BB4
鎌 鐮 U+938C U+942E
鎏 鏐 U+938F U+93D0
鎒 耨 U+9392 U+8028
鎙 槊 U+9399 U+69CA
鎚 錘 U+939A U+9318
鎦 劉 U+93A6 U+5289
鏐 鎏 U+93D0 U+938F
鏢 鑣 U+93E2 U+9463
鏹 繈 U+93F9 U+7E48
鐀 匱 U+9400 U+5331
鐫 鋑 U+942B U+92D1
鐬 鉞 U+942C U+925E
鐮 鎌 U+942E U+938C
鐶 鍰 U+9436 U+9370
鑣 鏢 U+9463 U+93E2
鑴 鋑 U+9474 U+92D1
鑽 鉆 U+947D U+9246
閆 閻 U+9586 U+95BB
閻 閆 U+95BB U+9586
閿 闅 U+95BF U+95C5
關 寡 U+95DC U+5BE1
阡 仟 U+9621 U+4EDF
陜 狹 U+965C U+72F9
陳 敶 U+9673 U+6576
陶 匋 U+9676 U+530B
陼 渚 U+967C U+6E1A
隈 渨 U+9688 U+6E28
隍 堭 U+968D U+582D
隧 璲 U+96A7 U+74B2
隨 追 U+96A8 U+8FFD
隮 躋 U+96AE U+8E8B
隼 鵻 U+96BC U+9D7B
雁 鴈 U+96C1 U+9D08
雄 赨 U+96C4 U+8D68
雇 僱 U+96C7 U+50F1
雍 邕 U+96CD U+9095
雛 鶵 U+96DB U+9DB5
雝 廱 U+96DD U+5EF1
霜 孀 U+971C U+5B40
霸 魄 U+9738 U+9B44
鞙 琄 U+9799 U+7404
韌 肕 U+97CC U+8095
韜 弢 U+97DC U+5F22
韻 均 U+97FB U+5747
預 豫 U+9810 U+8C6B
頫 俯 U+982B U+4FEF
頰 脥 U+9830 U+8125
願 愿 U+9858 U+613F
顥 皓 U+9865 U+7693
顰 嚬 U+9870 U+56AC
颮 猋 U+98AE U+730B
飢 饑 U+98E2 U+9951
餉 饟 U+9909 U+995F
餐 食 U+9910 U+98DF
餒 餧 U+9912 U+9927
餚 肴 U+991A U+80B4
餛 餫 U+991B U+992B
餟 醊 U+991F U+918A
餧 喂 U+9927 U+5582
餫 餛 U+992B U+991B
餵 諉 U+9935 U+8AC9
饋 匱 U+994B U+5331
饑 飢 U+9951 U+98E2
饞 嚵 U+995E U+56B5
饟 餉 U+995F U+9909
馘 聝 U+9998 U+805D
馭 御 U+99AD U+5FA1
馮 淜 U+99AE U+6DDC
馴 訓 U+99B4 U+8A13
骴 胔 U+9AB4 U+80D4
骻 胯 U+9ABB U+80EF
骾 挭 U+9ABE U+632D
體 体 U+9AD4 U+4F53
髣 彷 U+9AE3 U+5F77
髫 齠 U+9AEB U+9F60
髼 鬅 U+9AFC U+9B05
鬅 髼 U+9B05 U+9AFC
魄 霸 U+9B44 U+9738
魏 巍 U+9B4F U+5DCD
魟 鰩 U+9B5F U+9C29
魦 鯊 U+9B66 U+9BCA
魯 旅 U+9B6F U+65C5
鯁 挭 U+9BC1 U+632D
鯊 魦 U+9BCA U+9B66
鰩 魟 U+9C29 U+9B5F
鰲 鼇 U+9C32 U+9F07
鱠 膾 U+9C60 U+81BE
鳽 鸇 U+9CFD U+9E07
鴃 鵙 U+9D03 U+9D59
鴆 酖 U+9D06 U+9156
鴝 朐 U+9D1D U+6710
鴞 梟 U+9D1E U+689F
鴨 鵪 U+9D28 U+9D6A
鴳 鷃 U+9D33 U+9DC3
鵙 鴃 U+9D59 U+9D03
鵪 鴨 U+9D6A U+9D28
鶵 雛 U+9DB5 U+96DB
鷃 鴳 U+9DC3 U+9D33
鷩 氅 U+9DE9 U+6C05
鷳 鷴 U+9DF3 U+9DF4
鷴 鷳 U+9DF4 U+9DF3
鸇 鳽 U+9E07 U+9CFD
鹼 堿 U+9E7C U+583F
麰 牟 U+9EB0 U+725F
黏 粘 U+9ECF U+7C98
鼇 鰲 U+9F07 U+9C32
鼏 冪 U+9F0F U+51AA
齠 髫 U+9F60 U+9AEB
齦 啃 U+9F66 U+5543
齧 囓 U+9F67 U+56D3
龒 龍 U+9F92 U+9F8D
龠 籥 U+9FA0 U+7C65
