与 與 U+4E0E U+8207
岡 崗 U+5CA1 U+5D17
岨 砠 U+5CA8 U+7820
岩 嵒 U+5CA9 U+5D52
峒 洞 U+5CD2 U+6D1E
崇 嵩 U+5D07 U+5D69
崔 磪 U+5D14 U+78EA
崙 侖 U+5D19 U+4F96
崧 嵩 U+5D27 U+5D69
嵒 岩 U+5D52 U+5CA9
嵩 崇 U+5D69 U+5D07
嶄 巉 U+5D84 U+5DC9
嶝 磴 U+5D9D U+78F4
巉 嶄 U+5DC9 U+5D84
巍 魏 U+5DCD U+9B4F
巖 岩 U+5DD6 U+5CA9
川 巛 U+5DDD U+5DDB
幕 幙 U+5E55 U+5E59
幙 幕 U+5E59 U+5E55
幡 旛 U+5E61 U+65DB
幺 么 U+5E7A U+4E48
庄 莊 U+5E84 U+838A
庬 厖 U+5EAC U+5396
庾 斞 U+5EBE U+659E
廉 槏 U+5EC9 U+69CF
廌 豸 U+5ECC U+8C78
廕 蔭 U+5ED5 U+852D
廱 雝 U+5EF1 U+96DD
弈 奕 U+5F08 U+5955
弔 吊 U+5F14 U+540A
弢 韜 U+5F22 U+97DC
彬 斌 U+5F6C U+658C
彷 徬 U+5F77 U+5FAC
彸 伀 U+5F78 U+4F00
徑 俓 U+5F91 U+4FD3
御 馭 U+5FA1 U+99AD
徬 彷 U+5FAC U+5F77
徭 傜 U+5FAD U+509C
徹 澈 U+5FB9 U+6F88
忤 啎 U+5FE4 U+554E
怀 懷 U+6000 U+61F7
怌 懷 U+600C U+61F7
怳 恍 U+6033 U+604D
恍 怳 U+604D U+6033
恤 卹 U+6064 U+5379
恩 摁 U+6069 U+6441
悁 懁 U+6081 U+61C1
悊 哲 U+608A U+54F2
悐 惕 U+6090 U+60D5
惇 敦 U+60C7 U+6566
惌 宛 U+60CC U+5B9B
惕 悐 U+60D5 U+6090
惡 亞 U+60E1 U+4E9E
愈 愉 U+6108 U+6109
愉 愈 U+6109 U+6108
愻 遜 U+613B U+905C
愿 願 U+613F U+9858
慞 傽 U+615E U+50BD
憙 喜 U+6199 U+559C
憝 懟 U+619D U+61DF
憫 愍 U+61AB U+610D
憰 譎 U+61B0 U+8B4E
懁 悁 U+61C1 U+6081
懟 憝 U+61DF U+619D
懥 懫 U+61E5 U+61EB
懫 懥 U+61EB U+61E5
懷 怀 U+61F7 U+6000
戉 鉞 U+6209 U+925E
戧 創 U+6227 U+5275
戲 呼 U+6232 U+547C
戾 盭 U+623E U+76ED
才 哉 U+624D U+54C9
扎 紮 U+624E U+7D2E
扑 撲 U+6251 U+64B2
托 拓 U+6258 U+62D3
扞 捍 U+625E U+634D
扳 攀 U+6273 U+6500
扻 損 U+627B U+640D
抌 舀 U+628C U+8200
抗 亢 U+6297 U+4EA2
披 翍 U+62AB U+7FCD
拏 拿 U+62CF U+62FF
拓 托 U+62D3 U+6258
拼 摒 U+62FC U+6452
拿 拏 U+62FF U+62CF
挂 掛 U+6302 U+639B
挐 拏 U+6310 U+62CF
挫 繲 U+632B U+7E72
挭 骾 U+632D U+9ABE
挼 捼 U+633C U+637C
捶 箠 U+6376 U+7BA0
捼 挼 U+637C U+633C
掂 敁 U+6382 U+6541
掃 埽 U+6383 U+57FD
掛 挂 U+639B U+6302
掩 揜 U+63A9 U+63DC
掬 匊 U+63AC U+530A
揅 研 U+63C5 U+7814
揜 掩 U+63DC U+63A9
揪 揫 U+63EA U+63EB
揫 揪 U+63EB U+63EA
損 扻 U+640D U+627B
搞 攪 U+641E U+652A
搫 搬 U+642B U+642C
搬 搫 U+642C U+642B
搭 撘 U+642D U+6498
摒 拼 U+6452 U+62FC
摡 溉 U+6461 U+6E89
撒 攃 U+6492 U+6503
撘 搭 U+6498 U+642D
撟 嬌 U+649F U+5B0C
撲 扑 U+64B2 U+6251
擃 攮 U+64C3 U+652E
擄 虜 U+64C4 U+865C
擋 攩 U+64CB U+6529
擗 劈 U+64D7 U+5288
擲 擿 U+64F2 U+64FF
擿 擲 U+64FF U+64F2
攃 撒 U+6503 U+6492
攩 擋 U+6529 U+64CB
攪 搞 U+652A U+641E
敁 掂 U+6541 U+6382
散 枚 U+6563 U+679A
敦 惇 U+6566 U+60C7
敶 陳 U+6576 U+9673
敷 尃 U+6577 U+5C03
敺 驅 U+657A U+9A45
斌 彬 U+658C U+5F6C
於 于 U+65BC U+4E8E
旂 旗 U+65C2 U+65D7
旅 魯 U+65C5 U+9B6F
旗 旂 U+65D7 U+65C2
旛 幡 U+65DB U+5E61
无 無 U+65E0 U+7121
昝 偺 U+661D U+507A
昵 暱 U+6635 U+66B1
晁 朝 U+6641 U+671D
晅 烜 U+6645 U+70DC
暋 敃 U+668B U+6543
暠 皜 U+66A0 U+769C
暱 昵 U+66B1 U+6635
暴 虣 U+66B4 U+8663
曆 厤 U+66C6 U+53A4
曜 燿 U+66DC U+71FF
朐 鴝 U+6710 U+9D1D
朝 晁 U+671D U+6641
朳 杷 U+6733 U+6777
朴 樸 U+6734 U+6A38
朹 簋 U+6739 U+7C0B
机 機 U+673A U+6A5F
朿 莿 U+673F U+83BF
杇 圬 U+6747 U+572C
杍 李 U+674D U+674E
李 杍 U+674E U+674D
杝 柂 U+675D U+67C2
杰 傑 U+6770 U+5091
杷 朳 U+6777 U+6733
杸 殳 U+6778 U+6BB3
板 版 U+677F U+7248
枚 散 U+679A U+6563
