〇 ○ U+3007 U+25CB
蔥 葱 U+8525 U+8471
蝨 虱 U+8768 U+8671
衛 衞 U+885B U+885E
褓 緥 U+8913 U+7DE5
豎 竪 U+8C4E U+7AEA
豬 猪 U+8C6C U+732A
鄰 隣 U+9130 U+96A3
鋤 耡 U+92E4 U+8021
銼 剉 U+92BC U+5249
鬧 閙 U+9B27 U+9599
勳 勛 U+52F3 U+52DB
擔 担 U+64D4 U+62C5
樽 罇 U+6A3D U+7F47
澤 沢 U+6FA4 U+6CA2
穎 頴 U+7A4E U+9834
簑 蓑 U+7C11 U+84D1
膳 饍 U+81B3 U+994D
貓 猫 U+8C93 U+732B
賴 頼 U+8CF4 U+983C
靜 静 U+975C U+9759
默 黙 U+9ED8 U+9ED9
聯 聨 U+806F U+8068
幫 帮 U+5E6B U+5E2E
擧 舉 U+64E7 U+8209
澀 澁 U+6F80 U+6F81
濕 溼 U+6FD5 U+6EBC
牆 墻 U+7246 U+58BB
繃 綳 U+7E43 U+7DB3
總 総 U+7E3D U+7DCF
聰 聡 U+8070 U+8061
膽 胆 U+81BD U+80C6
闊 濶 U+95CA U+6FF6
點 点 U+9EDE U+70B9
齋 斎 U+9F4B U+658E
襁 繈 U+8941 U+7E48
薦 荐 U+85A6 U+8350
鎅  U+9385 U+EB78
錘 鎚 U+9318 U+939A
櫃 柜 U+6AC3 U+67DC
檯 枱 U+6AAF U+67B1
瀆 凟 U+7006 U+51DF
獵 猎 U+7375 U+730E
繡 綉 U+7E61 U+7D89
翻 繙 U+7FFB U+7E59
蹤 踪 U+8E64 U+8E2A
鎭 鎮 U+93AD U+93AE
雞 鷄 U+96DE U+9DC4
顏 顔 U+984F U+9854
礙 碍 U+7919 U+788D
羶 膻 U+7FB6 U+81BB
贋 贗 U+8D0B U+8D17
韻 韵 U+97FB U+97F5
顚 顛 U+985A U+985B
麴 麯 U+9EB4 U+9EAF
寶 寳 U+5BF6 U+5BF3
礦 鑛 U+7926 U+945B
耀 燿 U+8000 U+71FF
鏽 銹 U+93FD U+92B9
麵 麪 U+9EB5 U+9EAA
攜 携 U+651C U+643A
鐵 鉄 U+9435 U+9244
霸 覇 U+9738 U+8987
巓 巔 U+5DD3 U+5DD4
灑 洒 U+7051 U+6D12
疊 叠 U+758A U+53E0
韁 繮 U+97C1 U+7E6E
竊 窃 U+7ACA U+7A83
驛 駅 U+9A5B U+99C5
驗 騐 U+9A57 U+9A10
羈 覊 U+7F88 U+898A
艷 豔 U+8277 U+8C54
鼇 鰲 U+9F07 U+9C32
鼈 鱉 U+9F08 U+9C49
