㖈 䎛 U+3588 U+439B
俁 㑨 U+4FC1 U+3468
俊 㒞 U+4FCA U+349E
俊 㑺 U+4FCA U+347A
俊 儁 U+4FCA U+5101
俊 㑓 U+4FCA U+3453
俎 爼 U+4FCE U+723C
俓 𠇹 U+4FD3 U+201F9
俗 圱 U+4FD7 U+5731
保 𠈃 U+4FDD U+20203
保 𠍂 U+4FDD U+20342
俞 兪 U+4FDE U+516A
俟 竢 U+4FDF U+7AE2
俟 䇃 U+4FDF U+41C3
俟 𥏳 U+4FDF U+253F3
信 㐰 U+4FE1 U+3430
信 伩 U+4FE1 U+4F29
修 𠋛 U+4FEE U+202DB
修 脩 U+4FEE U+8129
俱 倶 U+4FF1 U+5036
俾 𢔌 U+4FFE U+2250C
倅 伜 U+5005 U+4F1C
倉 𠆳 U+5009 U+201B3
倉 仺 U+5009 U+4EFA
個 个 U+500B U+4E2A
個 亇 U+500B U+4E87
倏 倐 U+500F U+5010
候 𠋫 U+5019 U+202EB
候 𠊱 U+5019 U+202B1
倚 𠋣 U+501A U+202E3
借 𠎥 U+501F U+203A5
值 値 U+503C U+5024
偁 穪 U+5041 U+7A6A
偃 㫃 U+5043 U+3AC3
假 仮 U+5047 U+4EEE
健 徤 U+5065 U+5FA4
偰 𥝁 U+5070 U+25741
偷 偸 U+5077 U+5078
偽 僞 U+507D U+50DE
傀 𠐤 U+5080 U+20424
傀 𠎺 U+5080 U+203BA
傍 𠊓 U+508D U+20293
備 俻 U+5099 U+4FFB
備 𠈍 U+5099 U+2020D
備 偹 U+5099 U+5079
傭 𦟛 U+50AD U+267DB
傮 𣩒 U+50AE U+23A52
傲 㥿 U+50B2 U+397F
傲 𢕟 U+50B2 U+2255F
傲 𢢡 U+50B2 U+228A1
傻 儍 U+50BB U+510D
僄 𠑎 U+50C4 U+2044E
僈 𣍑 U+50C8 U+23351
僉 𠑲 U+50C9 U+20472
僊 𠎣 U+50CA U+203A3
僕 䑑 U+50D5 U+4451
僚 𠏗 U+50DA U+203D7
僝 𠊩 U+50DD U+202A9
僥 徺 U+50E5 U+5FBA
僰 𤏡 U+50F0 U+243E1
價 価 U+50F9 U+4FA1
儉 倹 U+5109 U+5039
儉 𠈏 U+5109 U+2020F
儒 㐵 U+5112 U+3435
儒 𠍶 U+5112 U+20376
儓 㒗 U+5113 U+3497
儔 𠍻 U+5114 U+2037B
儚 𠐧 U+511A U+20427
儢 𠐳 U+5122 U+20433
優 𢖒 U+512A U+22592
儷 𠌯 U+5137 U+2032F
儷 㒧 U+5137 U+34A7
儺 𠹈 U+513A U+20E48
儺 𩙎 U+513A U+2964E
儼 𠑊 U+513C U+2044A
儼 𡅝 U+513C U+2115D
允 𠃔 U+5141 U+200D4
允 㽙 U+5141 U+3F59
充 𠑽 U+5145 U+2047D
兆 𠧞 U+5146 U+209DE
兆 𡉵 U+5146 U+21275
兇 𠒋 U+5147 U+2048B
光 灮 U+5149 U+706E
光 炗 U+5149 U+7097
光 𠈑 U+5149 U+20211
克 𠧳 U+514B U+209F3
克 𠅡 U+514B U+20161
克 𠅔 U+514B U+20154
克 𠧻 U+514B U+209FB
兌 兑 U+514C U+5151
兒 𠒆 U+5152 U+20486
兒 児 U+5152 U+5150
兔 兎 U+5154 U+514E
兕 𠒅 U+5155 U+20485
兕 𧰽 U+5155 U+27C3D
兕 𠒃 U+5155 U+20483
兜 兠 U+515C U+5160
兢 𠓆 U+5162 U+204C6
內 内 U+5167 U+5185
內 𡗠 U+5167 U+215E0
全 𠓴 U+5168 U+204F4
全 㒰 U+5168 U+34B0
兩 两 U+5169 U+4E24
兩 㒳 U+5169 U+34B3
兩 両 U+5169 U+4E21
公 㒶 U+516C U+34B6
兮 𠔃 U+516E U+20503
共 𠔏 U+5171 U+2050F
共 𦱹 U+5171 U+26C79
共 𩇿 U+5171 U+291FF
兵 𠡿 U+5175 U+2087F
兵 𠈯 U+5175 U+2022F
典 𥮏 U+5178 U+25B8F
兼 𥡝 U+517C U+2585D
兼 𠔥 U+517C U+20525
冀 兾 U+5180 U+517E
冂 冋 U+5182 U+518B
冉 冄 U+5189 U+5184
冊 册 U+518A U+518C
冊 𠕋 U+518A U+2054B
再 𠕅 U+518D U+20545
再 𠕂 U+518D U+20542
冑 䩜 U+5191 U+4A5C
冒 冒 U+5192 U+2F8D2
冒 𡇾 U+5192 U+211FE
冗 宂 U+5197 U+5B82
冗 冗 U+5197 U+2F817
冠 𠜍 U+51A0 U+2070D
冠 𠖌 U+51A0 U+2058C
冢 𠣥 U+51A2 U+208E5
冤 寃 U+51A4 U+5BC3
冥 𡨕 U+51A5 U+21A15
冥 𡨋 U+51A5 U+21A0B
冥 䆩 U+51A5 U+41A9
冥 𣩆 U+51A5 U+23A46
冥 𥦴 U+51A5 U+259B4
冬 𠘀 U+51AC U+20600
冬 𠘗 U+51AC U+20617
冬 𠔙 U+51AC U+20519
冰 仌 U+51B0 U+4ECC
冰 氷 U+51B0 U+6C37
冰 𣲝 U+51B0 U+23C9D
凔 𠖸 U+51D4 U+205B8
凘 𠗧 U+51D8 U+205E7
凜 凛 U+51DC U+51DB
凜 澟 U+51DC U+6F9F
凜 𠘡 U+51DC U+20621
凜 𠘅 U+51DC U+20605
凜 懔 U+51DC U+61D4
凝 𤁒 U+51DD U+24052
凡 凢 U+51E1 U+51E2
凡 凣 U+51E1 U+51E3
凰 䳨 U+51F0 U+4CE8
凳 櫈 U+51F3 U+6AC8
凶 㐫 U+51F6 U+342B
凶 𣧑 U+51F6 U+239D1
凹 𠕄 U+51F9 U+20544
出 岀 U+51FA U+5C80
函 圅 U+51FD U+5705
函 凾 U+51FD U+51FE
刀 𠚣 U+5200 U+206A3
刃 刄 U+5203 U+5204
刈 𠚫 U+5208 U+206AB
刈 苅 U+5208 U+82C5
刈 𠛄 U+5208 U+206C4
刊 刋 U+520A U+520B
列 𠜺 U+5217 U+2073A
列 𠛱 U+5217 U+206F1
初 䥚 U+521D U+495A
別 𠛰 U+5225 U+206F0
別 𠔁 U+5225 U+20501
別 别 U+5225 U+522B
利 𥝢 U+5229 U+25762
