㖈 䎛 U+3588 U+439B
囤 𥫱 U+56E4 U+25AF1
囧 𡆾 U+56E7 U+211BE
囪 囱 U+56EA U+56F1
囪 𩕄 U+56EA U+29544
囮 𡈙 U+56EE U+21219
固 怘 U+56FA U+6018
圃 圑 U+5703 U+5711
圈 圏 U+5708 U+570F
國 囯 U+570B U+56EF
國 囶 U+570B U+56F6
國 圀 U+570B U+5700
國 䆐 U+570B U+4190
國 𡇅 U+570B U+211C5
圍 囲 U+570D U+56F2
圓 圎 U+5713 U+570E
圖 圕 U+5716 U+5715
圖 圗 U+5716 U+5717
圖 図 U+5716 U+56F3
團 団 U+5718 U+56E3
圞 圝 U+571E U+571D
圢 䵺 U+5722 U+4D7A
地 埊 U+5730 U+57CA
地 𠏂 U+5730 U+203C2
地 埅 U+5730 U+57C5
坍 㘱 U+574D U+3631
坐 㘸 U+5750 U+3638
坐 𡋲 U+5750 U+212F2
坐 𠱯 U+5750 U+20C6F
坐 㘴 U+5750 U+3634
坤 𠔜 U+5764 U+2051C
坤 堃 U+5764 U+5803
坩 㽍 U+5769 U+3F4D
坳 㘭 U+5773 U+362D
坻 𡉬 U+577B U+2126C
坻 𡊇 U+577B U+21287
坼 𤇚 U+577C U+241DA
坼 𡍩 U+577C U+21369
坼 𤖴 U+577C U+245B4
垂 𠂹 U+5782 U+200B9
垂 埀 U+5782 U+57C0
垂 𡍮 U+5782 U+2136E
垂 𠄒 U+5782 U+20112
垂 𡸁 U+5782 U+21E01
垂 𠣔 U+5782 U+208D4
垂 𡹁 U+5782 U+21E41
型 坓 U+578B U+5753
垔 陻 U+5794 U+967B
垔 㘻 U+5794 U+363B
垛 垜 U+579B U+579C
垛 𨹃 U+579B U+28E43
垛 𨸳 U+579B U+28E33
垠 㙬 U+57A0 U+366C
垣 𩫧 U+57A3 U+29AE7
埒 埓 U+57D2 U+57D3
域 㽣 U+57DF U+3F63
埤 𡌹 U+57E4 U+21339
埭 𡐡 U+57ED U+21421
埭 𡍖 U+57ED U+21356
埶 秇 U+57F6 U+79C7
執 𢩾 U+57F7 U+22A7E
執 执 U+57F7 U+6267
執 𡙕 U+57F7 U+21655
執 𠌷 U+57F7 U+20337
培 㟝 U+57F9 U+37DD
基 𡉝 U+57FA U+2125D
堂 坣 U+5802 U+5763
堂 㙶 U+5802 U+3676
堆 㕍 U+5806 U+354D
堈 罁 U+5808 U+7F41
堋 𡊤 U+580B U+212A4
堞 𥏭 U+581E U+253ED
堞 𡑢 U+581E U+21462
堞 𡍕 U+581E U+21355
堯 𡋰 U+582F U+212F0
報 报 U+5831 U+62A5
堲 垐 U+5832 U+5790
堲 㘹 U+5832 U+3639
塈 墍 U+5848 U+588D
塈 𡏲 U+5848 U+213F2
塊 凷 U+584A U+51F7
塊 𠙽 U+584A U+2067D
塌 𡓲 U+584C U+214F2
塍 堘 U+584D U+5818
塑 塐 U+5851 U+5850
塔 㗳 U+5854 U+35F3
塔 㙮 U+5854 U+366E
塔 墖 U+5854 U+5896
塗 凃 U+5857 U+51C3
塘 䧜 U+5858 U+49DC
塞 𥤧 U+585E U+25927
塞 𡺶 U+585E U+21EB6
塞 㩙 U+585E U+3A59
塢 隝 U+5862 U+969D
塢 𨻑 U+5862 U+28ED1
塢 隖 U+5862 U+9696
塤 𡎖 U+5864 U+21396
填 塡 U+586B U+5861
塳 塜 U+5873 U+585C
塵 尘 U+5875 U+5C18
塹 𡐛 U+5879 U+2141B
塹 壍 U+5879 U+58CD
墀 𡎰 U+5880 U+213B0
墁 𡑦 U+5881 U+21466
墉 䧡 U+5889 U+49E1
墉 𩫃 U+5889 U+29AC3
墋 𡑐 U+588B U+21450
墜 䃍 U+589C U+40CD
墠 𥑲 U+58A0 U+25472
墣 㙸 U+58A3 U+3678
墣 𡑿 U+58A3 U+2147F
墳 𡼝 U+58B3 U+21F1D
墳 坟 U+58B3 U+575F
墳 坆 U+58B3 U+5746
墺 圫 U+58BA U+572B
墺 𡶮 U+58BA U+21DAE
墺 𡒃 U+58BA U+21483
墻 𡒅 U+58BB U+21485
墼 𡐊 U+58BC U+2140A
墾 𡍭 U+58BE U+2136D
壁 𨐧 U+58C1 U+28427
壅 㙲 U+58C5 U+3672
壅 𡓱 U+58C5 U+214F1
壇 坛 U+58C7 U+575B
壎 坃 U+58CE U+5743
壎 壦 U+58CE U+58E6
壑 㕡 U+58D1 U+3561
壑 𡎙 U+58D1 U+21399
壒 𡏖 U+58D2 U+213D6
壒 𡑷 U+58D2 U+21477
壓 𡑅 U+58D3 U+21445
壓 圧 U+58D3 U+5727
壕 䧫 U+58D5 U+49EB
壘 塁 U+58D8 U+5841
壞 𢸬 U+58DE U+22E2C
壞 𡎯 U+58DE U+213AF
壞 壊 U+58DE U+58CA
壞 𣀮 U+58DE U+2302E
壞 𣀩 U+58DE U+23029
壤 壌 U+58E4 U+58CC
壤 𦦶 U+58E4 U+269B6
壹 𡕄 U+58F9 U+21544
壹 弌 U+58F9 U+5F0C
壺 𠁕 U+58FA U+20055
壺 壷 U+58FA U+58F7
壽 夀 U+58FD U+5900
壽 𠷎 U+58FD U+20DCE
壽 寿 U+58FD U+5BFF
壽 𠭵 U+58FD U+20B75
夏 𠍺 U+590F U+2037A
夐 敻 U+5910 U+657B
夔 𣦞 U+5914 U+2399E
外 𡖄 U+5916 U+21584
夙 𠉦 U+5919 U+20266
夙 𠈇 U+5919 U+20207
多 夛 U+591A U+591B
多 𡏗 U+591A U+213D7
多 𡖇 U+591A U+21587
夜 𠙇 U+591C U+20647
夜 𠙑 U+591C U+20651
夜 亱 U+591C U+4EB1
夠 够 U+5920 U+591F
夠 𡖜 U+5920 U+2159C
夢 夣 U+5922 U+5923
夢 梦 U+5922 U+68A6
夢 㝱 U+5922 U+3771
夥 𡖿 U+5925 U+215BF
夥 㚌 U+5925 U+368C
大 𠘲 U+5927 U+20632
天 䒶 U+5929 U+44B6
天 𠕹 U+5929 U+20579
天 𠀘 U+5929 U+20018
天 𠀡 U+5929 U+20021
天 兲 U+5929 U+5172
夬 𡗒 U+592C U+215D2
夯 䂫 U+592F U+40AB
失 𢩥 U+5931 U+22A65
夷 𡗝 U+5937 U+215DD
夸 𡗢 U+5938 U+215E2
夸 𡘆 U+5938 U+21606
奄 𡘤 U+5944 U+21624
奇 竒 U+5947 U+7AD2
奉 𠬻 U+5949 U+20B3B
奎 㚝 U+594E U+369D
奏 𡙹 U+594F U+21679
奐 𢍅 U+5950 U+22345
契 𢍆 U+5951 U+22346
奔 𩦥 U+5954 U+299A5
奔 𧾜 U+5954 U+27F9C
奔 𠬼 U+5954 U+20B3C
奔 𢍃 U+5954 U+22343
奔 犇 U+5954 U+7287
奔 逩 U+5954 U+9029
奔 𥝯 U+5954 U+2576F
奔 𧿣 U+5954 U+27FE3
奔 𧾭 U+5954 U+27FAD
奔 𨃦 U+5954 U+280E6
奔 𨁼 U+5954 U+2807C
奘 弉 U+5958 U+5F09
奧 奥 U+5967 U+5965
奧 𡪿 U+5967 U+21ABF
奩 籨 U+5969 U+7C68
奩 匳 U+5969 U+5333
奪 𡙸 U+596A U+21678
奪 𡙜 U+596A U+2165C
奭 𡚐 U+596D U+21690
奭 𠁗 U+596D U+20057
奮 𡚒 U+596E U+21692
女 𡚬 U+5973 U+216AC
女 𠨰 U+5973 U+20A30
奻 𡠛 U+597B U+2181B
好 𡚽 U+597D U+216BD
妃 𡚱 U+5983 U+216B1
妄 𡚶 U+5984 U+216B6
妊 𨉃 U+598A U+28243
妊 姙 U+598A U+59D9
妍 姸 U+598D U+59F8
妒 妬 U+5992 U+59AC
妖 𪥲 U+5996 U+2A972
妖 𡝩 U+5996 U+21769
妘 𡤀 U+5998 U+21900
妘 㜏 U+5998 U+370F
妝 𤖩 U+599D U+245A9
妝 粧 U+599D U+7CA7
妝 䊋 U+599D U+428B
妤 伃 U+59A4 U+4F03
妻 𡜈 U+59BB U+21708
姊 姉 U+59CA U+59C9
始 𠃭 U+59CB U+200ED
始 𠙉 U+59CB U+20649
始 乨 U+59CB U+4E68
姍 㛽 U+59CD U+36FD
姍 姗 U+59CD U+59D7
姒 㚶 U+59D2 U+36B6
姓 𤯣 U+59D3 U+24BE3
姣 㚣 U+59E3 U+36A3
姦 𢙶 U+59E6 U+22676
姬 㚦 U+59EC U+36A6
姬 姫 U+59EC U+59EB
姶 㛕 U+59F6 U+36D5
姻 婣 U+59FB U+5A63
姻 𡛸 U+59FB U+216F8
姼 𡚼 U+59FC U+216BC
威 𤰴 U+5A01 U+24C34
娑 𣯢 U+5A11 U+23BE2
娛 娯 U+5A1B U+5A2F
娟 姢 U+5A1F U+59E2
娠 㛛 U+5A20 U+36DB
娠 𡝌 U+5A20 U+2174C
娩 㝃 U+5A29 U+3743
婀 娿 U+5A40 U+5A3F
婁 𡇔 U+5A41 U+211D4
婆 㜑 U+5A46 U+3711
婚 㛰 U+5A5A U+36F0
婦 媍 U+5A66 U+5A8D
婿 壻 U+5A7F U+58FB
婿 聟 U+5A7F U+805F
婿 𦕓 U+5A7F U+26553
媐 𡟮 U+5A90 U+217EE
媚 𡡾 U+5A9A U+2187E
媚 𡡚 U+5A9A U+2185A
媟 𡢬 U+5A9F U+218AC
媟 𡤏 U+5A9F U+2190F
媮 婾 U+5AAE U+5A7E
媯 嬀 U+5AAF U+5B00
媯 妫 U+5AAF U+59AB
媲 嫓 U+5AB2 U+5AD3
媵 𡟒 U+5AB5 U+217D2
媵 𦩩 U+5AB5 U+26A69
媵 𠈪 U+5AB5 U+2022A
媸 𡟎 U+5AB8 U+217CE
嫂 㛐 U+5AC2 U+36D0
嫂 㛮 U+5AC2 U+2F867
嫂 㛮 U+5AC2 U+36EE
嫉 𡜱 U+5AC9 U+21731
嫠 𡠉 U+5AE0 U+21809
嫠 𡟋 U+5AE0 U+217CB
嫩 𡞾 U+5AE9 U+217BE
嫩 㜛 U+5AE9 U+371B
嫩 媆 U+5AE9 U+5A86
嫫 嬷 U+5AEB U+5B37
嫵 娬 U+5AF5 U+5A2C
嫻 𡢃 U+5AFB U+21883
嫻 嫺 U+5AFB U+5AFA
嬃 媭 U+5B03 U+5AAD
嬃 𡡓 U+5B03 U+21853
嬪 𡣕 U+5B2A U+218D5
嬭 𡇲 U+5B2D U+211F2
嬭 𡛾 U+5B2D U+216FE
嬭 𡤘 U+5B2D U+21918
嬭 㚷 U+5B2D U+36B7
嬭 㛋 U+5B2D U+36CB
嬰 孾 U+5B30 U+5B7E
嬴 㜲 U+5B34 U+3732
嬴 𡢔 U+5B34 U+21894
孌 𡢛 U+5B4C U+2189B
孎 𡠟 U+5B4E U+2181F
子 㜽 U+5B50 U+373D
孔 𡤿 U+5B54 U+2193F
孕 𣎜 U+5B55 U+2339C
孕 㚺 U+5B55 U+36BA
字 𡥜 U+5B57 U+2195C
存 𡥅 U+5B58 U+21945
存 𠩯 U+5B58 U+20A6F
孚 𤓽 U+5B5A U+244FD
季 𡥞 U+5B63 U+2195E
孭 𧴯 U+5B6D U+27D2F
孳 孶 U+5B73 U+5B76
孳 𡥝 U+5B73 U+2195D
學 斈 U+5B78 U+6588
孺 𡦗 U+5B7A U+21997
孽 𦽚 U+5B7D U+26F5A
孽 𦽆 U+5B7D U+26F46
孽 孼 U+5B7D U+5B7C
孽 㜸 U+5B7D U+3738
孽 𧃯 U+5B7D U+270EF
孿 㝈 U+5B7F U+3748
宄 𡧫 U+5B84 U+219EB
宄 𠬚 U+5B84 U+20B1A
宇 㝢 U+5B87 U+3762
宇 㡰 U+5B87 U+3870
宇 𢉠 U+5B87 U+22260
宇 𡧃 U+5B87 U+219C3
守 𡬮 U+5B88 U+21B2E
安 𡚴 U+5B89 U+216B4
官 𠕍 U+5B98 U+2054D
定 㝎 U+5B9A U+374E
宜 宐 U+5B9C U+5B90
宜 冝 U+5B9C U+519D
宜 𠣨 U+5B9C U+208E8
宣 𡩦 U+5BA3 U+21A66
宦 䆠 U+5BA6 U+41A0
宮 宫 U+5BAE U+5BAB
宰 𠈾 U+5BB0 U+2023E
宰 𡨔 U+5BB0 U+21A14
宰 𡨧 U+5BB0 U+21A27
害 𡧱 U+5BB3 U+219F1
宴 𡩷 U+5BB4 U+21A77
宵 𣆺 U+5BB5 U+231BA
家 宊 U+5BB6 U+5B8A
家 𠖔 U+5BB6 U+20594
容 𠕺 U+5BB9 U+2057A
宿 𪧐 U+5BBF U+2A9D0
宿 㝛 U+5BBF U+375B
寂 𡧘 U+5BC2 U+219D8
寂 𥥒 U+5BC2 U+25952
寂 𥤲 U+5BC2 U+25932
寂 𧧌 U+5BC2 U+279CC
寂 𡧯 U+5BC2 U+219EF
寅 㝙 U+5BC5 U+3759
寅 𥦕 U+5BC5 U+25995
密 𡶇 U+5BC6 U+21D87
密 宻 U+5BC6 U+5BBB
寇 宼 U+5BC7 U+5BBC
寇 冦 U+5BC7 U+51A6
寇 𡨥 U+5BC7 U+21A25
寇 𢽉 U+5BC7 U+22F49
寇 㓂 U+5BC7 U+34C2
富 冨 U+5BCC U+51A8
富 𠖐 U+5BCC U+20590
寐 𥧌 U+5BD0 U+259CC
寑 𡩠 U+5BD1 U+21A60
寒 𡫮 U+5BD2 U+21AEE
寓 庽 U+5BD3 U+5EBD
寓 𡪾 U+5BD3 U+21ABE
寔 𥦽 U+5BD4 U+259BD
察 𧦴 U+5BDF U+279B4
察 詧 U+5BDF U+8A67
寡 𡩼 U+5BE1 U+21A7C
寡 𡪍 U+5BE1 U+21A8D
寢 𡫒 U+5BE2 U+21AD2
寢 𥨊 U+5BE2 U+25A0A
寣 𡩺 U+5BE3 U+21A7A
寤 𡨂 U+5BE4 U+21A02
寤 𥧝 U+5BE4 U+259DD
寥 𡽐 U+5BE5 U+21F50
實 宲 U+5BE6 U+5BB2
實 実 U+5BE6 U+5B9F
寧 𡬛 U+5BE7 U+21B1B
寧 㝕 U+5BE7 U+3755
寧 𡨴 U+5BE7 U+21A34
寧 寜 U+5BE7 U+5BDC
寧 寕 U+5BE7 U+5BD5
寧 𡧾 U+5BE7 U+219FE
寧 𡩬 U+5BE7 U+21A6C
審 宷 U+5BE9 U+5BB7
寫 冩 U+5BEB U+51A9
寫 写 U+5BEB U+5199
寬 寛 U+5BEC U+5BDB
寬 𡩖 U+5BEC U+21A56
寱 䆿 U+5BF1 U+41BF
寵 𠖥 U+5BF5 U+205A5
寶 𠋾 U+5BF6 U+202FE
寶 宝 U+5BF6 U+5B9D
寶 𤥖 U+5BF6 U+24956
寶 寳 U+5BF6 U+5BF3
寶 珤 U+5BF6 U+73E4
封 𡉚 U+5C01 U+2125A
封 𡉘 U+5C01 U+21258
尃 旉 U+5C03 U+65C9
射 䠶 U+5C04 U+4836
射 𨈡 U+5C04 U+28221
將 𤕭 U+5C07 U+2456D
將 将 U+5C07 U+5C06
將 𢪇 U+5C07 U+22A87
專 𠧢 U+5C08 U+209E2
專 専 U+5C08 U+5C02
專 𠧡 U+5C08 U+209E1
尉 㷉 U+5C09 U+3DC9
尋 𡬰 U+5C0B U+21B30
尋 𡬻 U+5C0B U+21B3B
尋 𡬶 U+5C0B U+21B36
對 对 U+5C0D U+5BF9
對 𡭊 U+5C0D U+21B4A
導 𡭎 U+5C0E U+21B4E
尒 尔 U+5C12 U+5C14
尒 𠇍 U+5C12 U+201CD
尚 尙 U+5C1A U+5C19
尤 怣 U+5C24 U+6023
尤 尢 U+5C24 U+5C22
尥 尦 U+5C25 U+5C26
尨 狵 U+5C28 U+72F5
尪 尩 U+5C2A U+5C29
尪 𡯂 U+5C2A U+21BC2
尪 尫 U+5C2A U+5C2B
尪 尣 U+5C2A U+5C23
尪 𡯭 U+5C2A U+21BED
尪 𡯲 U+5C2A U+21BF2
尪 𡯪 U+5C2A U+21BEA
尳 𡰊 U+5C33 U+21C0A
尷 尲 U+5C37 U+5C32
尹 𢁨 U+5C39 U+22068
尹 𢃁 U+5C39 U+220C1
尻 䯌 U+5C3B U+4BCC
尼 𡰱 U+5C3C U+21C31
尾 𡱓 U+5C3E U+21C53
尿 𣭼 U+5C3F U+23B7C
尿 𣻨 U+5C3F U+23EE8
尿 𡲘 U+5C3F U+21C98
尿 㳮 U+5C3F U+3CEE
尿 𡱴 U+5C3F U+21C74
尿 㞙 U+5C3F U+3799
尿 𡱤 U+5C3F U+21C64
屄 𫵘 U+5C44 U+2BD58
屄 𣭈 U+5C44 U+23B48
屄 毴 U+5C44 U+6BF4
居 𢨶 U+5C45 U+22A36
居 㞐 U+5C45 U+3790
居 㝒 U+5C45 U+3752
屆 届 U+5C46 U+5C4A
屈 𡕜 U+5C48 U+2155C
屋 𦤿 U+5C4B U+2693F
屎 𡱁 U+5C4E U+21C41
屎 𡲖 U+5C4E U+21C96
屎 𦳊 U+5C4E U+26CCA
屏 屛 U+5C4F U+5C5B
屐 𡲆 U+5C50 U+21C86
屑 㞕 U+5C51 U+3795
展 㠭 U+5C55 U+382D
屜 𡲕 U+5C5C U+21C95
屢 𡜸 U+5C62 U+21738
屣 躧 U+5C63 U+8EA7
履 𡳐 U+5C65 U+21CD0
履 𡲟 U+5C65 U+21C9F
屧 𡲕 U+5C67 U+21C95
屬 属 U+5C6C U+5C5E
屭 屓 U+5C6D U+5C53
屭 𠫍 U+5C6D U+20ACD
屼 𡵉 U+5C7C U+21D49
岐 㟚 U+5C90 U+37DA
岐 𨙾 U+5C90 U+2867E
岐 𨙸 U+5C90 U+28678
岡 𡶩 U+5CA1 U+21DA9
岡 𠆼 U+5CA1 U+201BC
岣 𡵺 U+5CA3 U+21D7A
岫 峀 U+5CAB U+5CC0
岭 岺 U+5CAD U+5CBA
岷 㟭 U+5CB7 U+37ED
岸 𡶨 U+5CB8 U+21DA8
峙 崻 U+5CD9 U+5D3B
峨 峩 U+5CE8 U+5CE9
峭 陗 U+5CED U+9657
峰 𡶶 U+5CF0 U+21DB6
峰 𦮔 U+5CF0 U+26B94
峰 𡵞 U+5CF0 U+21D5E
峰 𡷅 U+5CF0 U+21DC5
峰 峯 U+5CF0 U+5CEF
島 㠀 U+5CF6 U+3800
島 嶋 U+5CF6 U+5D8B
峻 𡼕 U+5CFB U+21F15
峻 𡺲 U+5CFB U+21EB2
峻 𨻅 U+5CFB U+28EC5
崋 𡼙 U+5D0B U+21F19
崎 㟢 U+5D0E U+37E2
崎 𡼭 U+5D0E U+21F2D
崑 崐 U+5D11 U+5D10
崒 崪 U+5D12 U+5D2A
崔 𡹐 U+5D14 U+21E50
崖 厓 U+5D16 U+5393
崗 𡶬 U+5D17 U+21DAC
崙 崘 U+5D19 U+5D18
崟 𡷧 U+5D1F U+21DE7
崠 岽 U+5D20 U+5CBD
崤 㠙 U+5D24 U+3819
崦 𡹮 U+5D26 U+21E6E
崨 𡹈 U+5D28 U+21E48
崩 𨹹 U+5D29 U+28E79
崷 𡺚 U+5D37 U+21E9A
崷 𡷾 U+5D37 U+21DFE
崿 㠋 U+5D3F U+380B
崿 㟧 U+5D3F U+37E7
崿 𡼑 U+5D3F U+21F11
嵋 𡼴 U+5D4B U+21F34
嵕 𡽀 U+5D55 U+21F40
嵬 㟴 U+5D6C U+37F4
嵬 𡸖 U+5D6C U+21E16
嵯 嵳 U+5D6F U+5D73
嵲 𡺼 U+5D72 U+21EBC
嵾 㠁 U+5D7E U+3801
嶁 㟺 U+5D81 U+37FA
嶇 䧢 U+5D87 U+49E2
嶇 㠊 U+5D87 U+380A
嶔 𡼲 U+5D94 U+21F32
嶠 㠐 U+5DA0 U+3810
嶪 𡳯 U+5DAA U+21CEF
嶭 𡾲 U+5DAD U+21FB2
嶭 𡺰 U+5DAD U+21EB0
嶮 𡽗 U+5DAE U+21F57
嶴 㠗 U+5DB4 U+3817
嶸 𡵓 U+5DB8 U+21D53
嶺 𡽹 U+5DBA U+21F79
嶺 阾 U+5DBA U+963E
嶼 㠘 U+5DBC U+3818
嶽 𡴳 U+5DBD U+21D33
嶽 𡵹 U+5DBD U+21D79
嶽 𡷒 U+5DBD U+21DD2
嶽 𡶓 U+5DBD U+21D93
嶽 𡽺 U+5DBD U+21F7A
嶽 𡵽 U+5DBD U+21D7D
嶽 𡶳 U+5DBD U+21DB3
巀 𡾃 U+5DC0 U+21F83
巀 嶻 U+5DC0 U+5DBB
巇 𡾟 U+5DC7 U+21F9F
巉 𡽡 U+5DC9 U+21F61
巏 𡺹 U+5DCF U+21EB9
巑 㠝 U+5DD1 U+381D
巔 巓 U+5DD4 U+5DD3
巔 𡻗 U+5DD4 U+21ED7
巖 巌 U+5DD6 U+5DCC
州 𠛏 U+5DDE U+206CF
州 𠄓 U+5DDE U+20113
州 𠃕 U+5DDE U+200D5
巟 𣺬 U+5DDF U+23EAC
巟 㠩 U+5DDF U+3829
巠 𡿱 U+5DE0 U+21FF1
巡 𨑾 U+5DE1 U+2847E
巡 廵 U+5DE1 U+5EF5
巢 巣 U+5DE2 U+5DE3
工 𠜝 U+5DE5 U+2071D
工 㣉 U+5DE5 U+38C9
左 㔫 U+5DE6 U+352B
巧 丂 U+5DE7 U+4E02
巧 𢩨 U+5DE7 U+22A68
巨 𠫕 U+5DE8 U+20AD5
巨 钜 U+5DE8 U+949C
巨 㠪 U+5DE8 U+382A
巫 𢀣 U+5DEB U+22023
己 𢀒 U+5DF1 U+22012
巷 𨜕 U+5DF7 U+28715
巷 𨞔 U+5DF7 U+28794
巹 𢀷 U+5DF9 U+22037
巽 𢁅 U+5DFD U+22045
巽 巺 U+5DFD U+5DFA
巽 㢲 U+5DFD U+38B2
布 佈 U+5E03 U+4F48
布 𢁙 U+5E03 U+22059
帆 𩗋 U+5E06 U+295CB
帆 䑺 U+5E06 U+447A
帆 㠶 U+5E06 U+3836
希 𠬹 U+5E0C U+20B39
帎 𪫻 U+5E0E U+2AAFB
帙 袠 U+5E19 U+88A0
帚 箒 U+5E1A U+7B92
帚 菷 U+5E1A U+83F7
帝 𠫦 U+5E1D U+20AE6
帡 帲 U+5E21 U+5E32
帢 㡊 U+5E22 U+384A
帢 𢂿 U+5E22 U+220BF
帥 䢦 U+5E25 U+48A6
師 𠦵 U+5E2B U+209B5
師 𠵀 U+5E2B U+20D40
席 𠩛 U+5E2D U+20A5B
帳 账 U+5E33 U+8D26
帶 帯 U+5E36 U+5E2F
帶 𢃄 U+5E36 U+220C4
帷 𠥎 U+5E37 U+2094E
幀 㡧 U+5E40 U+3867
幀 㡠 U+5E40 U+3860
幔 㡢 U+5E54 U+3862
幘 𢅙 U+5E58 U+22159
幟 旘 U+5E5F U+65D8
幢 𣄛 U+5E62 U+2311B
幢 𣄢 U+5E62 U+23122
幫 幚 U+5E6B U+5E5A
幫 幇 U+5E6B U+5E47
幫 帮 U+5E6B U+5E2E
平 𠀭 U+5E73 U+2002D
年 𠦅 U+5E74 U+20985
年 𠫺 U+5E74 U+20AFA
年 秊 U+5E74 U+79CA
幵 开 U+5E75 U+5F00
并 竝 U+5E76 U+7ADD
并 𠊧 U+5E76 U+202A7
并 幷 U+5E76 U+5E77
并 𠀤 U+5E76 U+20024
并 併 U+5E76 U+4F75
并 並 U+5E76 U+4E26
并 𡘋 U+5E76 U+2160B
并 𢆙 U+5E76 U+22199
并 傡 U+5E76 U+50A1
幸 𠂷 U+5E78 U+200B7
幸 㚔 U+5E78 U+3694
幸 𢆎 U+5E78 U+2218E
幻 㕕 U+5E7B U+3555
幼 㓜 U+5E7C U+34DC
幼 𠣎 U+5E7C U+208CE
幾 𢆻 U+5E7E U+221BB
庀 䚹 U+5E80 U+46B9
庉 𢇠 U+5E89 U+221E0
床 牀 U+5E8A U+7240
庋 𢇮 U+5E8B U+221EE
底 㡳 U+5E95 U+3873
庚 𢈏 U+5E9A U+2220F
庤 𤲵 U+5EA4 U+24CB5
座 𢉰 U+5EA7 U+22270
庳 𡲎 U+5EB3 U+21C8E
庳 𢈷 U+5EB3 U+22237
庵 𢊊 U+5EB5 U+2228A
庶 庻 U+5EB6 U+5EBB
庶 𠩽 U+5EB6 U+20A7D
庶 𢉙 U+5EB6 U+22259
庶 𠪛 U+5EB6 U+20A9B
庶 𠪌 U+5EB6 U+20A8C
康 𠭳 U+5EB7 U+20B73
庸 𠆌 U+5EB8 U+2018C
庸 㐯 U+5EB8 U+342F
庾 𢈔 U+5EBE U+22214
廁 厠 U+5EC1 U+53A0
廁 厕 U+5EC1 U+5395
廄 廐 U+5EC4 U+5ED0
廄 廏 U+5EC4 U+5ECF
廄 厩 U+5EC4 U+53A9
廈 厦 U+5EC8 U+53A6
廉 𤎉 U+5EC9 U+24389
廉 𬤿 U+5EC9 U+2C93F
廋 廀 U+5ECB U+5EC0
廎 䯧 U+5ECE U+4BE7
廑 厪 U+5ED1 U+53AA
廓 𢌓 U+5ED3 U+22313
廚 㕑 U+5EDA U+3551
廚 厨 U+5EDA U+53A8
廚 𢊍 U+5EDA U+2228D
廛 𢌅 U+5EDB U+22305
廛 𨞬 U+5EDB U+287AC
廛 𢋨 U+5EDB U+222E8
廛 㙻 U+5EDB U+367B
廛 䣑 U+5EDB U+48D1
廝 㒋 U+5EDD U+348B
廝 厮 U+5EDD U+53AE
廟 庿 U+5EDF U+5EBF
廟 庙 U+5EDF U+5E99
廠 厰 U+5EE0 U+53B0
廡 𢋑 U+5EE1 U+222D1
廢 廃 U+5EE2 U+5EC3
廣 広 U+5EE3 U+5E83
廧 𢊂 U+5EE7 U+22282
廨 𪠘 U+5EE8 U+2A818
廩 㐭 U+5EE9 U+342D
廩 𢈺 U+5EE9 U+2223A
廬 𡳬 U+5EEC U+21CEC
廱 𢋊 U+5EF1 U+222CA
廳 廰 U+5EF3 U+5EF0
廳 𠫊 U+5EF3 U+20ACA
廳 厛 U+5EF3 U+539B
廳 㕔 U+5EF3 U+3554
廷 𨑲 U+5EF7 U+28472
廿 卄 U+5EFF U+5344
弄 挊 U+5F04 U+630A
弄 㺯 U+5F04 U+3EAF
弇 𢍔 U+5F07 U+22354
弇 𥤴 U+5F07 U+25934
弊 𡚁 U+5F0A U+21681
弒 弑 U+5F12 U+5F11
弔 𢎨 U+5F14 U+223A8
引 㧈 U+5F15 U+39C8
引 𢎢 U+5F15 U+223A2
弛 㢮 U+5F1B U+38AE
弟 𠂖 U+5F1F U+20096
弢 𢎼 U+5F22 U+223BC
弢 㢭 U+5F22 U+38AD
弢 𡸅 U+5F22 U+21E05
弤 𢎸 U+5F24 U+223B8
弭 𢏱 U+5F2D U+223F1
張 弡 U+5F35 U+5F21
弶 𣚦 U+5F36 U+236A6
弶 摾 U+5F36 U+647E
強 强 U+5F37 U+5F3A
弼 㢸 U+5F3C U+38B8
弼 𠡂 U+5F3C U+20842
弼 𠨒 U+5F3C U+20A12
弼 𢏺 U+5F3C U+223FA
弼 𢘍 U+5F3C U+2260D
彀 𢐙 U+5F40 U+22419
彆 㢼 U+5F46 U+38BC
彈 弾 U+5F48 U+5F3E
彈 𢎝 U+5F48 U+2239D
彌 㢱 U+5F4C U+38B1
彌 㫆 U+5F4C U+3AC6
彌 𢑀 U+5F4C U+22440
彌 镾 U+5F4C U+957E
彌 𢐶 U+5F4C U+22436
彌 𪫁 U+5F4C U+2AAC1
彌 𨲼 U+5F4C U+28CBC
彌 𢏏 U+5F4C U+223CF
彌 弥 U+5F4C U+5F25
彗 篲 U+5F57 U+7BF2
彙 彚 U+5F59 U+5F5A
彝 𢇏 U+5F5D U+221CF
彝 𢑱 U+5F5D U+22471
彝 𢑴 U+5F5D U+22474
彝 彛 U+5F5D U+5F5B
彥 彦 U+5F65 U+5F66
彩 𥝞 U+5F69 U+2575E
役 𠈿 U+5F79 U+2023F
役 𠎓 U+5F79 U+20393
往 𢔎 U+5F80 U+2250E
往 𨓹 U+5F80 U+284F9
往 徃 U+5F80 U+5F83
征 徰 U+5F81 U+5FB0
