# CB码, 原文字形, 近似字形, 正字, 组字式, 词频
32002,𨙻,,那,[邱-丘+(冉-土+二)],96
15591,熈,,熙,[烈-列+(〡*(頤-頁+巳))],96
32240,,戲,,[(皮-(〡/又)+(王/丘))*戊],96
02436,,舁,,[臼/丌],96
27898,,跋,,[跳-兆+(乏-之+犬)],94
01237,,𭋺,,[口*隸],93
15002,⦿,,,[○@●],92
00399,𮖐,,,[果/衣],92
01199,,䂮,,[(丰*力)/石],91
13667,𫞐,,權,[栱-八+隹],91
17562,,❌,,[?╳],91
15080,𭺗,,爬,[爬-爪+瓜],89
13550,,夭,,[乏-之+犬],87
28910,,𢯸,,[揆-天+(口/又)],82
08706,,肉,,[冉-工+又],82
22526,𠈟,仰,,[仁-二+印],79
22620,,差,,[前-刖+老],79
04041,𭥗,,,[曰/日],78
08650,𬋖,𤑔,爇,[蓻/火],78
31895,,迎,,[這-言+((留-田)-刀+ㄗ)],78
26180,𭔹,,,[(卄/至)*寸],76
29923,𭤽,,強,[強-弓+方],76
01239,𭇎,,呵,[口/可],76
30312,,𮚏,贊,[(烈-列+廿)/貝],75
30632,,𫠦,所,[一/(川*(乞-乙+〡))],75
04435,𧷤,,賾,[(厂-一)*臣*責],74
18846,㉩,,,[○@大],73
02665,,齅,嗅,[鼻*(自/大)],72
27006,𭷣,,,[去/(冗-几+牛)],72
02253,,嚟,,[口*(黍-禾+利)],72
02174,䔫,,蔬,[蔬-(梳-木)+束],71
12832,,撡,,[摻-(彰-章)+小],71
07669,,,牽,[去/(冗-几+手)],70
02284,𫾻,,,[改-己+易],69
17605,⧇,,,[□@○],69
06938,𮥸,,,[倠/乃],68
11803,𫚲,,,[冗*鳥],68
15259,,冦,,[冠-寸+文],68
08627,,屮,,[艸-屮],68
09265,,瞑,,[目*(宜/八)],67
31265,,𠕅,再,[百-日+(冉-土+二)],67
29006,,,境,[土*几],67
28420,𡪍,,,[宋-木+(烈-列+(十/目))],67
33083,㤀,,忘,[(└@入)/心],66
07799,,𠘑,熙,[烈-列+((冰-水)*臣*巳)],65
09648,𭽪,,,[(雪-雨+(雪-雨))*皮],64
29778,,,替,[(天*天)/日],64
03348,,𭨚,,[外/曰],64
14245,袠,,,[〦/失/衣],64
17564,⦷,,,[○@║],63
04304,,𠾐,,[口*(隆-一)],63
30835,逺,,遠,[達-羊+(彳*ㄑ)],62
17037,,,,[口*桚],62
12941,,𨅶,躁,[跳-兆+(絫-糸+尒)],62
22899,,𡬺,剛,[(罩-卓+止)*寸],62
02659,莵,,,[菟-(色-巴)+(〦-一)],62
00510,𭺙,,,[國*瓜],61
01197,,,槃,[臊-品+巳],61
06531,𬱃,,,[名*頁],60
27117,𫝊,,,[估-口+(田/寸)],59
30690,,𭮳,毀,[((└@日)/土)*(口/又)],59
23016,,𢡖,,[慘-(彰-章)+小],59
18923,実,,,[宋-木+(大-一+三)],58
24080,,称,,[禾*尒],58
02370,𮖭,,,[(嫡-女)/衣],58
12864,𬞞,,蔬,[蕗-各+(梳-木)],57
02966,,𥱍,範,[簐-欠+几],57
25676,,魚,,[羔-王+田],57
10587,,,規,[失*見],56
29781,,䨱,覆,[霑-占+复],56
03342,,𭉴,,[嗨-每+(臼/工)],55
02617,𬑟,,,[目*候],55
03706,,韈,,[(廿/申)*蔑],54
28360,,羸,,[亡/(罩-卓+(月*羊*几))],54
30379,,徔,從,[彳*(前-刖+(之-一))],53
29811,𮚌,贊,,[(天*天)/貝],53
02720,𭨃,,,[暻-京+恭],53
18386,亇,,個,[乞-乙+(丁-一)],52
30407,,卛,率,[〦/(ㄠ*(言-〦)*ㄠ)/十],52
32167,,指,,[捐-口+上],52
07424,,冢,,[冗-几+豕],51
28919,,,願,[彰-章+(石-口+旦)],51
15410,,𢿥,,[番*支],51
27329,㦲,,,[栽-木+(万-一)],51
07380,,犯,,[彳*巳],51
22003,,糓,穀,[穀-(一/禾)+米],50
10261,,㲉,,[穀-(一/禾)+(夕*ㄗ)],50
23651,,,全,[今/一],49
28911,,鍐,,[鍐-凶+(离-禸)],49
09376,㸦,,互,[牙-(必-心)+一],49
25160,,界,,[田/八/力],49
11174,𪝥,,儒,[儒-雨+而],49
14680,𭧂,,暴,[日/恭],49
06875,丿,,,[必-心],48
13978,𮉐,,,[糸*(厂@黑)],48
32272,,摂,,[掑-八+(冰-水+人)],48
23302,,裏,,[〦/畏],48
10614,,𥑗,砥,[石*互],48
24683,𤍨,,,[孰/火],48
17603,,,卍,[??卍],48
30054,𦂳,,,[監-皿+糸],47
05461,𫭫,,域,[土*式],47
31973,,𭛁,發,[(並-(前-刖))/(弓*(色-巴+文))],47
01819,𣐟,垜,垛,[(土*乃)/木],46
05116,𪷤,,凜,[澶-旦+示],46
01567,𧫎,,,[言*恣],46
04694,𠇍,,,[尒-小+(恭-共)],46
30244,,飜,翻,[(米/田)*飛],45
15943,𦈢,,,[午/止],45
22958,,𨋎,軫,[車*(乞-乙+小)],45
21782,𤀀,,,[泳-永+粵],45
02578,𮜒,,,[跳-兆+參],45
31408,,㸃,點,[烈-列+(里*占)],45
06418,,囧,,[囗@(儿/口)],45
17267,𫬠,,,[嚂-皿+見],45
08376,,蚊,,[虫*ㄆ],44
26630,,関,,[門@(ㄙ/大)],44
01153,𪪧,,,[序-予+疑],43
