# CB码, 原文字形, 近似字形, 正字, 组字式, 词频
23376,,矣,,[ㄙ/天],15
13713,𮘋,,,[言*犯],15
13366,𭠭,,旃,[打-丁+(旃-方)],15
05680,𭷖,,,[牛*勾],15
28531,,𤿥,,[(甬-用+((巨-匚)@十))*皮],15
32345,𡨚,,,[宋-木+免],15
09281,,𩰚,鬥,[門@(亞*斤)],15
18706,𭺔,,,[(王/王)*((日*日)/屾)],15
08742,,武,,[式-工+正],15
04696,啐,,,[吭-几+(坐-工+十)],15
28491,,,蔑,[篾-戍+(冗-几+(夕*戈))],15
25332,,𥘿,,[券-刀+示],15
30194,,璧,,[辟/王],15
15336,,𭿂,,[睊-月+虫],15
11016,,,怏,[怡-台+史],15
22329,,我,,[禾*戈],15
02885,,熈,熙,[烈-列+(〡*(頤-頁+已))],15
07642,兠,,,[(土*白*土)/几],15
13436,𭢀,,,[打-丁+案],15
06031,𪟢,,,[益*力],15
06501,𭸻,,,[王*氏],15
27085,,,突,[穴/(乏-之+犮)],15
00022,𮑾,,蕀,[卄/(束*束)],15
21744,𮮱,,,[鼻-丌+大],15
26162,柢,,,[木*(氏、)],14
32309,,契,,[(生*刀)/大],14
27252,,濵,,[沱-匕+(尸@貝)],14
28529,,皱,,[(甬-用+((巨-匚)@一))*皮],14
23756,,腹,,[月*夏],14
06837,𮒝,𢸺,,[荴-夫+焦],14
23994,𤾇,,,[白/兒],14
07580,,籀,,[簃-多+留],14
31385,𣃔,,斷,[((斷-斤)-└+┘)*斤],14
31876,,𢢔,,[慢-又+(一/力)],14
00747,,,隷,[肄-聿+余],14
18074,𫺗,,整,[愍-民+牙],14
00897,𮄚,,,[穴/視],14
11355,,剈,,[利-禾+(ㄙ/月)],14
02068,𢝌,,,[悍-干+目],14
07653,,,巸,[(厂-一)*臣*巳],14
25928,,,颰,[颱-台+夭],14
22732,,殀,,[殀-大+犬],14
28224,𩬇,,,[肆-聿+((彰-章)/犬)],14
08751,,𧔣,,[虫*束*頁],14
06576,𤹯,,痛,[痛/心],14
30405,,卛,,[〦/(ㄠ*言*ㄠ)/十],14
26944,𭑣,,,[六/隹/(〡*日)],14
25797,,𢙉,,[惱-囟+正],14
08943,,䋄,,[細-十+乂],14
30104,,,充,[〦/(ㄠ-ㄙ+?)],14
15683,,,拗,[仁-二+(ㄠ*刀)],14
28318,𩂳,,,[雨/(並-(美-(王/大)))],14
15565,𢳛,,,[據-豕+旦],14
08506,𭏚,,塗,[除/土],14
26874,,𭇜,,[口*(乏-之+犮)],14
08880,𤰈,,,[苟-口+用],14
14268,𬡅,,,[袖-由+(邱-丘)],14
24581,,懇,,[狠/心],14
22351,𦕍,,,[耳*冗],14
09313,卛,,,[(ㄠ*言*ㄠ)/十],14
25243,𡪲,,,[宋-木+貴],14
08879,𫈣,,範,[苑-夕+車],14
01503,𭟢,,,[(病-丙+猒)/心],13
05662,,𭼄,,[疏-(梳-木)+俞],13
04808,,𡳙,,[屧-彳+爿],13
02860,,𥥛,突,[穴/友],13
00133,𫣖,,,[仁-二+張],13
12655,,𪁪,,[(尨-、)*鳥],13
30343,,刻,,[刻-人+ㄑ],13
31691,,𢴃,,[打-丁+(雨/匆)],13
22780,,𮊁,罟,[(ㄇ@乂)/古],13
07783,,疒,,[爿-〡+(序-予)],13
24758,䥣,,,[毀/金],13
07334,彐,,,[雪-雨],13
02808,𭓺,,寐,[寐-爿+(怡-台)],13
08072,𫠥,,,[└@丙],13
10088,𭰫,,湎,[泳-永+(百-日+回)],13
13243,,儵,,[攸-ㄆ+熏],13
13886,,鼂,晁,[日/黽],13
30193,,悤,匆,[囪/心],13
23273,,蜼,,[(乏-之+虫)*隹],13
26099,㳿,,,[渫-世+ㄊ],13
09306,𮏣,,,[蘘-(口*口)],13
27715,,𠋰,,[仁-二+(栽-木+非)],13
23791,㭙,,,[木*寺],13
11565,,,兕,[(口*〡*口)/兀],13
13190,𭞾,,懞,[(懞-一)-卄+((並-(前-刖))-一)],13
13474,𭥹,,,[日*舌],13
23566,,,狐,[孑*爪],13
10433,,,吝,[又/右],13
00921,𭼴,瘺,,[病-丙+漏],13
28758,,,釐,[((夾-(人*人)+(前-刖))*力)/里],13
26586,,,羝,[羊*(弓/一)],13
00709,,𥉍,眵,[目*(嵐-几)],12
08991,𤗊,,,[牒-世+云],12
02745,𪢗,,,[口*蜜],12
16818,𭯡,,氂,[氂-未+牛],12
09852,𤄗,,,[涅-土+(出/大/((犀-尸)-牛+十))],12
07728,㐄,,,[(巨-匚)*(十/十)],12
09076,𮆘,,,[篾-戍+伐],12
08046,䅌,,,[秮-口+月],12
22442,,,敲,[高*ㄆ],12
10019,,眄,,[耳*丐],12
13403,𮒽,,,[夢-夕+悟],12
26297,,,肇,[(石*戈)/聿],12
02005,𭻫,,翻,[番*反],12
26094,𧋝,,,[媟-世+ㄊ],12
08015,㲉,,,[穀-(一/禾)+(夕*(ㄗ@、))],12
03896,𬀲,,,[朕-月+日],12
05618,,𡊈,,[圯/土],12
07748,,揔,,[撼-咸+(句-口+夕)],12
32067,曻,,,[日/舛],12
03606,𫌏,,裝,[將/衣],12
28744,,,鬘,[肆-聿+((彰-章)/(曼-又+万))],12
31748,𭠡,,,[招-刀+(美-(王/大))],12
27930,,𦯂,,[卄/(、廾、、、、)],12
04210,,𢬵,,[拚-ㄙ+云],12
28913,𩯫,,鬢,[肆-聿+((彰-章)/(實-毌+(眉-目)))],12
25178,𭤟,,,[后-口+丁],12
00638,龱,,,[囗@ㄨ],12
02474,,㾓,,[病-丙+(ㄙ/月)],12
10031,,𧈿,,[虫*(网-(ㄨ*ㄨ)+又)],12
13417,,,呀,[口*邪],12
02907,,袠,,[袌-包+矢],12
27469,,㲉,,[穀-禾+(夕*ㄗ)],12
26106,𣏝,,,[楎-車+几],12
14317,𡵅,,,[荒-芒+山],12
27511,𧥫,,,[扥-(打-丁)+言],12
26485,𦜔,,,[月*(土/米)],12
24309,𬃷,,,[束/束],12
15416,⌽,,,[中-口+○],12
23577,𡰸,,,[尸@支],12
00836,𭼙,,,[病-丙+(匆/心)],12
22085,,茆,,[茆-ㄗ+(邱-丘)],12
23583,𭕘,,,[尸@目],12
18240,,𦜩,,[骨*忽],12
08089,,市,,[一/巿],12
02524,𫣅,,,[仁-二+豈],12
25117,𢴰,,,[打-丁+幾],11
03255,𭴢,,,[亦/火],11
15216,,蟮,,[(乏-之+虫)*善],11
22673,𦛁,,腦,[腦-囟+山],11
33120,𪓔,,,[卄/黽],11
23615,,瞖,,[巳/目],11
04828,𭾖,,,[盍*豊],11
21773,㔶,,,[匚@贛],11
14108,,唄,,[口*(且/八)],11
06684,𮃻,,,[穴/(耜-耒)],11
09200,,𠢫,整,[(來*力)/正],11
03989,𫫠,,,[口*宿],11
28811,,𤄞,,[泳-永+(亡/(罩-卓+(月*羊*几)))],11
08211,𬃡,,,[木*急],11
01700,𮅙,,,[竺-二+兒],11
25687,𩚠,,,[飢-几+方],11
04835,,瘂,,[序-予+亞],11
22784,,頴,,[(上/天)*頁],11
07242,,,耶,[耳*巳],11
01959,𭩫,,,[木*仝],11
30033,䝉,,,[((並-(前-刖))-一)/(冗-几+豕)],11
03236,,㲉,鷇,[穀-(一/禾)+卬],11
15288,,𭹹,,[王*(十/(罩-卓+衣))],11
09848,,𤑥,,[火*(日/出/大/((犀-尸)-牛+十))],11
11240,𢋙,,,[螷-卑+林],11
04764,,,塽,[塽-(爻*爻)+((人/人)*(人/人))],11
22746,𢰟,,,[揳-大+廾],11
28907,,𭨃,,[日*(田/恭)],11
21111,,馱,,[馬*丈],11
09269,,㷇,,[多*(厂@火)],11
25948,,𤻯,,[瘦-又+成],11
26113,𦯜,,,[葟-王+儿],11
07551,𡹆,,,[屮/工/毋],11
17501,䂮,,,[((素-糸)*刀)/石],11
08765,,窟,,[宋-木+屈],11
22816,𭭩,,,[勿/(止*止)],11
09809,㬥,,,[日/出/大/((犀-尸)-牛+十)],11
07243,𫆁,,,[耳*欠],11
02020,𮅷,,篼,[箎-虍+(匕*白*匕)],11
18684,,淫,,[洺-口+王],11
15515,,罯,,[(ㄇ@人)/音],11
17705,,㲉,鷇,[穀-禾+卯],11
14185,,𣳾,,[券-刀+水],11
22601,𣲙,,,[泳-永+水],11
03481,𮏄,,,[卄/困],11
00867,𮔙,,蝐,[蜎-口+曰],11
10483,,帓,,[巾*未],11
13850,,朅,,[朅-(└@人)+匕],11
07185,,,印,[爪*ㄗ],10
22769,,䭫,,[(〦/日)*首],10
09570,,,厭,[厂@((甘/肉)*犬)],10
24332,𧥾,,,[言*戈],10
21396,,矟,,[予*肖],10
01330,,𢟋,,[怡-台+阜],10
26570,冂,,,[同-(一/口)],10
06973,𪪠,,,[腐-肉+衣],10
02348,𮕹,䮍,褭,[馬-(烈-列)+衣],10
11981,,蜹,,[虫*苪],10
22078,峕,,時,[山/〦/日],10
13598,𮤐,,,[門@(丰*及)],10
17221,𪻂,,,[狂-王+盾],10
15231,㊀,,,[○@─],10
13425,𭓜,,,[孚*童],10
08746,,,與,[臼/一/八],10
12344,,懱,,[怡-台+篾],10
09777,𫩜,,,[口*爪],10
23733,,𣇣,,[曰/直],10
17073,,𦿔,,[莽-犬+敞],10
05609,𭷉,,,[片*木],10
31873,,絶,,[糸*(色-巴+也)],10
02363,𬌏,,,[爿*賣],10
11132,𥄳,,,[罩-卓+水],10
09073,㦄,,,[應-倠+林],10
04018,,,塚,[土*豕],10
21390,,,篾,[竺-二+((ㄇ@人)/伐)],10
15527,,𥈑,,[目*(危-(夗-夕)+夫)],10
04820,𮌡,,,[月*背],10
24804,𡿁,,,[魏/山],10
00873,𭄯,,,[(改-己+牙)/力],10
25565,𨺜,,,[阿-可+帚],10
07080,𭅪,,,[乾-乞+(夸-大+(((嘹-口)-小)-日))],10
21925,,檇,,[雋-隹+椎],10
13650,𭐵,,,[夕*尹],10
27828,禋,,,[社-土+(票-示+土)],10
13408,𪥩,,妓,[敲-高+女],10
07897,,,食,[企-止+皂],10
13973,,𡸣,,[崲-王+儿],10
03387,,𪳵,,[木*為],10
14342,𭼭,,,[痾-可+(企-止+(套-大))],10
04606,𪰋,,旼,[日*ㄆ],10
09689,,𮧬,襪,[革*(卄/(ㄇ@人)/戌)],10
26206,𢦱,,,[(二/日)*戈],10
21514,,蜂,,[絳-糸+虫],10
03939,,韈,,[革*(蔑-戍+戊)],10
13048,,肊,,[乳-孚+月],10
02095,𭉌,,,[口*祇],10
28570,,㝹,,[少/(免-(色-巴)+(白-日))],10
18696,,𫇰,,[前-刖+(〡*日)],10
16909,,𨽹,,[棣-木+(上/矢)],10
05022,,𭼓,,[病-丙+青],10
25916,鼔,,,[敲-高+壴],10
01101,𮒅,,,[甲*葉],10
03975,𭈛,,,[口*季],10
06317,,,憑,[馮/廾],10
05459,,㕹,,[口*友],10
05849,𫐨,,,[這-言+赤],10
25057,,匄,,[句-口+工],10
04280,,錍,,[鏍-糸+廾],10
05576,𢿱,,,[(林/日)*ㄆ],10
12613,𮨜,,顗,[顗-山+止],10
00268,𮁊,,,[石*((王*巨)/木)],10
07711,,蝱,,[蠢-春+(└@人)],9
05892,𭨯,,,[月*(夸-大+八)],9
27401,𣮓,,,[毯-炎+(琛-王)],9
00788,,,胸,[月*匋],9
15518,,,,[○@仏],9
14059,𮈒,,,[糸*克],9
09157,橊,,,[木*(堊-王+田)],9
04832,𬾉,,徒,[仁-二+走],9
24125,𠈣,,,[先@人],9
32317,𢔜,,,[修-(仁-二)+彳],9
30271,,𬎼,,[(毤-允+豕)-毛+生],9
15445,,椑,,[楒-心+廾],9
33627,,𥛴,祀,[示*(((美-王)-大)/異)],9
27311,,,舂,[春-日+(〡*日)],9
34222,𠧧,,,[占@ㄆ],9
14540,,,爪,[(旅-方)-(乞-乙)],9
07975,,𧶜,商,[商-口+貝],9
11151,,幔,,[幔-又+力],9
09101,𮭠,,,[鸚-女+隹],9
28321,𨁕,,,[踧-叔+(、廾、、、、)],9
33259,𠲒,,,[合-一+(恭-共)],9
25847,𨲩,,,[肆-聿+曼],9
01893,𮣭,,,[金*(亡/(睪-幸+(月*奼)))],9
14686,,㻉,,[王*(止/少)],9
07798,,,敻,[奐-大+((〡*目)/一/乂)],9
04679,𪭜,,,[打-丁+夕],9
24944,莱,,,[卄/〦/米],9
25038,,,丐,[幻-ㄠ+正],9
16824,,䩭,,[革*(立-一+可)],9
34042,,𦸼,,[藻-喿+(畚-田+(恭-共))],9
07088,𫈐,,華,[卄/幸],9
25472,𥘞,,,[社-土+今],9
22548,㨬,,,[打-丁+袁],9
25496,禑,,,[社-土+禺],9
07841,,,亢,[乞-乙+几],9
14014,𮥒,,,[阿-可+軍],9
12404,𤉋,,烝,[烈-列+承],9
03570,𮀁,,,[矢*臣],9
08728,,䆫,窗,[穴/勿/心],9
04360,,伲,,[仁-二+(尼-尸+ㄕ)],9
01792,,㞇,,[虺-虫+畏],9
10201,𫋺,,,[袖-由+兆],9
07561,𮚋,,,[朁-日+貝],9
07964,,瘶,,[病-丙+(朿*欠)],9
13784,𭎟,,,[土*否],9
26722,,𦋀,,[(ㄇ@乂)/ㄙ/月],9
05905,,葢,,[蓋-去+(大/ㄙ)],9
28048,𠴻,,,[口*(阿-可+(施-方))],9
02347,,𧦬,,[(工*凡)/言],9
11632,,𭟑,怕,[慄-木+((看-目)*月)],9
11460,𥫱,,,[竺-二+(乇-一+凵)],9
22494,䝘,,,[豸*殳],9
04592,𭾤,,,[目*(弓/一)],9
01945,𭎑,,,[土*(厂@火)],9
20177,𣷢,,,[涓-口+(└@口)],9
25957,𦱬,,,[蔡-示+土],9
17629,,𫈲,,[墓-旲+汜],8
05134,,𭽎,,[百*(升-┬+下)],8
07878,,𧢲,,[冉-土+(久/人)],8
14224,𨞬,,廛,[廓-享+(田/坴)],8
11909,,硺,,[石*豕],8
13522,,冝,宜,[冗-几+旦],8
11081,𪽫,,,[病-丙+爪],8
08866,,𧷞,商,[帝-巾+員],8
02983,𬛚,𦼶,,[月*葉],8
11466,𮜞,,,[跎-匕+(一/少/貝)],8
00299,,𦍿,,[羊*(句-口+瓦)],8
06297,𮚇,,,[貝*系],8
07316,,䮂,,[馬*友],8
07083,,𠦑,,[?*十],8
10641,,,呦,[吆*刀],8
05336,,掄,,[揙-戶+(今-一)],8
12073,,㫃,,[施-也],8
13975,𭳜,,,[瀔-禾+米],8
10528,𭫶,,,[木*商],8
09445,,屰,,[前-刖+(┴*├)],8
22238,𡌚,,,[土*坐],8
09290,,𣪊,,[穀-(一/禾)],8
15884,𬄧,,,[御/木],8
22934,𤱏,,,[田*(乞-乙+小)],8
11399,𭭳,,,[(止/示)*余],8
06436,,𮎼,,[卄/((厂-一)*臣)],8
24587,𮩦,,,[秋/首],8
28002,𭽪,,皺,[(((巨-匚)@一)/((巨-匚)@十))*皮],8
01015,𭉍,,,[口*(甚-其+庚)],8
07186,,肴,,[爻/肉],8
08964,,彗,,[雪-雨+甡],8
07450,,肴,,[希-巾+肉],8
26188,,罣,,[(ㄇ@乂)/圭],8
27195,,𢙉,,[怡-台+(ㄉ/山)],8
02028,𭐄,,,[土*墮],8
02107,𭭨,,,[止*奇],8
16707,,,嚫,[日*親],8
27977,将,,,[(冰-水+〡)*(夕/寸)],8
09597,,𭳬,,[泳-永+(隸-木+上)],8
14491,𥘎,,,[彰-章+示],8
08244,𮓦,虢,,[乎*(虎-儿+几)],8
11945,𮈃,,,[糸*井],8
01791,,㞂,,[虺-虫+妥],8
14052,𪲺,,,[木*昴],8
14053,𭴌,,,[火*日],8
22630,,,韭,[烈-列+非],8
22533,𠏡,,,[仁-二+零],8
25049,𠂍,,,[乏-之+水],8
27732,𢬌,,,[打-丁+(乏-之+犮)],8
14050,㒿,,,[曰/離],8
13563,,𣡿,,[木*(爂-火+焱)],8
15255,,含,,[企-止+古],8
31927,㚑,,,[(雪-雨)/大],8
05700,,癲,,[序-予+顛],8
32452,𪣁,,,[土*允],8
22016,,鞞,,[鞥-合+田],8
24057,,秔,,[禾*冗],8
16578,𭼢,,,[病-丙+患],8
27858,疷,,,[病-丙+(玉-王+氏)],8
30850,𬽈,,直,[〦/且],8
13489,𮯐,,,[齒*衰],8
14261,𭯉,,,[旒-方+每],8
22724,𤓖,,,[戀-心+火],8
30751,𫞘,,淵,[泳-永+(月-三+(朕-月))],8
15268,𭶹,,,[穫-禾+爪],8
16774,,𧷤,,[〡*賾],8
23488,坟,,墳,[土*文],8
25259,㡾,,,[序-予+艮],8
26938,𬽲,,,[仁-二+(施-方)],8
25233,𡨟,,,[宋-木+告],8
27782,𤝦,,,[狂-王+(仁-二+才)],8
22866,𩢃,,,[馬*(又/又)],8
23079,,虓,,[旭-日+(虎-儿+巾)],8
28718,,𨛄,,[邱-丘+(甬-用+((巨-匚)@十))],8
23290,,䑛,,[尤-尢+舐],8
28742,,𩭈,,[肆-聿+((彰-章)/(百-日+目))],8
24795,,,辛,[親-見],8
25196,𫢏,,,[但-日+弓],8
06704,𦓗,,,[耑*(犮-乂+又)],8
09153,,䶥,,[皻-皮+齒],8
24669,𠥷,,,[區*凡],7
11351,𡭴,,,[光-兀+(日/小)],7
02539,𥈆,,,[目*(日/目)],7
33574,,𤀤,,[泳-永+筭],7
10503,𪱄,,,[日*寅],7
13828,𮞄,,,[逼-田],7
14303,𭌻,,,[啗*鳥],7
22534,𠑘,,,[仁-二+顛],7
13629,,寂,,[宋-木+舛],7
18873,𮀑,,,[石*丱],7
13607,𮘵,,,[言*寅],7
27321,,韈,,[革*(蔑-戍+伐)],7
27106,𦄎,,,[糸*(宋-木+取)],7
13441,𮑂,,,[卄/奢],7
31816,,𣾰,,[泳-永+(夾/(恭-共))],7
23286,,,臾,[申、],7
07317,𫘆,,,[馬*夫],7
27203,𢛽,,,[恉-匕+曰],7
09181,𤑗,,,[(夕/火)*巢],7
09183,㞑,,,[(犀-牛)-〡+└],7
13373,𭷁,,,[爿*ㄆ],7
07361,𫠙,,,[齒*殳],7
01137,𭾰,,,[目*妄],7
25477,𥘛,,,[社-土+王],7
30185,𫩧,,含,[令/口],7
13627,𮙫,,,[豸*帝],7
28462,羙,,,[美-大+(瞭-目-(日/小))],7
01828,,,㗘,[口*((甫-、)/寸)],7
22381,䜵,,,[豆*皮],7
25858,跃,,,[跳-兆+夭],7
22995,𩚞,,,[飢-几+(一/ㄠ)],7
10207,𫙙,,,[魚*色],7
14290,𮍗,,,[自*左],7
05447,㋰,,,[○@ㄙ],7
05450,㊏,,,[○@土],7
27626,𡬬,,,[(狦-(狂-王))*寸],7
24277,𧍯,,,[虫*風],7
31392,𮋃,,,[兙-十+羽],7
31880,,述,,[這-言+(尤-尢+木)],7
13536,𭦇,,,[日*芒],7
08739,𭤟,,,[后-口+┬],7
22600,㳄,,,[泳-永+欠],7
27729,𢫖,,,[打-丁+(尤-尢+木)],7
10563,𭵶,,熬,[火*敖],7
08413,𭴩,,,[赤/火],7
22680,𮜞,,,[跳-兆+賓],7
17357,𭸗,,,[猱-矛+世],7
22392,𨠁,,,[酉*冗],7
13953,𭛬,,,[彳*足],7
23000,,𩪯,,[骨*(實-毌+尸)],7
09453,,,桀,[桀-夕+(舛-夕)],7
24334,𧦓,,,[言*片],7
04313,𡦗,,,[孑*(焉-正+?)],7
09283,,𠸶,,[哭/(└@人)],7
27856,㾁,,,[病-丙+(尤-尢+木)],7
01543,𪾲,,暗,[目*音],7
06449,,𡼭,崎,[崁-土+(立/(可-一))],7
10487,,㼚,,[元*瓦],7
02015,𮐰,,,[茺-ㄊ+(匕*白*匕)],7
03488,𬻅,,,[丁*六],7
23728,𭧶,,,[日/煮],7
02156,龬,,,[金*罔],7
31857,隐,,,[阿-可+急],7
27402,焔,,,[焰-臼+(〡*日)],7
25736,获,,,[荻-火+犬],7
33944,,𩈣,,[含*面],7
13389,𮌲,,,[月*堅],7
06018,𮠫,,,[酉*孛],7
11061,𫕈,,,[阿-可+曷],7
14613,𭕛,,,[尸@虫],7
05142,𭬢,,,[((?/(匚@失))*殳)/米],7
15916,,馿,驢,[馬*(一/尸)],7
03359,𫺤,,,[怡-台+貞],7
06699,𮮈,,,[序-予+(林/木)],7
31832,,𣱵,,[二/水],7
02756,𪰏,,,[日*可],7
04788,𫒍,,,[金*午],7
11401,,瀁,,[泳-永+(?/良)],7
01499,𢦱,,,[(〦/日)*戈],7
06218,,讛,囈,[言*(卄/執/云)],7
10923,𭆚,,,[ㄙ/一/廾],7
26700,,𠦑,,[、廾、、、、],7
31845,,,敵,[商*欠],7
09347,𦬸,,,[卄/(尤-尢+木)],7
13751,𮜻,,,[身*農],7
23112,,餮,,[(歹*(乞-乙+小))/食],7
31833,𮌈,,,[上/月],7
28746,,𨲾,,[肆-聿+((彰-章)/(鬘-又+万))],7
33464,,鬀,,[髟/剃],7
27035,,,抵,[打-丁+(弓/一)],7
02939,,鐄,,[金*(廿/由/八)],7
00947,𭏡,,,[土*崖],7
02737,𫪛,,,[口*長],7
03122,𪢍,,,[口*結],7
05414,𭱨,,,[泳-永+柴],7
13405,𮒵,,,[(薩-產+辛)/衣],6
13516,𬢤,,,[次/言],6
26146,𨷫,,,[錐/門],6
05703,𮅆,,,[竺-二+必],6
13730,𭖽,,嵇,[秋/山],6
08312,龷,,,[共-八],6
09105,,癘,,[爿-〡+厲],6
22779,𦊕,,,[(ㄇ@乂)/且],6
03941,𭷮,,,[((土/口)*殳)/牛],6
02502,,𪌭,,[麩-夫+(ㄙ/月)],6
14218,𮈻,,,[糸*(圖-囗)],6
22641,𩚢,,,[飢-几+互],6
14100,𭶅,,,[噗-口+火],6
22503,,斂,,[僉*支],6
13016,𧷤,,賾,[(厂-一)*(賾-口+(巨-匚))],6
13788,𭮑,,,[歹*糸],6
06678,𦌎,,罼,[(ㄇ@︿)/畢],6
06487,𭨁,,,[日*爾],6
23090,𤌈,,,[烈-列+(佫-口+田)],6
13714,𮥐,,,[阿-可+炎],6
05254,𬾠,,,[仁-二+忽],6
30428,㓮,,,[利-木+周],6
31007,𮙲,,,[光-儿+貝],6
06697,𭿙,,,[目*(彥-文+自)],6
30568,𠦸,,,[率-ㄠ+(言-〦)],6
16616,,𦤑,,[皋-白+自],6
24959,,尃,,[十/田/寸],6
06858,𨷭,,,[門@(厂@(田/坴))],6
25050,𠮮,,,[乏-之+右],6
25955,,𦽦,,[蔓-又+万],6
11839,𪲟,,,[木*幸],6
30921,,𥂙,奮,[六/隹/皿],6
00913,𭝃,,,[怡-台+罕],6
13473,,𭣘,,[支*包],6
09332,,𩲐,,[(魅-ㄙ)-未+勿],6
26168,,𮗤,,[角*(、廾)],6
06596,,,佚,[仁-二+矢],6
27890,,𨲩,,[肆-聿+(曼-又+万)],6
18451,𫢚,,,[企-止+衣],6
22020,,媸,,[媏-而+虫],6
22391,𨟼,,,[酉*亢],6
00872,,𠢐,,[(改-己+牙)/(厂@万)],6
24898,𩮂,,,[髟/曷],6
14415,𭘳,,,[帝/衣],6
06412,,棙,,[槴-邑+大],6
03518,㗴,,,[口*間],6
13678,𬿈,,,[仁-二+隻],6
23255,𠼃,,,[斬/口],6
13605,𬎇,,,[王*莫],6
20167,𮥵,,,[隸-木+止],6
15823,𪡓,,,[囗@昆],6
01974,𬖴,,,[米*祭],6
04531,𬖣,,,[米*定],6
13885,𭖇,,,[山*止],6
01180,𮮓,,,[黍*禽],6
01544,𭿼,,,[矛*鳥],6
21852,,𪻱,,[王*(凵@(口*了*又))],6
01607,𪪂,,,[乾-乞+干],6
26924,,,係,[仁-二+(ㄠ/大)],6
09222,与,,,[├/(司-口)],6
23811,𣚦,,,[木*強],6
11077,𪸿,,烹,[烈-列+享],6
06836,𮓍,,,[苨-匕+樓],6
28230,鬘,,,[肆-聿+((彰-章)/曼)],6
27393,,,鹿,[鹿-比+(ㄙ*ㄙ)],6
07037,𫦾,,,[學*力],6
01523,𭩖,,,[月*(賏/安)],6
10011,,粈,,[米*(刃/一)],6
14269,𭊔,,笑,[噬-巫+(犮-乂+又)],6
14265,,哀,,[乞-乙+(口/衣)],6
04100,,𫄅,,[糸*感],6
07621,𮄔,,,[穴/(爿*告)],6
14291,𮔣,,,[虫*食],6
07052,𫅦,,,[朔-月+羽],6
27228,𣸡,,,[泳-永+(土/米)],6
14660,𭌟,,,[口*(羲-ㄎ+乃)],6
23120,,羂,,[(网-ㄨ)/(紿-口+月)],6
12660,,芰,,[卄/(敲-高)],6
04274,𭮧,,,[辦-力+歹],6
26615,,𨉂,,[身*(中/又)],6
22413,䦕,,,[門@并],6
15019,峀,,,[山/由],6
31442,𫇰,,,[卄/(〡*日)],6
15993,𫏖,,,[跳-兆+爰],6
04765,𫫂,,,[口*孩],6
24908,㦔,,,[猒/心],6
14138,𭥰,,,[日*匡],6
12563,,𥈆,,[睅-干+月],6
22499,𡬺,,,[罡*寸],6
10292,,,藤,[藤-月+舟],6
02603,,,亢,[午-〡+几],6
13770,𭬎,,,[木*雍],6
13531,𭍾,,,[土*支],6
18400,𭦬,,,[日*真],6
17065,𫎐,,,[貝*乞],6
29761,,拔,,[拔-乂+又],6
13521,𬾲,,,[仁-二+勉],6
14213,,𪀢,,[鵂-木+大],6
11594,𮏀,,,[蓌-坐+(素-糸)],6
23711,𣊬,,,[日*舜],6
14681,𭒋,,,[姦*干],6
16276,,𧕏,,[薜/虫],6
26867,,羸,,[亡/(月*羊*几)],6
13655,𮝏,,,[此/車],6
04843,,𤚼,,[((穀-禾)-又)/牛],6
14163,𮡜,,,[里*敢],6
13858,𭚻,,,[弓*頁],6
18381,扝,,,[打-丁+(百-日+ㄎ)],6
17782,,𭉴,,[口*涅],6
24138,亏,,,[夸-大],6
04841,𭊺,,,[嚝-黃+建],6
23100,𨃧,,,[跳-兆+(扃-戶+右)],6
25473,,,衽,[社-土+壬],6
26525,𤗉,,,[片*(公/心)],6
34033,,𩈣,,[(令/口)*(百-日+回)],6
16153,𢼠,,敓,[毤-毛+ㄆ],6
03227,𬫌,,,[金*氐],6
26756,,惣,,[(打-丁+勿)/心],6
21716,,㲲,,[毯-炎+疊],6
05689,𭍲,,,[國*介],6
27296,,䨱,,[雨/(泳-永+复)],6
17803,𭠃,,,[戶@犮],6
10079,㥏,,,[怡-台+(曲/八)],6
22755,,箎,,[箎-儿+巾],6
02018,𮐯,,,[萹-戶+合],6
08720,,𭢲,,[打-丁+嗇],6
21770,𦆟,,,[糸*蒙],6
18730,𫚴,,,[禾*鳥],5
04589,𭊹,,,[嗹-車+庚],5
13739,,㡛,,[幙-旲+(梳-木)],5
14031,,𠰒,,[噙-离+(恭-共)],5
16158,,栬,,[木*(刀/巴)],5
06709,𮑪,,,[菱-土+(鬯-匕)],5
24822,𡇂,,,[囗@火],5
24559,𩆮,,,[雨/器],5
13986,,攲,,[攲-(大/一)+立],5
05516,丿,,,[白-日],5
14388,,𠬸,,[回/又],5
04782,𮇖,,,[米*旨],5
02427,𫥇,,,[冰-水+(洗-冼+水)],5
01808,𭚋,,,[(序-予+猒)/手],5
14043,𭏗,,,[土*衰],5
10290,,剺,,[釐-厘+力],5
07692,,𩚖,,[飢-几+(刃/一)],5
11516,,𪦅,,[女*(巢-果+(一/凶))],5
11252,,𦋽,罝,[(ㄇ@︿)/組],5
07156,𪰎,,,[文/日],5
09322,,辤,辭,[(受-又+ㄆ)*辛],5
12787,,𢜟,,[怡-台+(网-ㄨ)],5
07995,,𨲱,,[肆-聿+參],5
12969,,,腨,[月*(烏-(舄-臼)+而)],5
18021,𫆳,,,[月*曼],5
09335,,𣧩,,[(餐-食)-又+冬],5
11931,𭮪,,,[吉*殳],5
14372,𪻑,,,[王*亢],5
11808,𪯲,,,[方*斤],5
11398,,𥛓,,[(上/示)*余],5
10520,𪲀,,,[木*丘],5
